Line;Fresh_weight;Batch
SETI_wt-E2;0,0046;batch1
SETI_wt-E2;0,006;batch1
SETI_wt-E2;0,0074;batch1
SETI_wt;0,0735;batch1
SETI_wt;0,075;batch1
SETI_wt;0,0701;batch1
SETI_eds1-E2;0,0599;batch1
SETI_eds1-E2;0,076;batch1
SETI_eds1-E2;0,0708;batch1
SETI_eds1-E2;0,0591;batch1
SETI_eds1;0,0667;batch1
SETI_eds1;0,0613;batch1
SETI_eds1;0,0752;batch1
SETI_adrs-E2;0,0159;batch1
SETI_adrs-E2;0,0176;batch1
SETI_adrs-E2;0,0133;batch1
SETI_adrs;0,0798;batch1
SETI_adrs;0,0612;batch1
SETI_adrs;0,0822;batch1
SETI_helperless-E2;0,0616;batch1
SETI_helperless-E2;0,0823;batch1
SETI_helperless-E2;0,0551;batch1
SETI_helperless;0,077;batch1
SETI_helperless;0,0562;batch1
SETI_helperless;0,0722;batch1
SETI_nrgs-E2;0,0042;batch1
SETI_nrgs-E2;0,0054;batch1
SETI_nrgs-E2;0,006;batch1
SETI_nrgs;0,0757;batch1
SETI_nrgs;0,078;batch1
SETI_nrgs;0,0806;batch1
Col-0-E2;0,0758;batch1
Col-0-E2;0,0567;batch1
Col-0-E2;0,0659;batch1
Col-0;0,0512;batch1
Col-0;0,0788;batch1
Col-0;0,0723;batch1
SETI_wt-E2;0,0092;batch2
SETI_wt-E2;0,0065;batch2
SETI_wt-E2;0,0082;batch2
SETI_wt-E2;0,0062;batch2
SETI_wt-E2;0,0057;batch2
SETI_wt-E2;0,0095;batch2
SETI_wt;0,0762;batch2
SETI_wt;0,0755;batch2
SETI_wt;0,0894;batch2
SETI_wt;0,0861;batch2
SETI_wt;0,102;batch2
SETI_eds1-E2;0,0768;batch2
SETI_eds1-E2;0,0659;batch2
SETI_eds1-E2;0,0967;batch2
SETI_eds1-E2;0,0951;batch2
SETI_eds1-E2;0,0862;batch2
SETI_eds1-E2;0,0848;batch2
SETI_eds1;0,0891;batch2
SETI_eds1;0,101;batch2
SETI_eds1;0,0927;batch2
SETI_eds1;0,1042;batch2
SETI_eds1;0,0953;batch2
SETI_adrs-E2;0,0069;batch2
SETI_adrs-E2;0,0176;batch2
SETI_adrs-E2;0,028;batch2
SETI_adrs-E2;0,0232;batch2
SETI_adrs-E2;0,0169;batch2
SETI_adrs;0,101;batch2
SETI_adrs;0,0943;batch2
SETI_adrs;0,1214;batch2
SETI_adrs;0,0937;batch2
SETI_helperless-E2;0,0719;batch2
SETI_helperless-E2;0,0774;batch2
SETI_helperless-E2;0,0525;batch2
SETI_helperless-E2;0,0846;batch2
SETI_helperless-E2;0,061;batch2
SETI_helperless-E2;0,0765;batch2
SETI_helperless;0,0819;batch2
SETI_helperless;0,0927;batch2
SETI_helperless;0,0749;batch2
SETI_helperless;0,0921;batch2
SETI_nrgs-E2;0,0076;batch2
SETI_nrgs-E2;0,0068;batch2
SETI_nrgs-E2;0,0058;batch2
SETI_nrgs-E2;0,005;batch2
SETI_nrgs-E2;0,0089;batch2
SETI_nrgs-E2;0,0084;batch2
SETI_nrgs;0,0962;batch2
SETI_nrgs;0,083;batch2
SETI_nrgs;0,0915;batch2
SETI_nrgs;0,1128;batch2
Col-0-E2;0,0848;batch2
Col-0-E2;0,0858;batch2
Col-0-E2;0,0833;batch2
Col-0-E2;0,0768;batch2
Col-0-E2;0,0818;batch2
Col-0-E2;0,0878;batch2
Col-0-E2;0,0689;batch2
Col-0;0,0996;batch2
Col-0;0,1132;batch2
Col-0;0,1024;batch2
Col-0;0,0968;batch2
Col-0;0,113;batch2
SETI_wt-E2;0,0054;batch3
SETI_wt-E2;0,0035;batch3
SETI_wt-E2;0,0053;batch3
SETI_wt-E2;0,0059;batch3
SETI_wt-E2;0,0046;batch3
SETI_wt-E2;0,0049;batch3
SETI_wt-E2;0,0064;batch3
SETI_wt;0,0882;batch3
SETI_wt;0,0896;batch3
SETI_wt;0,0752;batch3
SETI_wt;0,0775;batch3
SETI_wt;0,0789;batch3
SETI_wt;0,1097;batch3
SETI_wt;0,097;batch3
SETI_eds1-E2;0,0733;batch3
SETI_eds1-E2;0,0638;batch3
SETI_eds1-E2;0,0902;batch3
SETI_eds1-E2;0,068;batch3
SETI_eds1-E2;0,0756;batch3
SETI_eds1-E2;0,0623;batch3
SETI_eds1-E2;0,0603;batch3
SETI_eds1-E2;0,0887;batch3
SETI_eds1;0,1161;batch3
SETI_eds1;0,105;batch3
SETI_eds1;0,092;batch3
SETI_eds1;0,066;batch3
SETI_eds1;0,086;batch3
SETI_eds1;0,0807;batch3
SETI_eds1;0,1024;batch3
SETI_eds1;0,0961;batch3
SETI_adrs-E2;0,0159;batch3
SETI_adrs-E2;0,0153;batch3
SETI_adrs-E2;0,0189;batch3
SETI_adrs-E2;0,0124;batch3
