Line;Fresh_weight;Batch;Ratio;Line_mean;Treatment;Fresh_weight_mean;Fresh_weight_sd;Fresh_weight_se;Fresh_weight_ratio_mean;Fresh_weight_ratio_sd;Fresh_weight_ratio_se
SETI_wt-E2;0,0046;batch1;0,052865277;SETI_wt;Mock;0,087013636;0,011340542;0,002417812;1;0,130330633;0,002417812
SETI_wt-E2;0,006;batch1;0,068954709;SETI_eds1;Mock;0,089827273;0,016286196;0,003472229;1;0,181305691;0,003472229
SETI_wt-E2;0,0074;batch1;0,085044141;SETI_adrs;Mock;0,090825;0,017735213;0,003965714;1;0,195267961;0,003965714
SETI_wt;0,0735;batch1;0,844695189;SETI_helperless;Mock;0,08473;0,01368157;0,003059292;1;0,161472565;0,003059292
SETI_wt;0,075;batch1;0,861933866;SETI_nrgs;Mock;0,092716667;0,010746778;0,00253304;1;0,115909882;0,00253304
SETI_wt;0,0701;batch1;0,805620854;Col-0;Mock;0,096929167;0,015923144;0,003250298;1;0,164276081;0,003250298
SETI_eds1-E2;0,0599;batch1;0,666835341;SETI_wt;E2;0,005756;0,001578259;0,000315652;0,066150551;0,01813806;0,000315652
SETI_eds1-E2;0,076;batch1;0,846068212;SETI_eds1;E2;0,077696154;0,013706421;0,00268805;0,864950605;0,152586413;0,00268805
SETI_eds1-E2;0,0708;batch1;0,788179334;SETI_adrs;E2;0,016917391;0,004324418;0,000901704;0,186263598;0,047612642;0,000901704
SETI_eds1-E2;0,0591;batch1;0,657929359;SETI_helperless;E2;0,072336364;0,015041547;0,003206869;0,853727884;0,177523275;0,003206869
SETI_eds1;0,0667;batch1;0,742536181;SETI_nrgs;E2;0,005491667;0,001386869;0,000283093;0,059230631;0,014958142;0,000283093
SETI_eds1;0,0613;batch1;0,682420808;Col-0;E2;0,077373333;0,012945268;0,002363472;0,798246142;0,133553894;0,002363472
SETI_eds1;0,0752;batch1;0,837162231;;;;;;;;
SETI_adrs-E2;0,0159;batch1;0,175061932;;;;;;;;
SETI_adrs-E2;0,0176;batch1;0,193779246;;;;;;;;
SETI_adrs-E2;0,0133;batch1;0,146435453;;;;;;;;
SETI_adrs;0,0798;batch1;0,878612717;;;;;;;;
SETI_adrs;0,0612;batch1;0,673823287;;;;;;;;
SETI_adrs;0,0822;batch1;0,905037159;;;;;;;;
SETI_helperless-E2;0,0616;batch1;0,727015225;;;;;;;;
SETI_helperless-E2;0,0823;batch1;0,971320666;;;;;;;;
SETI_helperless-E2;0,0551;batch1;0,650300956;;;;;;;;
SETI_helperless;0,077;batch1;0,908769031;;;;;;;;
SETI_helperless;0,0562;batch1;0,663283371;;;;;;;;
SETI_helperless;0,0722;batch1;0,852118494;;;;;;;;
SETI_nrgs-E2;0,0042;batch1;0,045299299;;;;;;;;
SETI_nrgs-E2;0,0054;batch1;0,058241956;;;;;;;;
SETI_nrgs-E2;0,006;batch1;0,064713284;;;;;;;;
SETI_nrgs;0,0757;batch1;0,816465936;;;;;;;;
SETI_nrgs;0,078;batch1;0,841272695;;;;;;;;
SETI_nrgs;0,0806;batch1;0,869315118;;;;;;;;
Col-0-E2;0,0758;batch1;0,782014358;;;;;;;;
Col-0-E2;0,0567;batch1;0,584963246;;;;;;;;
Col-0-E2;0,0659;batch1;0,679877918;;;;;;;;
Col-0;0,0512;batch1;0,52822078;;;;;;;;
Col-0;0,0788;batch1;0,812964794;;;;;;;;
Col-0;0,0723;batch1;0,745905515;;;;;;;;
SETI_wt-E2;0,0092;batch2;0,105730554;;;;;;;;
SETI_wt-E2;0,0065;batch2;0,074700935;;;;;;;;
SETI_wt-E2;0,0082;batch2;0,094238103;;;;;;;;
SETI_wt-E2;0,0062;batch2;0,0712532;;;;;;;;
SETI_wt-E2;0,0057;batch2;0,065506974;;;;;;;;
SETI_wt-E2;0,0095;batch2;0,10917829;;;;;;;;
SETI_wt;0,0762;batch2;0,875724808;;;;;;;;
SETI_wt;0,0755;batch2;0,867680092;;;;;;;;
SETI_wt;0,0894;batch2;1,027425168;;;;;;;;
SETI_wt;0,0861;batch2;0,989500078;;;;;;;;
SETI_wt;0,102;batch2;1,172230058;;;;;;;;
SETI_eds1-E2;0,0768;batch2;0,854974193;;;;;;;;
SETI_eds1-E2;0,0659;batch2;0,733630199;;;;;;;;
SETI_eds1-E2;0,0967;batch2;1,076510475;;;;;;;;
SETI_eds1-E2;0,0951;batch2;1,058698512;;;;;;;;
SETI_eds1-E2;0,0862;batch2;0,959619472;;;;;;;;
SETI_eds1-E2;0,0848;batch2;0,944034005;;;;;;;;
SETI_eds1;0,0891;batch2;0,991903653;;;;;;;;
SETI_eds1;0,101;batch2;1,124380123;;;;;;;;
SETI_eds1;0,0927;batch2;1,031980569;;;;;;;;
SETI_eds1;0,1042;batch2;1,160004048;;;;;;;;
SETI_eds1;0,0953;batch2;1,060925008;;;;;;;;
SETI_adrs-E2;0,0069;batch2;0,075970273;;;;;;;;
SETI_adrs-E2;0,0176;batch2;0,193779246;;;;;;;;
SETI_adrs-E2;0,028;batch2;0,308285164;;;;;;;;
SETI_adrs-E2;0,0232;batch2;0,255436279;;;;;;;;
SETI_adrs-E2;0,0169;batch2;0,186072117;;;;;;;;
SETI_adrs;0,101;batch2;1,112028626;;;;;;;;
SETI_adrs;0,0943;batch2;1,038260391;;;;;;;;
SETI_adrs;0,1214;batch2;1,336636389;;;;;;;;
SETI_adrs;0,0937;batch2;1,03165428;;;;;;;;
SETI_helperless-E2;0,0719;batch2;0,848577835;;;;;;;;
SETI_helperless-E2;0,0774;batch2;0,913489909;;;;;;;;
SETI_helperless-E2;0,0525;batch2;0,619615248;;;;;;;;
SETI_helperless-E2;0,0846;batch2;0,998465715;;;;;;;;
SETI_helperless-E2;0,061;batch2;0,719933908;;;;;;;;
SETI_helperless-E2;0,0765;batch2;0,902867933;;;;;;;;
SETI_helperless;0,0819;batch2;0,966599788;;;;;;;;
SETI_helperless;0,0927;batch2;1,094063496;;;;;;;;
SETI_helperless;0,0749;batch2;0,883984421;;;;;;;;
SETI_helperless;0,0921;batch2;1,086982179;;;;;;;;
SETI_nrgs-E2;0,0076;batch2;0,08197016;;;;;;;;
SETI_nrgs-E2;0,0068;batch2;0,073341722;;;;;;;;
SETI_nrgs-E2;0,0058;batch2;0,062556175;;;;;;;;
SETI_nrgs-E2;0,005;batch2;0,053927737;;;;;;;;
SETI_nrgs-E2;0,0089;batch2;0,095991372;;;;;;;;
SETI_nrgs-E2;0,0084;batch2;0,090598598;;;;;;;;
SETI_nrgs;0,0962;batch2;1,037569657;;;;;;;;
SETI_nrgs;0,083;batch2;0,895200431;;;;;;;;
SETI_nrgs;0,0915;batch2;0,986877584;;;;;;;;
SETI_nrgs;0,1128;batch2;1,216609743;;;;;;;;
Col-0-E2;0,0848;batch2;0,874865667;;;;;;;;
Col-0-E2;0,0858;batch2;0,885182479;;;;;;;;
Col-0-E2;0,0833;batch2;0,859390448;;;;;;;;
Col-0-E2;0,0768;batch2;0,79233117;;;;;;;;
Col-0-E2;0,0818;batch2;0,84391523;;;;;;;;
Col-0-E2;0,0878;batch2;0,905816103;;;;;;;;
Col-0-E2;0,0689;batch2;0,710828354;;;;;;;;
Col-0;0,0996;batch2;1,027554486;;;;;;;;
Col-0;0,1132;batch2;1,16786313;;;;;;;;
Col-0;0,1024;batch2;1,05644156;;;;;;;;
Col-0;0,0968;batch2;0,998667412;;;;;;;;
Col-0;0,113;batch2;1,165799768;;;;;;;;
SETI_wt-E2;0,0054;batch3;0,062059238;;;;;;;;
SETI_wt-E2;0,0035;batch3;0,04022358;;;;;;;;
SETI_wt-E2;0,0053;batch3;0,060909993;;;;;;;;
SETI_wt-E2;0,0059;batch3;0,067805464;;;;;;;;
SETI_wt-E2;0,0046;batch3;0,052865277;;;;;;;;
SETI_wt-E2;0,0049;batch3;0,056313013;;;;;;;;
SETI_wt-E2;0,0064;batch3;0,07355169;;;;;;;;
SETI_wt;0,0882;batch3;1,013634227;;;;;;;;
SETI_wt;0,0896;batch3;1,029723659;;;;;;;;
SETI_wt;0,0752;batch3;0,864232356;;;;;;;;
SETI_wt;0,0775;batch3;0,890664995;;;;;;;;
SETI_wt;0,0789;batch3;0,906754427;;;;;;;;
SETI_wt;0,1097;batch3;1,260721935;;;;;;;;
SETI_wt;0,097;batch3;1,1147678;;;;;;;;
SETI_eds1-E2;0,0733;batch3;0,816010525;;;;;;;;
SETI_eds1-E2;0,0638;batch3;0,710251999;;;;;;;;
SETI_eds1-E2;0,0902;batch3;1,004149378;;;;;;;;
SETI_eds1-E2;0,068;batch3;0,7570084;;;;;;;;
SETI_eds1-E2;0,0756;batch3;0,841615221;;;;;;;;
SETI_eds1-E2;0,0623;batch3;0,693553284;;;;;;;;
SETI_eds1-E2;0,0603;batch3;0,671288331;;;;;;;;
SETI_eds1-E2;0,0887;batch3;0,987450663;;;;;;;;
SETI_eds1;0,1161;batch3;1,292480518;;;;;;;;
SETI_eds1;0,105;batch3;1,168910029;;;;;;;;
SETI_eds1;0,092;batch3;1,024187835;;;;;;;;
SETI_eds1;0,066;batch3;0,734743447;;;;;;;;
SETI_eds1;0,086;batch3;0,957392976;;;;;;;;
SETI_eds1;0,0807;batch3;0,898390851;;;;;;;;
SETI_eds1;0,1024;batch3;1,139965591;;;;;;;;
SETI_eds1;0,0961;batch3;1,069830989;;;;;;;;
SETI_adrs-E2;0,0159;batch3;0,175061932;;;;;;;;
SETI_adrs-E2;0,0153;batch3;0,168455822;;;;;;;;
SETI_adrs-E2;0,0189;batch3;0,208092486;;;;;;;;
SETI_adrs-E2;0,0124;batch3;0,136526287;;;;;;;;
SETI_adrs-E2;0,0157;batch3;0,172859895;;;;;;;;
