Line;Fresh_weight;Batch;Ratio;Line_mean;Treatment;Fresh_weight_mean;Fresh_weight_sd;Fresh_weight_se;Fresh_weight_ratio_mean;Fresh_weight_ratio_sd;Fresh_weight_ratio_se
SETI_wt-E2;0,0145;batch1;0,188664515;SETI_wt;Mock;0,076856;0,012940379;0,002588076;1;0,168371743;0,002588076
SETI_wt-E2;0,0065;batch1;0,084573748;SETI_eds1;Mock;0,082253846;0,014814864;0,002905434;1;0,1801115;0,002905434
SETI_wt-E2;0,0026;batch1;0,033829499;SETI_pad4;Mock;0,077153846;0,014142821;0,002773635;1;0,183306752;0,002773635
SETI_wt-E2;0,0046;batch1;0,059852191;SETI_sag101;Mock;0,086726667;0,012964987;0,002495113;1;0,149492511;0,002495113
SETI_wt-E2;0,0057;batch1;0,074164672;SETI_ps;Mock;0,072946154;0,009496198;0,001862358;1;0,130180934;0,001862358
SETI_wt-E2;0,0065;batch1;0,084573748;Col-0;Mock;0,088576;0,013346419;0,002669284;1;0,150677599;0,002669284
SETI_wt;0,083;batch1;1,079941709;SETI_wt;E2;0,005583333;0,002301921;0,000469878;0,072646681;0,029951091;0,000469878
SETI_wt;0,0754;batch1;0,98105548;SETI_eds1;E2;0,070770833;0,01608003;0,003282322;0,86039543;0,195492746;0,003282322
SETI_wt;0,1184;batch1;1,540543354;SETI_pad4;E2;0,011933333;0,002630534;0,000536956;0,154669325;0,034094661;0,000536956
SETI_wt;0,0823;batch1;1,070833767;SETI_sag101;E2;0,006132;0,001944805;0,000388961;0,070704897;0,022424534;0,000388961
SETI_wt;0,0681;batch1;0,886072655;SETI_ps;E2;0,063216667;0,014121389;0,002882516;0,866620971;0,193586476;0,002882516
SETI_wt;0,0872;batch1;1,134589362;Col-0;E2;0,075492;0,014597772;0,002919554;0,852285043;0,164805043;0,002919554
SETI_wt;0,0967;batch1;1,258197148;;;;;;;;
SETI_wt;0,0831;batch1;1,081242844;;;;;;;;
SETI_eds1-E2;0,0952;batch1;1,157392687;;;;;;;;
SETI_eds1-E2;0,0825;batch1;1,002992612;;;;;;;;
SETI_eds1-E2;0,0915;batch1;1,112409988;;;;;;;;
SETI_eds1-E2;0,117;batch1;1,422425886;;;;;;;;
SETI_eds1-E2;0,0717;batch1;0,871691761;;;;;;;;
SETI_eds1-E2;0,0878;batch1;1,067427289;;;;;;;;
SETI_eds1;0,0932;batch1;1,133077714;;;;;;;;
SETI_eds1;0,0799;batch1;0,971383148;;;;;;;;
SETI_eds1;0,1144;batch1;1,390816422;;;;;;;;
SETI_eds1;0,1003;batch1;1,219395866;;;;;;;;
SETI_eds1;0,1189;batch1;1,44552511;;;;;;;;
SETI_eds1;0,0918;batch1;1,116057234;;;;;;;;
SETI_eds1;0,0855;batch1;1,039465071;;;;;;;;
SETI_eds1;0,0836;batch1;1,016365847;;;;;;;;
SETI_eds1;0,0813;batch1;0,988403629;;;;;;;;
SETI_pad4-E2;0,019;batch1;0,246261216;;;;;;;;
SETI_pad4-E2;0,0106;batch1;0,137387836;;;;;;;;
SETI_pad4-E2;0,0093;batch1;0,120538385;;;;;;;;
SETI_pad4-E2;0,0141;batch1;0,182751745;;;;;;;;
SETI_pad4-E2;0,0126;batch1;0,16331007;;;;;;;;
SETI_pad4-E2;0,0133;batch1;0,172382851;;;;;;;;
SETI_pad4;0,0694;batch1;0,899501496;;;;;;;;
SETI_pad4;0,0666;batch1;0,863210369;;;;;;;;
SETI_pad4;0,0817;batch1;1,05892323;;;;;;;;
SETI_pad4;0,0841;batch1;1,09002991;;;;;;;;
SETI_pad4;0,0793;batch1;1,02781655;;;;;;;;
SETI_pad4;0,1075;batch1;1,39332004;;;;;;;;
SETI_pad4;0,0826;batch1;1,070588235;;;;;;;;
SETI_pad4;0,1044;batch1;1,353140578;;;;;;;;
SETI_pad4;0,1011;batch1;1,310368893;;;;;;;;
SETI_sag101-E2;0,0074;batch1;0,085325544;;;;;;;;
SETI_sag101-E2;0,0037;batch1;0,042662772;;;;;;;;
SETI_sag101-E2;0,0103;batch1;0,118763933;;;;;;;;
SETI_sag101-E2;0,0128;batch1;0,14759013;;;;;;;;
SETI_sag101-E2;0,0061;batch1;0,070335921;;;;;;;;
SETI_sag101-E2;0,0061;batch1;0,070335921;;;;;;;;
SETI_sag101;0,0801;batch1;0,92359136;;;;;;;;
SETI_sag101;0,1005;batch1;1,158813129;;;;;;;;
SETI_sag101;0,09152;batch1;1,055269429;;;;;;;;
SETI_sag101;0,0891;batch1;1,02736567;;;;;;;;
SETI_sag101;0,0921;batch1;1,061957107;;;;;;;;
SETI_sag101;0,0853;batch1;0,98354985;;;;;;;;
SETI_sag101;0,0669;batch1;0,771389038;;;;;;;;
SETI_sag101;0,0961;batch1;1,108079022;;;;;;;;
SETI_sag101;0,1158;batch1;1,335229457;;;;;;;;
SETI_ps-E2;0,0858;batch1;1,17621006;;;;;;;;
SETI_ps-E2;0,0807;batch1;1,106295476;;;;;;;;
SETI_ps-E2;0,0688;batch1;0,943161447;;;;;;;;
SETI_ps-E2;0,0842;batch1;1,154276073;;;;;;;;
SETI_ps-E2;0,0874;batch1;1,198144047;;;;;;;;
SETI_ps-E2;0,0735;batch1;1,007592534;;;;;;;;
SETI_ps;0,0804;batch1;1,102182854;;;;;;;;
SETI_ps;0,0772;batch1;1,058314879;;;;;;;;
SETI_ps;0,0772;batch1;1,058314879;;;;;;;;
SETI_ps;0,0545;batch1;0,747126437;;;;;;;;
SETI_ps;0,0841;batch1;1,152905199;;;;;;;;
SETI_ps;0,0808;batch1;1,10766635;;;;;;;;
SETI_ps;0,0626;batch1;0,858167247;;;;;;;;
SETI_ps;0,0795;batch1;1,089844986;;;;;;;;
SETI_ps;0,0835;batch1;1,144679954;;;;;;;;
Col-0-E2;0,0908;batch1;1,025108382;;;;;;;;
Col-0-E2;0,0798;batch1;0,900921243;;;;;;;;
Col-0-E2;0,0891;batch1;1,005915824;;;;;;;;
Col-0-E2;0,0822;batch1;0,928016618;;;;;;;;
