Genotype;Treatment;totalchl;chla;chlb
SETI_wt;Mock;0,690043333;0,32;0,37
SETI_wt;E2;0,57252625;0,25;0,32
SETI_wt;PTI;0,7177075;0,36;0,35
SETI_wt;PE;0,45330125;0,18;0,27
SETI_adrs;Mock;0,69300625;0,36;0,33
SETI_adrs;E2;0,580400833;0,26;0,32
SETI_adrs;PTI;0,626389583;0,36;0,27
SETI_adrs;PE;0,390565;0,18;0,21
SETI_nrg1s;Mock;0,646905833;0,35;0,30
SETI_nrg1s;E2;0,593054167;0,30;0,29
SETI_nrg1s;PTI;0,650248333;0,29;0,35
SETI_nrg1s;PE;0,515264583;0,23;0,28
SETI_helperless;Mock;0,679780417;0,34;0,34
SETI_helperless;E2;0,723646667;0,36;0,36
SETI_helperless;PTI;0,744772083;0,36;0,38
SETI_helperless;PE;0,683408333;0,35;0,33
SETI_eds1;Mock;0,7335375;0,31;0,42
SETI_eds1;E2;0,6775675;0,37;0,30
SETI_eds1;PTI;0,7937775;0,37;0,42
SETI_eds1;PE;0,722434167;0,36;0,36
SETI_wt;Mock;0,756178333;0,4718775;0,280980833
SETI_wt;E2;0,458020417;0,311428333;0,14469875
SETI_wt;PTI;0,695765;0,509979167;0,183079167
SETI_wt;PE;0,291904583;0,1912175;0,099447083
SETI_adrs;Mock;0,656970417;0,45884125;0,195469167
SETI_adrs;E2;0,481958333;0,326025;0,153933333
SETI_adrs;PTI;0,668054583;0,473452083;0,191929167
SETI_adrs;PE;0,238224583;0,203664583;0,033766667
SETI_nrg1s;Mock;0,71101875;0,53553375;0,172785
SETI_nrg1s;E2;0,585037083;0,374212917;0,2082975
SETI_nrg1s;PTI;0,737317917;0,456593333;0,27747125
SETI_nrg1s;PE;0,52136;0,295371667;0,223561667
SETI_helperless;Mock;0,733102083;0,454287083;0,275581667
SETI_helperless;E2;0,853532083;0,641677917;0,2086075
SETI_helperless;PTI;0,71669375;0,486430417;0,227296667
SETI_helperless;PE;0,821035;0,45676625;0,36040875
SETI_eds1;Mock;0,6899375;0,429634583;0,257269583
SETI_eds1;E2;0,702857083;0,606839583;0,093704167
SETI_eds1;PTI;0,72435625;0,476761667;0,244527917
SETI_eds1;PE;0,733271667;0,42261625;0,307275417
SETI_wt;Mock;0,722492083;0,41429375;0,304858333
SETI_wt;E2;0,52815125;0,322072083;0,203725833
SETI_wt;PTI;0,705430417;0,536865833;0,16591125
SETI_wt;PE;0,31639;0,2299075;0,0852425
SETI_adrs;Mock;0,683834583;0,495482917;0,185665
SETI_adrs;E2;0,518624583;0,269272917;0,246825
SETI_adrs;PTI;0,691527917;0,480055833;0,20865875
SETI_adrs;PE;0,340705833;0,300268333;0,039344167
SETI_nrg1s;Mock;0,65906;0,447625417;0,208707917
SETI_nrg1s;E2;0,5690875;0,383852917;0,182867917
SETI_nrg1s;PTI;0,731937917;0,545360417;0,183770833
SETI_nrg1s;PE;0,53186;0,26115125;0,26804875
SETI_helperless;Mock;0,648852917;0,427141667;0,218964583
SETI_helperless;E2;0,69462375;0,47043;0,22131375
SETI_helperless;PTI;0,746457083;0,48700375;0,256273333
SETI_helperless;PE;0,698149583;0,538427083;0,157129167
SETI_eds1;Mock;0,684755833;0,386604583;0,294957917
SETI_eds1;E2;0,648203333;0,45369875;0,191884583
SETI_eds1;PTI;0,689694583;0,411829583;0,274751667
SETI_eds1;PE;0,656995417;0,422586667;0,231582083
SETI_wt;Mock;0,813405417;0,555044583;0,2550075
SETI_wt;E2;0,552037083;0,31481;0,234667083
SETI_wt;PTI;0,75651375;0,4724075;0,28078625
SETI_wt;PE;0,408415417;0,25772625;0,148909167
SETI_adrs;Mock;0,82306125;0,615306667;0,204607917
SETI_adrs;E2;0,557274583;0,315827083;0,238854167
SETI_adrs;PTI;0,773222917;0,510424167;0,259532083
SETI_adrs;PE;0,38475125;0,25517625;0,127955
SETI_nrg1s;Mock;0,749425833;0,564282917;0,18229625
SETI_nrg1s;E2;0,662207917;0,459858333;0,19965625
SETI_nrg1s;PTI;0,77738875;0,585239583;0,189195833
SETI_nrg1s;PE;0,5289475;0,394466667;0,132454167
SETI_helperless;Mock;0,791452917;0,485514583;0,302425
SETI_helperless;E2;0,750979583;0,58996625;0,158273333
SETI_helperless;PTI;0,75461125;0,54344125;0,20819
SETI_helperless;PE;0,740099583;0,474054583;0,262851667
SETI_eds1;Mock;0,797018333;0,614805;0,179253333
SETI_eds1;E2;0,779239167;0,492347083;0,28349875
SETI_eds1;PTI;0,757757083;0,46130625;0,293070833
SETI_eds1;PE;0,77478625;0,502732083;0,268740833
