line;treatment;day;cfu;batch;batch_aes
SETI;Mock;3 days;5,34;A;21
SETI;Mock;3 days;5,24;A;21
SETI;Mock;3 days;5,29;A;21
SETI;Mock;3 days;5,18;A;21
SETI;Mock;3 days;5,24;A;21
SETI;Mock;3 days;5,61;A;21
SETI;Mock;3 days;5,54;A;21
SETI;Mock;3 days;5,45;A;21
SETI;E2;3 days;4,18;A;21
SETI;E2;3 days;4,24;A;21
SETI;E2;3 days;4,45;A;21
SETI;E2;3 days;4,64;A;21
SETI;E2;3 days;4,24;A;21
SETI;E2;3 days;5,18;A;21
SETI;E2;3 days;5,03;A;21
SETI;E2;3 days;4,81;A;21
SETIadrs;Mock;3 days;6,59;A;21
SETIadrs;Mock;3 days;6,66;A;21
SETIadrs;Mock;3 days;6,61;A;21
SETIadrs;Mock;3 days;6,64;A;21
SETIadrs;Mock;3 days;7,03;A;21
SETIadrs;Mock;3 days;6,72;A;21
SETIadrs;Mock;3 days;6,61;A;21
SETIadrs;Mock;3 days;6,54;A;21
SETIadrs;E2;3 days;5,61;A;21
SETIadrs;E2;3 days;5,57;A;21
SETIadrs;E2;3 days;6,18;A;21
SETIadrs;E2;3 days;5,64;A;21
SETIadrs;E2;3 days;5,38;A;21
SETIadrs;E2;3 days;5,41;A;21
SETIadrs;E2;3 days;5,51;A;21
SETIadrs;E2;3 days;5,7;A;21
SETInrg1;Mock;3 days;5,45;A;21
SETInrg1;Mock;3 days;5,7;A;21
SETInrg1;Mock;3 days;5,38;A;21
SETInrg1;Mock;3 days;6,24;A;21
SETInrg1;Mock;3 days;5,45;A;21
SETInrg1;Mock;3 days;5,94;A;21
SETInrg1;Mock;3 days;5,66;A;21
SETInrg1;Mock;3 days;5,45;A;21
SETInrg1;E2;3 days;5,18;A;21
SETInrg1;E2;3 days;5,29;A;21
SETInrg1;E2;3 days;4,94;A;21
SETInrg1;E2;3 days;4,64;A;21
SETInrg1;E2;3 days;4,57;A;21
SETInrg1;E2;3 days;4,81;A;21
SETInrg1;E2;3 days;4,54;A;21
SETInrg1;E2;3 days;4,51;A;21
SETIhelperless;Mock;3 days;7,38;A;21
SETIhelperless;Mock;3 days;7,34;A;21
SETIhelperless;Mock;3 days;7,11;A;21
SETIhelperless;Mock;3 days;7,41;A;21
SETIhelperless;Mock;3 days;7,48;A;21
SETIhelperless;Mock;3 days;7,41;A;21
SETIhelperless;Mock;3 days;7,24;A;21
SETIhelperless;Mock;3 days;7,29;A;21
SETIhelperless;E2;3 days;7,38;A;21
SETIhelperless;E2;3 days;7,41;A;21
SETIhelperless;E2;3 days;7,11;A;21
SETIhelperless;E2;3 days;7,24;A;21
SETIhelperless;E2;3 days;6,94;A;21
SETIhelperless;E2;3 days;7,03;A;21
SETIhelperless;E2;3 days;7,41;A;21
SETIhelperless;E2;3 days;7,34;A;21
SETIeds1;Mock;3 days;7,24;A;21
SETIeds1;Mock;3 days;7,03;A;21
SETIeds1;Mock;3 days;6,94;A;21
SETIeds1;Mock;3 days;7,11;A;21
SETIeds1;Mock;3 days;6,81;A;21
SETIeds1;Mock;3 days;7,34;A;21
