line;treatment;day;cfu;batch;batch_aes
SETI;Mock;3 days;5,94;A;21
SETI;Mock;3 days;5,92;A;21
SETI;Mock;3 days;5,94;A;21
SETI;Mock;3 days;5,93;A;21
SETI;Mock;3 days;5,81;A;21
SETI;Mock;3 days;5,94;A;21
SETI;Mock;3 days;5,81;A;21
SETI;Mock;3 days;5,64;A;21
SETI;E2;3 days;4,7;A;21
SETI;E2;3 days;5,41;A;21
SETI;E2;3 days;4,66;A;21
SETI;E2;3 days;5,11;A;21
SETI;E2;3 days;5,18;A;21
SETI;E2;3 days;5,24;A;21
SETI;E2;3 days;5,18;A;21
SETI;E2;3 days;4,51;A;21
SETIpad4;Mock;3 days;6,64;A;21
SETIpad4;Mock;3 days;6,34;A;21
SETIpad4;Mock;3 days;6,11;A;21
SETIpad4;Mock;3 days;6,64;A;21
SETIpad4;Mock;3 days;6,34;A;21
SETIpad4;Mock;3 days;6,72;A;21
SETIpad4;Mock;3 days;6,64;A;21
SETIpad4;Mock;3 days;6,8;A;21
SETIpad4;E2;3 days;5,54;A;21
SETIpad4;E2;3 days;5,64;A;21
SETIpad4;E2;3 days;5,38;A;21
SETIpad4;E2;3 days;6,03;A;21
SETIpad4;E2;3 days;5,51;A;21
SETIpad4;E2;3 days;5,94;A;21
SETIpad4;E2;3 days;5,48;A;21
SETIpad4;E2;3 days;6,18;A;21
SETIsag101;Mock;3 days;5,94;A;21
SETIsag101;Mock;3 days;5,94;A;21
SETIsag101;Mock;3 days;5,38;A;21
SETIsag101;Mock;3 days;5,81;A;21
SETIsag101;Mock;3 days;5,81;A;21
SETIsag101;Mock;3 days;5,41;A;21
SETIsag101;Mock;3 days;5,34;A;21
SETIsag101;Mock;3 days;5,64;A;21
SETIsag101;E2;3 days;4,81;A;21
SETIsag101;E2;3 days;4,45;A;21
SETIsag101;E2;3 days;4,48;A;21
SETIsag101;E2;3 days;5,45;A;21
SETIsag101;E2;3 days;4,64;A;21
SETIsag101;E2;3 days;4,81;A;21
SETIsag101;E2;3 days;5,34;A;21
SETIsag101;E2;3 days;5,51;A;21
SETIpad4sag101;Mock;3 days;7,38;A;21
SETIpad4sag101;Mock;3 days;6,94;A;21
SETIpad4sag101;Mock;3 days;7,03;A;21
SETIpad4sag101;Mock;3 days;7,18;A;21
