"","SETI_WT.E.SETI_WT.mock","SETI_e.E.SETI_e.mock","SETI_p.E.SETI_p.mock","SETI_ps.E.SETI_ps.mock","SETI_s.E.SETI_s.mock"
"AT1G01010",0.364244384090713,0.23843227709481,0.0808379980983058,0.977679429191419,0.00132791682478636
"AT1G01020",0.800318649861315,0.971779321669941,0.302768199379467,0.950605491442236,0.0197124963166449
"AT1G01030",0.00900577533134259,0.875864411439173,0.641110016923938,0.905894481966557,0.506075129407511
"AT1G01040",0.0502031888290634,0.948194294317225,0.677598198986135,0.986465666796967,0.00327422863427647
"AT1G01050",0.00227918864205207,0.890377103029582,0.151345017730364,0.969519453094026,2.96334126902027e-05
"AT1G01070",0.266163057988217,0.815760937974661,0.0223654524528662,0.994857070191174,0.0170985570391007
"AT1G01080",0.213683013535205,0.642021042429248,0.119093400540701,0.999186311043754,0.00090407792410788
"AT1G01090",0.63916267667823,0.600219937554689,0.844897288419716,0.992230010773175,0.288286272454157
"AT1G01100",0.731673580263628,0.72165453232436,0.895861459877524,0.927530483332458,0.0778965675292205
"AT1G01120",0.00328299050960526,0.640043643807518,0.0057397768351407,0.771060840957732,0.00100154835299658
"AT1G01140",0.000124885387605838,0.390479466980704,0.507579078233573,0.966938389362712,0.0349222654900782
"AT1G01160",0.0258841093454758,0.898847470890077,0.0580034251455842,0.999882537146386,0.4749839026787
"AT1G01170",0.544855093768981,0.96063553089903,0.030424269827604,0.999186311043754,0.0468905596506197
"AT1G01180",0.424627271529922,0.590408098811165,0.0423159493841961,0.894026153169921,0.208874072757752
"AT1G01190",0.168841677098725,0.750502337434006,0.263966690902116,0.968705643508276,0.297856547665084
"AT1G01210",0.222921304781881,0.941347451420631,0.00547524642715525,0.969519453094026,0.0112321730985933
"AT1G01220",0.00741407076183893,0.521216871457077,0.236411238377459,0.986465666796967,2.60831921129559e-07
"AT1G01225",0.841204260639275,0.808233792395064,0.0686632423039431,0.90423299155944,0.155633157496908
"AT1G01230",0.992138862813376,0.600602019084242,0.952701845045542,0.99364459389793,0.0914242457654751
"AT1G01240",0.0271143094755747,0.469721332034794,0.104880492273521,0.90180567806015,0.0680726777068374
"AT1G01250",0.0082077749615965,0.888384357096246,0.000303151571897964,0.99364459389793,0.00233847485977806
"AT1G01260",1.57324105798875e-05,0.906495084425681,0.00116203903956727,0.973947562010903,0.000629917719284102
"AT1G01290",0.17421769653173,0.888225067529163,0.444644496729629,0.8353161627561,0.11538635358014
"AT1G01300",0.0053440592909016,0.836593159941319,0.0591699141803904,0.99691974095768,0.00316268915717865
"AT1G01320",0.000495547278600668,0.614031645500431,0.0385509538582181,0.956657823990124,1.13628122092151e-08
"AT1G01340",6.39546097818354e-10,0.900878360014724,2.08842469243282e-08,0.886831548827149,4.41847343084558e-10
"AT1G01350",0.000366881544071677,0.753191800155467,0.000311313759476867,0.986465666796967,1.29835102678223e-05
"AT1G01360",0.38221758101235,0.702548591447186,0.00318794997409831,0.994171009806183,0.126253703132781
"AT1G01390",0.95077803339601,0.275097211154796,0.947466763761654,0.989038476015641,0.00197737657830784
"AT1G01420",0.000602201940335925,0.997542052514049,0.000935453887367773,0.969519453094026,0.000133747395952801
"AT1G01430",0.000141099455903725,0.872160529412593,0.000263711398850765,0.987275945492614,9.35418679828424e-07
"AT1G01440",0.000210211379636584,0.744325495338598,0.0538201318857819,0.894026153169921,0.000600952557340842
"AT1G01448",0.801956760492694,0.862437911659532,0.617051792452268,0.991935760043631,0.00654463763279589
"AT1G01470",0.0294078403993392,0.476213304031479,0.412752730637228,0.967594360300669,0.515136416026945
"AT1G01480",3.24447224822788e-05,0.380745028577904,0.000899507902341701,0.781794313813319,1.50191265105366e-07
"AT1G01490",0.000757175218007905,0.276941907237259,0.656597636662262,0.999882537146386,0.0105263710961347
"AT1G01500",0.00687468969943774,0.835989195572797,0.980441376825923,0.999882537146386,0.156031626386529
"AT1G01510",0.00181179415914045,0.338496646601535,0.0191792961317657,0.969519453094026,4.16317717661474e-05
"AT1G01540",0.514021574421684,0.806929348580836,0.462298810163716,0.961390764152026,0.115225816461995
"AT1G01550",9.16165910335404e-07,0.481842913689941,5.84964744009257e-05,0.999186311043754,4.79167342696346e-08
"AT1G01560",3.16743589007012e-11,0.654882171650875,5.86253384144689e-10,0.816423697720635,1.0607752358852e-11
"AT1G01570",0.309460351639807,0.906110553244221,0.422131924768823,0.994807707917493,0.0192168907482982
"AT1G01580",0.146064087028123,0.994212050967183,0.554470789577252,0.945573744122544,0.00357404060086047
"AT1G01600",0.451140727232269,0.69278661942653,0.579039662772069,0.961390764152026,0.928293583418759
"AT1G01610",0.00251191466906752,0.517231233297759,0.0024197638773421,0.937786515319954,0.000124590976223273
"AT1G01620",0.00270043533421865,0.696719771675809,0.0352394553273341,0.992230010773175,0.0508709978473081
"AT1G01630",0.133592101668901,0.663932147628858,0.0309166269003539,0.999186311043754,0.00416944496993991
"AT1G01640",0.110074555167033,0.745038078048983,0.871433539308617,0.961390764152026,0.776123637767725
"AT1G01650",0.410748426397288,0.182494654212928,0.90035075007081,0.793707276908226,0.00216957929832608
"AT1G01660",0.652632846750049,0.662875247089698,0.733353065815324,0.994723667767386,0.46471792857757
"AT1G01670",0.060132230109986,0.783058347206545,0.826850246845229,0.90988765928804,0.650326362539537
"AT1G01680",4.17625148120724e-11,0.9604102631097,0.000403867836465187,0.989605594546422,7.33496331474863e-12
"AT1G01690",3.60908042103059e-06,0.796825599044989,0.554361590262514,0.999882537146386,1.44389351037279e-07
"AT1G01695",0.00184413771638049,0.738717909919149,0.129398324084774,0.986465666796967,0.000839197281600673
"AT1G01700",0.284884653430001,0.276941907237259,0.776696450855815,0.999186311043754,0.64565592314272
"AT1G01710",0.00731806863933997,0.408770056159253,0.576290804026869,0.994807707917493,0.618451455842727
"AT1G01720",0.109487943069723,0.808338330272651,0.00154519738987781,0.611268654939299,0.0538313925249055
"AT1G01725",0.181167494725797,0.565191213123619,0.881454292455215,0.701227556248404,0.920134782416113
"AT1G01730",0.611947505867081,0.468408081214489,0.0822726044064218,0.999882537146386,0.00981195336196977
"AT1G01740",0.0302137855967483,0.808149405103298,0.921849214701483,0.909815820094864,0.0428284973308665
"AT1G01760",0.685765551651782,0.880563701103403,0.0472828993759142,0.999882537146386,0.0431511544350827
"AT1G01770",0.00516820872194338,0.743774592122443,0.0695893213757972,0.999882537146386,2.87387935164338e-05
"AT1G01780",0.00763905629825348,0.817354564571391,0.0764848847745588,0.969854665348939,0.0254711741921002
"AT1G01790",0.610506060172156,0.869745206574035,0.798037777018108,0.999186311043754,0.0845992299061483
"AT1G01800",0.748458568855102,0.801821227974594,0.21380945007724,0.978482080906479,0.189163101686967
"AT1G01820",0.973801579458699,0.398583175741672,0.0886793298737764,0.978482080906479,0.00117191636437207
"AT1G01830",0.0353010600892193,0.635201860866591,0.268832425323166,0.973846634115559,0.00266020223256655
"AT1G01840",0.188329578641782,0.971779321669941,0.213758544368129,0.994171009806183,0.0227828897410995
"AT1G01860",0.000404062791612345,0.988226364770086,0.0357841356715981,0.977670357656653,5.90389311860081e-05
"AT1G01880",0.265387920883673,0.996977629275245,0.416329098019476,0.999882537146386,0.836726102989297
"AT1G01900",0.162517038742527,0.517548823719823,0.0984658874966192,0.937993827652912,0.46342360396266
"AT1G01910",0.286175284079621,0.989917136998839,0.937307320853502,0.986465666796967,0.159925526227226
"AT1G01920",0.619251196851476,0.782645279706853,0.962830035395275,0.999186311043754,0.400307002999261
"AT1G01930",0.905120914502694,0.82233818329469,0.55541739817688,0.999882537146386,0.806686877248371
"AT1G01940",0.0173059951725781,0.855747846488575,0.0202764548418098,0.86410003467006,0.00913293979943921
"AT1G01950",0.754647630664097,0.950593236853311,0.157264437808726,0.99902899389067,0.517751340037563
"AT1G01960",0.153220772062978,0.847320766498196,0.56566914363127,0.992230010773175,0.000187143376677078
"AT1G01970",0.000199498671853763,0.25885380675799,0.00447433235708521,0.999186311043754,2.3099192340129e-06
"AT1G01990",0.735350686929716,0.877142914105577,0.554960287022396,0.999186311043754,0.125896051970385
"AT1G02000",0.151133585748293,0.201738888055474,0.00802013904928717,0.907006032397379,0.386961252775629
