source;term_name;term_id;highlighted;adjusted_p_value;negative_log10_of_adjusted_p_value;term_size;query_size;intersection_size;effective_domain_size;intersections
GO:MF;catalytic activity;GO:0003824;FALSE;0.034423484;1.46314518;9406;134;69;23212;AT4G23230,AT3G45860,AT4G36950,AT5G01050,AT1G04920,AT4G14680,AT3G18710,AT4G23180,AT3G24503,AT1G59950,AT1G76130,AT3G54420,AT3G55880,AT1G56145,AT5G52800,AT1G25390,AT4G26070,AT1G77660,AT5G45060,AT2G26170,AT1G74440,AT3G14840,AT1G11300,AT3G26210,AT1G11303,AT1G05630,AT1G51760,AT3G57730,AT5G44870,AT5G58787,AT5G45250,AT1G79670,AT1G53390,AT5G09790,AT2G28830,AT1G63380,AT4G37670,AT5G60300,AT4G30280,AT3G62590,AT3G47780,AT3G22910,AT2G37040,AT1G47510,AT5G27420,AT5G20230,AT4G23310,AT4G16600,AT3G53260,AT3G09405,AT2G47140,AT2G30750,AT1G79680,AT3G57880,AT3G21230,AT3G10815,AT1G69930,AT1G44130,AT1G33960,AT1G32940,AT1G22400,AT1G01480,AT4G22710,AT4G11370,AT2G44500,AT1G64710,AT1G26380,AT1G21130,AT1G05675
GO:MF;kinase activity;GO:0016301;FALSE;0.04474374;1.34926772;1441;134;16;23212;AT4G23230,AT3G45860,AT4G36950,AT4G14680,AT4G23180,AT1G56145,AT1G25390,AT4G26070,AT3G14840,AT1G11300,AT1G11303,AT3G57730,AT1G79670,AT5G60300,AT4G23310,AT1G79680
GO:MF;carbohydrate binding;GO:0030246;TRUE;0.005217783;2.282514009;383;134;9;23212;AT1G25390,AT1G11300,AT1G08450,AT1G11303,AT1G79670,AT5G60300,AT4G30280,AT1G79680,AT1G56240
GO:MF;ADP binding;GO:0043531;FALSE;0.002333614;2.631970975;174;134;7;23212;AT4G36140,AT5G45060,AT1G72910,AT3G04210,AT5G44870,AT5G45250,AT5G41550
GO:MF;calcium ion transmembrane transporter activity;GO:0015085;FALSE;0.002239563;2.649836741;71;134;5;23212;AT3G04110,AT2G29100,AT3G22910,AT5G48410,AT5G11210
GO:CC;plasma membrane;GO:0005886;TRUE;2.16E-05;4.666287599;2812;125;38;21112;AT3G24900,AT2G29410,AT3G04110,AT4G25940,AT1G11310,AT2G29100,AT4G04220,AT1G56145,AT1G25390,AT5G44582,AT3G14840,AT1G11300,AT3G11010,AT1G11303,AT2G32680,AT2G46430,AT3G57730,AT5G40170,AT1G79670,AT4G38550,AT3G05370,AT5G60300,AT1G47510,AT5G51465,AT5G48410,AT5G20230,AT4G28390,AT3G22600,AT1G79680,AT1G59870,AT1G57990,AT5G11210,AT3G57880,AT2G39518,AT1G70690,AT4G22710,AT2G32200,AT1G26380
GO:CC;cell periphery;GO:0071944;FALSE;2.16E-05;4.666287599;3238;125;42;21112;AT3G24900,AT2G29410,AT3G04110,AT4G25940,AT1G11310,AT2G29100,AT4G04220,AT1G56145,AT1G25390,AT5G44582,AT3G14840,AT1G11300,AT3G11010,AT1G11303,AT2G32680,AT2G46430,AT3G57730,AT5G40170,AT1G79670,AT4G38550,AT3G05370,AT5G60300,AT4G30280,AT1G47510,AT5G51465,AT5G48410,AT5G20230,AT4G28390,AT3G22600,AT1G79680,AT1G59870,AT1G57990,AT5G11210,AT3G57880,AT2G39518,AT1G70690,AT1G44130,AT1G32940,AT4G22710,AT3G09520,AT2G32200,AT1G26380
GO:CC;membrane;GO:0016020;FALSE;0.000428531;3.36801737;8349;125;73;21112;AT3G24900,AT4G23230,AT3G45860,AT4G23180,AT2G29410,AT3G04110,AT4G25940,AT3G55880,AT1G11310,AT2G29100,AT4G04220,AT1G56145,AT1G25390,AT4G36140,AT1G77660,AT5G44582,AT2G26170,AT1G74440,AT3G14840,AT1G11300,AT3G11010,AT3G26210,AT1G08450,AT1G11303,AT1G05630,AT2G32680,AT3G04210,AT2G46430,AT3G57730,AT5G40170,AT4G18205,AT5G45250,AT1G79670,AT1G62200,AT1G53390,AT4G18197,AT4G38550,AT4G18195,AT3G05370,AT4G15233,AT5G60300,AT1G72060,AT3G62590,AT3G47780,AT3G22910,AT1G47510,AT5G51465,AT5G48410,AT5G27420,AT5G20230,AT4G28390,AT4G28085,AT4G23310,AT4G16600,AT3G22600,AT2G30750,AT1G79680,AT1G59870,AT1G57990,AT5G11210,AT5G01640,AT3G57880,AT3G21080,AT3G06890,AT2G39518,AT1G70690,AT1G30850,AT1G29290,AT4G22710,AT2G44578,AT2G44500,AT2G32200,AT1G26380
GO:BP;defense response;GO:0006952;FALSE;6.92E-09;8.159902529;1666;117;32;22826;AT4G23230,AT3G45860,AT2G31230,AT5G47230,AT4G23180,AT3G54420,AT1G11310,AT4G36140,AT4G26070,AT5G45060,AT3G14840,AT1G72910,AT1G08450,AT2G32680,AT3G04210,AT3G57730,AT5G44870,AT5G45250,AT5G04020,AT5G60300,AT3G62590,AT2G37040,AT5G47220,AT5G27420,AT4G23310,AT3G22600,AT1G79680,AT1G59870,AT5G41550,AT1G70690,AT4G17490,AT3G23240
GO:BP;protein phosphorylation;GO:0006468;TRUE;0.007092541;2.149198148;1151;117;15;22826;AT4G23230,AT3G45860,AT4G36950,AT4G23180,AT1G56145,AT1G25390,AT4G26070,AT3G14840,AT1G11300,AT1G11303,AT3G57730,AT1G79670,AT5G60300,AT4G23310,AT1G79680
GO:BP;immune system process;GO:0002376;FALSE;1.10E-05;4.959751078;291;117;11;22826;AT4G26070,AT5G45060,AT3G14840,AT1G08450,AT2G32680,AT3G04210,AT5G44870,AT5G45250,AT5G47220,AT3G22600,AT1G59870
GO:BP;response to wounding;GO:0009611;FALSE;0.013169252;1.880438908;245;117;6;22826;AT3G54420,AT4G26070,AT3G14840,AT1G05630,AT1G51760,AT5G60300
GO:BP;cell death;GO:0008219;FALSE;0.023029788;1.637710052;196;117;5;22826;AT3G45860,AT1G08450,AT5G44870,AT5G45250,AT1G59870
GO:BP;plant-type hypersensitive response;GO:0009626;FALSE;0.009951449;2.002113675;90;117;4;22826;AT1G08450,AT5G44870,AT5G45250,AT1G59870
GO:BP;negative regulation of cell size;GO:0045792;TRUE;0.030341037;1.517969576;1;117;1;22826;AT2G17040
