Column1;SETI_WT.E.SETI_WT.mock;SETI_e.E.SETI_e.mock;SETI_p.E.SETI_p.mock;SETI_ps.E.SETI_ps.mock;SETI_s.E.SETI_s.mock
AT1G01010;0.284225569;0.962460563;0.664049024;0.215613244;1.034910144
AT1G01020;0.065247631;0.027385274;-0.261433801;0.208815185;0.488809837
AT1G01030;-1.74697248;-0.231894103;-0.314247974;-0.540810825;-0.387343571
AT1G01040;-0.388986264;0.042991414;-0.099471372;0.102876829;-0.58673276
AT1G01050;-0.395889221;-0.049659824;-0.185952623;0.09059503;-0.57330605
AT1G01070;-0.737478582;0.435294941;-1.570656467;-0.17471361;-1.964690454
AT1G01080;-0.249170415;-0.199777764;-0.320359371;0.035644293;-0.666201007
AT1G01090;-0.07614534;-0.167523995;-0.037257918;0.057806527;-0.149725216
AT1G01100;0.076876321;-0.165342173;0.034629563;0.211030325;0.331231738
AT1G01120;-0.756931293;0.254490742;-0.731532546;0.454503452;-0.828291525
AT1G01140;-1.542939129;0.617810178;-0.269675184;0.285157639;-0.722815295
AT1G01160;-0.434485541;-0.072599297;-0.387579419;-0.02376598;-0.141007936
AT1G01170;-0.195901486;-0.048153252;-0.64289726;-0.058985424;-0.542823053
AT1G01180;0.231454479;0.348679616;0.578994457;-0.35458698;0.337312032
AT1G01190;1.89167275;-0.803818234;1.612914048;0.847604138;1.04210733
AT1G01210;-0.28110043;-0.051320731;-0.659795895;0.15376663;-0.56303202
AT1G01220;-0.442133676;-0.202979497;-0.197300379;-0.083666405;-1.059298701
AT1G01225;-0.142767808;0.338426022;-1.084745571;-0.591153216;-0.849283267
AT1G01230;0.002887714;0.238515809;-0.01704446;-0.067191678;0.331688898
AT1G01240;-0.899133346;0.601717814;-0.712212965;-0.455597276;-0.72455944
AT1G01250;-1.178017787;0.132890969;-1.495878807;0.123063858;-1.266141413
AT1G01260;1.575451419;0.120644247;1.173327114;-0.23145652;1.110228116
AT1G01290;-0.370675774;-0.103570853;-0.234080211;-0.371379961;-0.412717193
AT1G01300;-0.875583086;-0.168580423;-0.595534312;-0.078670317;-0.894634515
AT1G01320;-0.921168208;-0.278414574;-0.535716691;0.23356954;-1.935835333
AT1G01340;2.817178291;0.164123393;3.479639895;-0.510560753;2.857842691
AT1G01350;0.55825793;-0.117350818;0.629342527;-0.082257511;0.71336259
AT1G01360;-0.221690488;0.204505524;-0.778667083;-0.072080537;-0.350436638
AT1G01390;-0.030204834;-0.679574854;0.032507628;0.141311897;-1.20481781
AT1G01420;-1.333988361;0.004220281;-1.257099173;0.217750357;-1.500855935
AT1G01430;-1.374590279;-0.140725305;-1.261965958;-0.143416043;-1.935879215
AT1G01440;1.177985186;0.246971052;0.641633969;-0.372780127;1.034488383
AT1G01448;-0.092537853;-0.125567467;-0.17002165;-0.114543388;-0.838097117
AT1G01470;-0.800430371;0.528585438;-0.328377105;0.281116573;0.234313169
AT1G01480;1.756718763;1.216671366;2.06050273;0.899642894;3.370629985
AT1G01490;-0.832179007;0.492366634;-0.121216707;-0.004757881;-0.578678759
AT1G01500;-0.494530959;0.098235318;0.006291424;-0.009585135;-0.242751671
AT1G01510;-0.611512167;-0.321027611;-0.42741927;-0.121352406;-0.821146603
AT1G01540;-0.173430584;0.153584394;0.204495019;-0.209633529;0.37099977
AT1G01550;1.186463694;0.267884333;0.879481037;-0.038142693;1.383658976
AT1G01560;4.228506386;0.463815469;5.157710556;-0.686080821;4.25537082
AT1G01570;0.485616213;0.185967352;0.504951786;0.138344479;1.15352436
AT1G01580;-1.068224306;-0.01622404;-0.425414353;0.540292472;-2.522363926
AT1G01600;0.621684664;-0.804729269;-0.47742883;0.663104615;-0.091904607
AT1G01610;-0.779060797;-0.330708272;-0.810887467;0.257549978;-1.015321918
AT1G01620;-1.246265552;0.358962885;-0.879615122;-0.171009284;-0.738798649
AT1G01630;-0.259871243;-0.166727783;-0.38817325;-0.033922533;-0.491907963
AT1G01640;0.766035831;0.389471083;-0.099982355;-0.436518493;0.14679539
AT1G01650;-0.141426454;0.423994822;0.027481558;0.267851117;0.500531138
AT1G01660;0.367907921;-0.968702756;-0.37485091;0.220734745;0.617723484
AT1G01670;0.788588355;-0.32831277;-0.14121044;-0.478036789;0.193141417
AT1G01680;5.002135349;0.321944301;7.065654007;-0.910194121;5.383435973
AT1G01690;2.408457451;-0.392354615;-0.455744536;-0.077997958;2.794849221
AT1G01695;3.875506817;1.137623897;-2.247434033;-0.768669683;3.286696506
AT1G01700;-0.728038926;-1.12479965;-0.223202158;0.103584327;0.285574458
AT1G01710;-0.413247815;0.250053291;-0.098004088;-0.041448074;-0.07704479
AT1G01720;0.657211177;0.281850826;1.491014443;1.190124406;0.790791856
AT1G01725;-0.490721707;0.414080894;0.070677291;-0.884751567;0.03893597
AT1G01730;0.103438896;0.310522282;0.351600996;-0.002229312;0.480931285
AT1G01740;-0.682500912;-0.158668615;0.038638487;-0.299380857;-0.613475993
AT1G01760;-0.203943603;0.180682253;-0.927131787;0.043778942;-1.066982937
AT1G01770;-0.91645063;-0.21363362;-0.579012619;0.015147379;-1.623541974
AT1G01780;-1.296920963;-0.216832935;-0.738489577;0.236640072;-0.984821707
AT1G01790;0.111738152;-0.094551041;0.065580108;0.033680055;-0.329702271
AT1G01800;-0.079928545;0.13942022;-0.292182351;-0.132746185;-0.275170222
AT1G01820;0.005443046;0.206729218;0.21601309;-0.074320282;0.399821134
AT1G01830;-0.608229295;0.287736016;-0.325589593;-0.172595478;-0.923580656
AT1G01840;-1.681649063;0.112843187;-1.360635316;-0.303343332;-2.881932591
AT1G01860;-1.227836203;0.013362845;-0.602040139;0.156067567;-1.381311141
AT1G01880;0.83719248;-0.009461205;-0.590265337;0.03584795;-0.153333702
AT1G01900;0.465684568;-0.450310577;-0.539448096;0.344691998;-0.235005872
AT1G01910;-0.163015544;0.007250848;-0.016208283;-0.076149023;0.199291621
AT1G01920;-0.124574577;-0.148056623;0.014522427;-0.040838917;0.184128178
AT1G01930;-0.035406318;-0.136528543;0.159377204;-0.031995255;0.061125488
AT1G01940;0.819829514;0.194936982;0.881605654;0.541143916;0.893154504
AT1G01950;-0.096411493;-0.056114742;0.397323695;-0.064009934;0.169328167
AT1G01960;-0.304893433;-0.111611469;-0.141658472;-0.087501417;-0.837419375
AT1G01970;-0.719413929;-0.354422481;-0.497475602;0.038089482;-0.94956381
AT1G01990;-0.080487933;0.094056519;0.142612092;0.042243229;-0.30703656
AT1G02000;-0.276963083;0.468156844;0.507537593;0.205919126;0.162518352
AT1G02010;-0.943288721;0.177361292;-0.526336927;0.119740625;-0.723012572
AT1G02020;-0.260984582;-0.120115407;-0.078736199;-0.001715229;-0.579717707
AT1G02050;-0.004205042;-0.134009649;-0.385823252;0.306784397;-0.849985379
AT1G02060;0.66487534;-0.27850689;-0.632171174;0.196524176;-1.153887594
AT1G02080;-0.058580966;-0.010365246;0.001766951;0.049295797;-0.426046814
AT1G02090;0.641066165;0.146794628;0.384883381;0.00705726;0.715982771
AT1G02100;0.271071536;0.199803881;0.426941067;0.119480607;0.837786842
AT1G02110;-0.711094157;-0.231336756;-0.243799083;-0.026433609;-0.853859827
AT1G02120;0.484621493;-0.080070781;0.245788138;-0.210227771;0.573091928
AT1G02130;-0.374525324;-0.043142714;-0.03983144;-0.104769911;-0.201658135
AT1G02140;-0.081853633;0.044094957;-0.086982914;-0.012675843;0.162056394
AT1G02145;-0.079721676;-0.189710115;-0.283234536;-0.027660029;-0.621491595
AT1G02150;-0.399445745;-0.167666751;-0.359973607;0.154756966;-0.685192861
AT1G02160;-0.263359938;0.05465637;-0.412280567;-0.148335849;-0.011727097
AT1G02170;1.560373241;0.172610753;1.58190399;-0.293951059;1.565310986
