source;term_name;term_id;highlighted;adjusted_p_value;negative_log10_of_adjusted_p_value;term_size;query_size;intersection_size;effective_domain_size;intersections
GO:CC;membrane;GO:0016020;TRUE;0.002443758;2.61194189;8349;135;75;21112;AT4G23160,AT3G25010,AT1G26130,AT5G40720,AT5G59670,AT1G30900,AT4G04695,AT2G28760,AT4G31840,AT2G32880,AT4G24290,AT3G44150,AT2G26240,AT5G59000,AT1G56130,AT3G16270,AT1G34300,AT5G22780,AT1G61460,AT1G14360,AT2G02810,AT2G40810,AT2G25440,AT2G30070,AT5G57140,AT5G42020,AT5G22770,AT4G00240,AT5G28540,AT3G54120,AT4G29520,AT1G09080,AT2G28630,AT1G67000,AT4G11230,AT1G31335,AT2G24170,AT1G14040,AT1G08500,AT1G51340,AT5G24290,AT1G05170,AT1G71400,AT3G03970,AT5G64790,AT3G13950,AT5G51060,AT4G30430,AT4G24380,AT3G25780,AT2G32190,AT1G05340,AT5G57500,AT4G27290,AT3G26440,AT3G19970,AT3G01840,AT2G35980,AT2G35710,AT2G35658,AT2G04070,AT1G61800,AT1G59865,AT1G34180,AT1G32350,AT1G08860,AT3G47480,AT1G56060,AT1G14870,AT1G03660,AT5G65600,AT5G64870,AT5G10520,AT4G24110,AT3G48850
GO:CC;mediator complex;GO:0016592;TRUE;0.039548636;1.402868489;52;135;3;21112;AT5G42020,AT5G28540,AT1G09080
GO:CC;cell periphery;GO:0071944;FALSE;0.003814136;2.418603851;3238;135;37;21112;AT3G25010,AT1G26130,AT5G59670,AT2G28760,AT4G31840,AT4G24290,AT3G44150,AT1G56130,AT1G34300,AT5G22780,AT1G61460,AT2G25440,AT2G30070,AT5G42020,AT5G22770,AT4G00240,AT5G28540,AT4G29520,AT4G11230,AT1G14040,AT1G08500,AT1G51340,AT1G71400,AT5G57560,AT5G51060,AT4G30430,AT3G25780,AT2G32190,AT1G05340,AT3G01840,AT2G35980,AT1G32960,AT1G08860,AT1G56060,AT1G14870,AT5G65600,AT5G64870
GO:CC;endoplasmic reticulum protein-containing complex;GO:0140534;FALSE;0.032308999;1.490676501;94;135;4;21112;AT5G42020,AT5G28540,AT4G16660,AT1G09080
GO:MF;carbohydrate binding;GO:0030246;TRUE;0.028793685;1.540702753;383;146;9;23212;AT1G53080,AT1G34300,AT1G61460,AT1G67000,AT1G33790,AT5G57560,AT4G27290,AT5G65600,AT3G15356
GO:MF;protein folding chaperone;GO:0044183;TRUE;0.015929196;1.79780615;70;146;5;23212;AT5G42020,AT5G28540,AT4G16660,AT4G29520,AT1G09080
GO:MF;oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor;GO:0050664;TRUE;0.015929196;1.79780615;17;146;3;23212;AT4G11230,AT5G51060,AT1G32350
GO:MF;UDP-glucose transmembrane transporter activity;GO:0005460;TRUE;0.028793685;1.540702753;7;146;2;23212;AT1G14360,AT2G02810
GO:MF;NAD(P)H oxidase H2O2-forming activity;GO:0016174;FALSE;0.048752423;1.312003791;10;146;2;23212;AT4G11230,AT5G51060
GO:BP;response to stimulus;GO:0050896;FALSE;9.30471E-06;5.031297031;6380;142;71;22826;AT4G23160,AT3G25010,AT4G26270,AT4G23170,AT2G46240,AT5G12030,AT4G04695,AT2G29500,AT5G44635,AT5G52910,AT5G49110,AT1G53080,AT4G24290,AT4G01370,AT3G26000,AT5G20990,AT3G46530,AT4G19510,AT5G64510,AT5G20610,AT1G61460,AT1G14360,AT2G02810,AT5G42020,AT5G28540,AT4G16660,AT5G04560,AT1G58420,AT4G29520,AT1G09080,AT5G64900,AT4G11230,AT1G14040,AT3G11000,AT1G51340,AT3G62600,AT4G16780,AT3G03970,AT3G09940,AT5G57560,AT5G51060,AT5G45630,AT5G17350,AT4G30430,AT3G25780,AT1G66700,AT5G66890,AT5G57510,AT5G38900,AT4G08770,AT3G46080,AT3G28210,AT3G04640,AT2G35980,AT2G04070,AT1G66600,AT1G61800,AT1G32960,AT1G08860,AT1G56060,AT1G30040,AT1G14870,AT5G65600,AT5G10520,AT4G24110,AT3G48850,AT3G15356,AT2G15490,AT1G71520,AT1G21120,AT1G21110
GO:BP;defense response;GO:0006952;FALSE;0.033189794;1.478995449;1666;142;21;22826;AT4G23160,AT4G23170,AT2G46240,AT4G24290,AT4G01370,AT3G46530,AT4G19510,AT1G61460,AT1G58420,AT5G64900,AT3G62600,AT3G03970,AT1G66700,AT5G66890,AT5G38900,AT2G35980,AT1G32960,AT1G08860,AT5G65600,AT5G10520,AT3G15356
GO:BP;immune system process;GO:0002376;FALSE;0.002775874;2.55660019;291;142;9;22826;AT4G24290,AT4G01370,AT3G46530,AT1G61460,AT5G64900,AT3G62600,AT3G03970,AT1G32960,AT5G65600
GO:BP;response to endoplasmic reticulum stress;GO:0034976;FALSE;0.000231;3.636387509;108;142;7;22826;AT5G64510,AT1G14360,AT2G02810,AT5G42020,AT5G28540,AT1G09080,AT3G11000
GO:BP;response to salicylic acid;GO:0009751;FALSE;0.005555423;2.255282853;190;142;7;22826;AT4G23170,AT4G04695,AT4G24290,AT4G01370,AT5G45630,AT1G66700,AT5G65600
GO:BP;cell death;GO:0008219;FALSE;0.032528325;1.487738293;196;142;6;22826;AT4G23170,AT2G46240,AT4G24290,AT3G46530,AT4G16660,AT5G65600
