"target","contrast","adj.pval","log2FC","up.down"
"AT5G56340","SETI_WT.E-SETI_WT.mock",1.68270613740213e-11,3.54821823668532,"up-regulated"
"AT1G03730","SETI_WT.E-SETI_WT.mock",1.96709164493043e-11,2.32752043196864,"up-regulated"
"AT5G16480","SETI_WT.E-SETI_WT.mock",1.96709164493043e-11,3.17881935116633,"up-regulated"
"AT5G41180","SETI_WT.E-SETI_WT.mock",1.96709164493043e-11,3.45838149260642,"up-regulated"
"AT3G47540","SETI_WT.E-SETI_WT.mock",2.04254079843439e-11,3.82617011223756,"up-regulated"
"AT1G33720","SETI_WT.E-SETI_WT.mock",2.12717239714085e-11,3.69321296016072,"up-regulated"
"AT1G35230","SETI_WT.E-SETI_WT.mock",2.58683609923625e-11,3.84725921728395,"up-regulated"
"AT2G04450","SETI_WT.E-SETI_WT.mock",2.58683609923625e-11,3.70646781320748,"up-regulated"
"AT4G18250","SETI_WT.E-SETI_WT.mock",2.58683609923625e-11,4.59097936132558,"up-regulated"
"AT4G36988","SETI_WT.E-SETI_WT.mock",2.58683609923625e-11,2.76832399516238,"up-regulated"
"AT5G22520","SETI_WT.E-SETI_WT.mock",2.58683609923625e-11,5.28821073202189,"up-regulated"
"AT5G58430","SETI_WT.E-SETI_WT.mock",2.58683609923625e-11,3.22776573067104,"up-regulated"
"AT1G01560","SETI_WT.E-SETI_WT.mock",3.16743589007012e-11,4.22850638635844,"up-regulated"
"AT1G48320","SETI_WT.E-SETI_WT.mock",3.16743589007012e-11,2.54596607420798,"up-regulated"
"AT3G22160","SETI_WT.E-SETI_WT.mock",3.16743589007012e-11,3.02461385270966,"up-regulated"
"AT3G57550","SETI_WT.E-SETI_WT.mock",3.16743589007012e-11,2.6175143173051,"up-regulated"
"AT4G04540","SETI_WT.E-SETI_WT.mock",3.16743589007012e-11,4.91950815147197,"up-regulated"
"AT4G18253","SETI_WT.E-SETI_WT.mock",3.16743589007012e-11,4.11017170905937,"up-regulated"
"AT1G71100","SETI_WT.E-SETI_WT.mock",3.35542288207637e-11,2.56042204845501,"up-regulated"
"AT4G39030","SETI_WT.E-SETI_WT.mock",3.35542288207637e-11,4.72886336833243,"up-regulated"
"AT2G41835","SETI_WT.E-SETI_WT.mock",3.76526913912755e-11,3.74352550674173,"up-regulated"
"AT1G01680","SETI_WT.E-SETI_WT.mock",4.17625148120724e-11,5.00213534867677,"up-regulated"
"AT2G27580","SETI_WT.E-SETI_WT.mock",4.17625148120724e-11,2.26838558186738,"up-regulated"
"AT3G07720","SETI_WT.E-SETI_WT.mock",4.17625148120724e-11,2.15622933763914,"up-regulated"
"AT4G02550","SETI_WT.E-SETI_WT.mock",4.17625148120724e-11,2.25297916889039,"up-regulated"
"AT4G11660","SETI_WT.E-SETI_WT.mock",4.17625148120724e-11,2.64168881834357,"up-regulated"
"AT5G01980","SETI_WT.E-SETI_WT.mock",4.17625148120724e-11,3.19664081971588,"up-regulated"
"AT5G42830","SETI_WT.E-SETI_WT.mock",4.17625148120724e-11,3.91323949951249,"up-regulated"
"AT2G44600","SETI_WT.E-SETI_WT.mock",4.88120918067167e-11,3.79868821295116,"up-regulated"
"AT3G54150","SETI_WT.E-SETI_WT.mock",4.88120918067167e-11,5.33530940500367,"up-regulated"
"AT4G23570","SETI_WT.E-SETI_WT.mock",4.88120918067167e-11,3.33697218379874,"up-regulated"
"AT4G26400","SETI_WT.E-SETI_WT.mock",4.88120918067167e-11,2.8029050147016,"up-regulated"
"AT5G13190","SETI_WT.E-SETI_WT.mock",4.88120918067167e-11,3.2041251876363,"up-regulated"
"AT5G26030","SETI_WT.E-SETI_WT.mock",4.88120918067167e-11,2.16355207711728,"up-regulated"
"AT1G43910","SETI_WT.E-SETI_WT.mock",4.96919436232542e-11,3.08894179083237,"up-regulated"
"AT3G55470","SETI_WT.E-SETI_WT.mock",4.96919436232542e-11,3.59635507969487,"up-regulated"
"AT2G18690","SETI_WT.E-SETI_WT.mock",5.51061230910734e-11,4.0470884520018,"up-regulated"
"AT3G10500","SETI_WT.E-SETI_WT.mock",5.51061230910734e-11,2.37966764832002,"up-regulated"
"AT4G09570","SETI_WT.E-SETI_WT.mock",6.07673827643716e-11,2.00940468987762,"up-regulated"
"AT4G38940","SETI_WT.E-SETI_WT.mock",8.55804996476738e-11,3.65457429953572,"up-regulated"
"AT5G66640","SETI_WT.E-SETI_WT.mock",8.55804996476738e-11,4.31723245140507,"up-regulated"
"AT2G04430","SETI_WT.E-SETI_WT.mock",8.97880193011058e-11,3.7764152497028,"up-regulated"
"AT1G51890","SETI_WT.E-SETI_WT.mock",9.49195846392127e-11,3.90727699189295,"up-regulated"
"AT2G42950","SETI_WT.E-SETI_WT.mock",9.49195846392127e-11,3.48699445846307,"up-regulated"
"AT1G57560","SETI_WT.E-SETI_WT.mock",9.61962102293269e-11,3.7457244088579,"up-regulated"
"AT1G64610","SETI_WT.E-SETI_WT.mock",9.61962102293269e-11,2.77990556830736,"up-regulated"
"AT3G59700","SETI_WT.E-SETI_WT.mock",9.61962102293269e-11,3.10240536815004,"up-regulated"
"AT5G25260","SETI_WT.E-SETI_WT.mock",9.61962102293269e-11,4.29260709772114,"up-regulated"
"AT4G00700","SETI_WT.E-SETI_WT.mock",9.82391137523792e-11,4.44593063432361,"up-regulated"
"AT4G12720","SETI_WT.E-SETI_WT.mock",9.82391137523792e-11,3.85709618900456,"up-regulated"
"AT4G23700","SETI_WT.E-SETI_WT.mock",9.95397465210719e-11,3.78914471764258,"up-regulated"
"AT3G04580","SETI_WT.E-SETI_WT.mock",1.02031229096485e-10,1.94633187984143,"up-regulated"
"AT1G30755","SETI_WT.E-SETI_WT.mock",1.11949902012123e-10,3.27509123947047,"up-regulated"
"AT1G09932","SETI_WT.E-SETI_WT.mock",1.12261110586737e-10,3.05573887665912,"up-regulated"
"AT1G13340","SETI_WT.E-SETI_WT.mock",1.20103039389003e-10,3.96527787065968,"up-regulated"
"AT1G19020","SETI_WT.E-SETI_WT.mock",1.20103039389003e-10,4.81552347316938,"up-regulated"
"AT1G77500","SETI_WT.E-SETI_WT.mock",1.20103039389003e-10,2.6792483462094,"up-regulated"
"AT4G30060","SETI_WT.E-SETI_WT.mock",1.20103039389003e-10,2.16857458471457,"up-regulated"
