"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","DNA-binding transcription factor activity","GO:0003700","true","0.00033232277797847187","3.4784398904055136","1586","694","84","22791","AT2G02070,AT4G00150,AT4G32980,AT2G41940,AT5G23280,AT5G44190,AT4G17880,AT1G14920,AT5G13730,AT1G76880,AT1G75540,AT1G24625,AT3G60630,AT1G19350,AT1G25440,AT5G64340,AT2G33860,AT5G66770,AT5G58900,AT5G65310,AT1G49720,AT5G54630,AT1G28310,AT2G20180,AT3G04450,AT5G46690,AT3G50700,AT4G14540,AT1G69690,AT4G25480,AT5G43700,AT5G41920,AT2G01760,AT2G31380,AT1G68550,AT3G22760,AT5G38860,AT3G13000,AT3G48590,AT1G01250,AT5G47640,AT2G18300,AT5G25810,AT5G59780,AT4G01500,AT5G09460,AT3G47500,AT2G16400,AT3G53920,AT4G35270,AT3G15030,AT2G03340,AT5G60120,AT4G29100,AT5G41410,AT5G45260,AT2G27050,AT3G22780,AT2G21320,AT2G22540,AT1G33060,AT5G05550,AT1G49560,AT2G39250,AT3G60390,AT2G46870,AT4G31060,AT1G68130,AT5G60450,AT1G68190,AT1G10610,AT2G35430,AT3G54320,AT3G58120,AT4G17810,AT3G07340,AT5G60970,AT4G36240,AT1G31150,AT2G27230,AT5G08070,AT4G17460,AT1G32240,AT5G16600"
"GO:MF","transcription regulator activity","GO:0140110","false","0.0018311922635029906","2.737266055154974","1685","694","84","22791","AT2G02070,AT4G00150,AT4G32980,AT2G41940,AT5G23280,AT5G44190,AT4G17880,AT1G14920,AT5G13730,AT1G76880,AT1G75540,AT1G24625,AT3G60630,AT1G19350,AT1G25440,AT5G64340,AT2G33860,AT5G66770,AT5G58900,AT5G65310,AT1G49720,AT5G54630,AT1G28310,AT2G20180,AT3G04450,AT5G46690,AT3G50700,AT4G14540,AT1G69690,AT4G25480,AT5G43700,AT5G41920,AT2G01760,AT2G31380,AT1G68550,AT3G22760,AT5G38860,AT3G13000,AT3G48590,AT1G01250,AT5G47640,AT2G18300,AT5G25810,AT5G59780,AT4G01500,AT5G09460,AT3G47500,AT2G16400,AT3G53920,AT4G35270,AT3G15030,AT2G03340,AT5G60120,AT4G29100,AT5G41410,AT5G45260,AT2G27050,AT3G22780,AT2G21320,AT2G22540,AT1G33060,AT5G05550,AT1G49560,AT2G39250,AT3G60390,AT2G46870,AT4G31060,AT1G68130,AT5G60450,AT1G68190,AT1G10610,AT2G35430,AT3G54320,AT3G58120,AT4G17810,AT3G07340,AT5G60970,AT4G36240,AT1G31150,AT2G27230,AT5G08070,AT4G17460,AT1G32240,AT5G16600"
"GO:BP","chloroplast organization","GO:0009658","true","0.00006174698245711351","4.209384261294948","192","625","22","21899","AT1G63680,AT3G57190,AT5G44190,AT2G16800,AT5G67385,AT5G67570,AT1G66840,AT4G34020,AT5G13770,AT1G45230,AT2G32480,AT3G19720,AT3G45780,AT5G58140,AT1G49510,AT3G19180,AT1G15510,AT1G10910,AT5G09315,AT5G38150,AT5G40270,AT1G64500"
"GO:BP","plastid organization","GO:0009657","false","0.00037862370913885503","3.421792194318917","261","625","24","21899","AT1G63680,AT3G57190,AT5G44190,AT2G16800,AT5G67385,AT5G67570,AT1G66840,AT4G34020,AT5G13770,AT1G45230,AT2G32480,AT3G19720,AT3G45780,AT5G58140,AT1G49510,AT3G19180,AT1G71720,AT1G15510,AT1G10910,AT5G09315,AT5G38150,AT5G40270,AT5G10900,AT1G64500"
"GO:BP","tropism","GO:0009606","true","0.00037862370913885503","3.421792194318917","126","625","16","21899","AT1G14280,AT2G44830,AT2G02950,AT4G08920,AT2G20180,AT2G01420,AT5G23100,AT3G45780,AT5G58140,AT1G69935,AT2G36910,AT4G16340,AT2G18790,AT5G58960,AT1G68130,AT5G50375"
"GO:BP","establishment of plastid localization","GO:0051667","false","0.000886048933333671","3.052542292909832","17","625","6","21899","AT5G67385,AT1G66840,AT3G45780,AT5G58140,AT5G38150,AT1G64500"
"GO:BP","regulation of RNA metabolic process","GO:0051252","false","0.000886048933333671","3.052542292909832","2255","625","101","21899","AT2G02070,AT4G00150,AT4G32980,AT5G18680,AT2G41940,AT5G23280,AT3G57190,AT5G44190,AT4G17880,AT1G14920,AT5G13730,AT1G76880,AT1G75540,AT1G24625,AT3G60630,AT1G19350,AT1G25440,AT5G64340,AT2G33860,AT5G66770,AT5G58900,AT1G07050,AT5G65310,AT1G49720,AT5G54630,AT1G28310,AT2G20180,AT3G04450,AT5G46690,AT3G50700,AT4G14540,AT1G69690,AT4G25480,AT5G43700,AT5G41920,AT2G01760,AT2G31380,AT5G57180,AT1G68550,AT3G22760,AT5G38860,AT1G62120,AT3G13000,AT3G48590,AT5G23930,AT1G01250,AT5G47640,AT2G18300,AT5G25810,AT5G59780,AT4G01500,AT2G36000,AT5G60100,AT5G09460,AT3G47500,AT2G16400,AT3G53920,AT4G35270,AT3G15030,AT4G27430,AT2G45250,AT2G03340,AT1G71720,AT5G60120,AT4G29100,AT5G41410,AT5G04290,AT5G45260,AT2G18790,AT2G27050,AT3G22780,AT4G20910,AT2G21320,AT2G22540,AT1G33060,AT5G05550,AT1G49560,AT2G39250,AT3G60390,AT2G46870,AT4G31060,AT2G32100,AT1G68130,AT5G60450,AT1G68190,AT1G10610,AT2G35430,AT3G54320,AT3G58120,AT4G17810,AT3G07340,AT5G60970,AT4G36240,AT1G31150,AT4G11970,AT2G27230,AT5G08070,AT4G17460,AT1G26945,AT1G32240,AT5G16600"
"GO:BP","regulation of nucleobase-containing compound metabolic process","GO:0019219","true","0.000886048933333671","3.052542292909832","2343","625","103","21899","AT2G02070,AT4G00150,AT4G32980,AT5G18680,AT2G41940,AT5G23280,AT3G57190,AT5G44190,AT4G17880,AT1G14920,AT5G13730,AT1G76880,AT1G75540,AT1G24625,AT3G60630,AT1G19350,AT1G25440,AT5G64340,AT2G33860,AT5G66770,AT5G58900,AT1G07050,AT5G65310,AT1G49720,AT5G54630,AT1G28310,AT2G20180,AT3G04450,AT5G46690,AT3G50700,AT4G14540,AT1G69690,AT4G25480,AT5G43700,AT5G41920,AT2G01760,AT2G31380,AT5G57180,AT1G68550,AT3G22760,AT5G38860,AT3G59420,AT1G62120,AT3G13000,AT3G48590,AT5G23930,AT1G01250,AT5G47640,AT2G18300,AT5G25810,AT5G59780,AT4G01500,AT2G36000,AT5G60100,AT5G09460,AT3G47500,AT2G16400,AT3G53920,AT4G35270,AT3G15030,AT4G27430,AT2G45250,AT2G03340,AT1G71720,AT5G60120,AT4G29100,AT5G41410,AT5G04290,AT5G45260,AT2G18790,AT2G27050,AT4G36860,AT3G22780,AT4G20910,AT2G21320,AT2G22540,AT1G33060,AT5G05550,AT1G49560,AT2G39250,AT3G60390,AT2G46870,AT4G31060,AT2G32100,AT1G68130,AT5G60450,AT1G68190,AT1G10610,AT2G35430,AT3G54320,AT3G58120,AT4G17810,AT3G07340,AT5G60970,AT4G36240,AT1G31150,AT4G11970,AT2G27230,AT5G08070,AT4G17460,AT1G26945,AT1G32240,AT5G16600"
"GO:BP","chloroplast relocation","GO:0009902","false","0.000886048933333671","3.052542292909832","17","625","6","21899","AT5G67385,AT1G66840,AT3G45780,AT5G58140,AT5G38150,AT1G64500"
"GO:BP","phototropism","GO:0009638","false","0.000886048933333671","3.052542292909832","23","625","7","21899","AT1G14280,AT2G44830,AT2G02950,AT4G08920,AT3G45780,AT5G58140,AT2G18790"
