"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","catalytic activity","GO:0003824","true","0.000004245389895873712","5.3720824180582785","9406","322","181","23212","AT4G33940,AT3G22910,AT3G47780,AT2G26300,AT3G05320,AT1G28390,AT4G24380,AT2G37040,AT2G44790,AT3G29360,AT5G17330,AT5G24760,AT3G24530,AT3G62590,AT1G47510,AT2G42360,AT2G29730,AT5G08610,AT4G30280,AT3G26690,AT5G51060,AT2G28760,AT1G23200,AT4G36950,AT5G57560,AT5G44635,AT3G25780,AT2G29460,AT4G39010,AT2G36770,AT4G21410,AT5G01050,AT1G04920,AT5G03260,AT3G45410,AT3G47050,AT3G63530,AT1G68620,AT4G31840,AT5G54840,AT3G55430,AT2G30490,AT4G25810,AT3G24550,AT2G18193,AT2G30140,AT3G44190,AT1G17745,AT4G22590,AT4G10960,AT5G03610,AT1G77760,AT5G58350,AT2G47800,AT4G34050,AT4G30490,AT4G34710,AT4G37530,AT3G11420,AT3G01650,AT1G02660,AT4G20320,AT4G35480,AT5G37600,AT1G68410,AT1G02400,AT2G03760,AT3G25180,AT5G13110,AT3G57760,AT3G59350,AT2G47000,AT1G61120,AT5G64120,AT5G60270,AT1G65520,AT1G16300,AT5G57050,AT3G21240,AT1G76470,AT4G08040,AT3G62160,AT3G25400,AT3G52450,AT5G59490,ATCG00190,AT2G35000,AT1G76390,AT5G35460,AT5G47200,AT2G01670,AT4G39990,AT5G20000,AT1G75860,AT5G41990,AT4G33910,AT3G02880,AT1G18480,AT2G40890,AT1G30640,AT1G20090,AT5G24430,AT1G28680,AT5G13420,AT4G21980,AT5G20910,AT5G56350,AT3G55050,AT1G48850,AT5G52210,AT5G61390,AT4G22920,AT4G01950,AT3G06850,AT5G01820,AT5G60230,AT5G58380,AT5G54160,AT1G52760,AT5G56970,AT4G35500,AT3G03750,AT3G06350,AT2G39350,AT3G28180,AT3G47730,AT1G52540,AT4G23920,AT4G26080,AT5G39580,AT2G24330,AT1G78380,AT3G09910,AT3G61580,AT3G51990,AT2G38870,AT5G60790,AT1G74790,AT3G28600,AT5G40010,AT3G10340,AT5G40540,AT5G59220,AT3G28510,AT1G65610,AT1G74030,AT4G30270,AT5G51460,AT4G20460,AT2G28110,AT1G65390,AT4G33420,AT5G16080,AT1G32930,AT3G10310,AT1G33811,AT3G25880,AT2G45290,AT2G43620,AT5G54510,AT3G47830,AT1G30730,AT3G27200,AT1G70130,AT1G05100,AT2G39110,AT3G12710,AT1G10520,AT5G06300,AT1G12790,AT1G04310,AT2G29640,AT2G34790,AT3G11340,AT3G27540,AT1G49850,AT1G13700,AT1G09430,AT1G55915,AT5G05340,AT3G55700"
"GO:MF","ion binding","GO:0043167","true","0.0032563565134119342","2.487268053619585","6652","322","126","23212","AT4G33940,AT3G22910,AT3G47780,AT2G26300,AT1G28390,AT2G44790,AT5G17330,AT3G04060,AT5G24760,AT3G24530,AT5G50670,AT2G42360,AT5G08610,AT3G26690,AT5G51060,AT2G28760,AT4G36950,AT5G44635,AT4G21410,AT5G01050,AT5G03260,AT3G45410,AT1G72250,AT3G63530,AT5G54840,AT1G18210,AT1G80300,AT2G30490,AT3G24550,AT2G18193,AT3G44190,AT3G01970,AT1G77760,AT5G58350,AT2G47800,AT4G34050,AT4G30490,AT4G37530,AT3G01650,AT4G20320,AT4G35480,AT5G37600,AT1G68410,AT1G02400,AT3G25180,AT3G57760,AT3G59350,AT5G13490,AT2G47000,AT1G61120,AT5G64120,AT5G60270,AT5G57050,AT3G21240,AT4G08040,AT3G25400,AT2G35000,AT5G47200,AT2G01670,AT4G39990,AT5G20000,AT5G41990,AT4G33910,AT3G02880,AT1G18480,AT2G40890,AT1G30640,AT1G20090,AT5G24430,AT5G20910,AT5G56350,AT3G55050,AT1G48850,AT5G52210,AT5G61390,AT3G06850,AT5G01820,AT5G58380,AT5G56970,AT4G35500,AT3G03750,AT5G55400,AT2G39350,AT3G47730,AT1G52540,AT4G23920,AT4G26080,AT5G39580,AT1G78380,AT3G09910,AT1G77250,AT3G61580,AT3G51990,AT4G09420,AT5G60790,AT3G28600,AT5G40010,AT5G40540,AT5G59220,AT3G28510,AT1G74030,AT2G17740,AT2G30540,AT4G33420,AT3G10310,AT2G03240,AT2G15680,AT2G45290,AT1G30730,AT1G66400,AT5G43620,AT4G37010,AT1G70130,AT1G08290,AT1G05100,AT2G39110,AT1G10520,AT1G76560,AT1G70000,AT1G04310,AT2G34790,AT1G49850,AT1G09430,AT5G26700,AT1G55915,AT5G05340"
"GO:MF","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides","GO:0016818","false","0.0032563565134119342","2.487268053619585","773","322","26","23212","AT3G22910,AT3G47780,AT2G26300,AT3G24530,AT5G08610,AT3G26690,AT5G44635,AT5G54840,AT2G18193,AT2G47800,AT4G30490,AT2G47000,AT3G25400,AT5G47200,AT2G01670,AT4G39990,AT5G20000,AT1G20090,AT5G52210,AT2G39350,AT3G47730,AT3G09910,AT5G60790,AT3G28600,AT5G40010,AT3G28510"
"GO:MF","hydrolase activity, acting on acid anhydrides","GO:0016817","false","0.0032563565134119342","2.487268053619585","778","322","26","23212","AT3G22910,AT3G47780,AT2G26300,AT3G24530,AT5G08610,AT3G26690,AT5G44635,AT5G54840,AT2G18193,AT2G47800,AT4G30490,AT2G47000,AT3G25400,AT5G47200,AT2G01670,AT4G39990,AT5G20000,AT1G20090,AT5G52210,AT2G39350,AT3G47730,AT3G09910,AT5G60790,AT3G28600,AT5G40010,AT3G28510"
"GO:MF","pyrophosphatase activity","GO:0016462","false","0.0032563565134119342","2.487268053619585","765","322","26","23212","AT3G22910,AT3G47780,AT2G26300,AT3G24530,AT5G08610,AT3G26690,AT5G44635,AT5G54840,AT2G18193,AT2G47800,AT4G30490,AT2G47000,AT3G25400,AT5G47200,AT2G01670,AT4G39990,AT5G20000,AT1G20090,AT5G52210,AT2G39350,AT3G47730,AT3G09910,AT5G60790,AT3G28600,AT5G40010,AT3G28510"
"GO:MF","small molecule binding","GO:0036094","true","0.0032563565134119342","2.487268053619585","3378","322","75","23212","AT3G22910,AT3G47780,AT2G26300,AT1G28390,AT3G29360,AT5G17330,AT3G24530,AT5G08610,AT2G28760,AT4G36950,AT5G44635,AT4G21410,AT3G45410,AT1G72250,AT5G54840,AT1G80300,AT3G24550,AT2G18193,AT3G44190,AT1G17745,AT1G77760,AT5G58350,AT2G47800,AT4G30490,AT4G20320,AT5G37600,AT5G13110,AT3G57760,AT3G59350,AT2G47000,AT5G60270,AT1G16300,AT3G21240,AT4G08040,ATCG00190,AT5G47200,AT4G39990,AT5G20000,AT5G41990,AT4G33910,AT3G02880,AT1G30640,AT1G20090,AT5G24430,AT5G56350,AT1G48850,AT5G52210,AT3G06850,AT5G01820,AT5G58380,AT5G56970,AT4G35500,AT3G06350,AT2G39350,AT3G47730,AT1G52540,AT4G23920,AT3G09910,AT3G51990,AT4G09420,AT5G60790,AT3G28600,AT5G40010,AT5G40540,AT3G28510,AT3G10310,AT2G03240,AT1G30730,AT1G70130,AT1G05100,AT2G39110,AT1G04310,AT2G29640,AT2G34790,AT1G09430"
"GO:MF","nucleotide binding","GO:0000166","false","0.006952424538032155","2.15786371629251","3146","322","68","23212","AT3G22910,AT3G47780,AT2G26300,AT1G28390,AT3G29360,AT3G24530,AT5G08610,AT2G28760,AT4G36950,AT5G44635,AT4G21410,AT3G45410,AT1G72250,AT5G54840,AT1G80300,AT3G24550,AT2G18193,AT3G44190,AT1G17745,AT1G77760,AT5G58350,AT2G47800,AT4G30490,AT4G20320,AT5G37600,AT5G13110,AT3G57760,AT3G59350,AT2G47000,AT5G60270,AT1G16300,AT3G21240,AT5G47200,AT4G39990,AT5G20000,AT5G41990,AT3G02880,AT1G30640,AT1G20090,AT5G24430,AT5G56350,AT1G48850,AT5G52210,AT5G01820,AT5G58380,AT5G56970,AT4G35500,AT3G06350,AT2G39350,AT3G47730,AT1G52540,AT3G09910,AT3G51990,AT4G09420,AT5G60790,AT3G28600,AT5G40010,AT5G40540,AT3G28510,AT3G10310,AT1G30730,AT1G70130,AT1G05100,AT2G39110,AT1G04310,AT2G29640,AT2G34790,AT1G09430"
"GO:MF","ribonucleoside triphosphate phosphatase activity","GO:0017111","false","0.006952424538032155","2.15786371629251","694","322","23","23212","AT3G22910,AT3G47780,AT2G26300,AT3G24530,AT5G08610,AT5G44635,AT5G54840,AT2G18193,AT2G47800,AT4G30490,AT2G47000,AT5G47200,AT4G39990,AT5G20000,AT1G20090,AT5G52210,AT2G39350,AT3G47730,AT3G09910,AT5G60790,AT3G28600,AT5G40010,AT3G28510"
"GO:MF","nucleoside phosphate binding","GO:1901265","false","0.006952424538032155","2.15786371629251","3146","322","68","23212","AT3G22910,AT3G47780,AT2G26300,AT1G28390,AT3G29360,AT3G24530,AT5G08610,AT2G28760,AT4G36950,AT5G44635,AT4G21410,AT3G45410,AT1G72250,AT5G54840,AT1G80300,AT3G24550,AT2G18193,AT3G44190,AT1G17745,AT1G77760,AT5G58350,AT2G47800,AT4G30490,AT4G20320,AT5G37600,AT5G13110,AT3G57760,AT3G59350,AT2G47000,AT5G60270,AT1G16300,AT3G21240,AT5G47200,AT4G39990,AT5G20000,AT5G41990,AT3G02880,AT1G30640,AT1G20090,AT5G24430,AT5G56350,AT1G48850,AT5G52210,AT5G01820,AT5G58380,AT5G56970,AT4G35500,AT3G06350,AT2G39350,AT3G47730,AT1G52540,AT3G09910,AT3G51990,AT4G09420,AT5G60790,AT3G28600,AT5G40010,AT5G40540,AT3G28510,AT3G10310,AT1G30730,AT1G70130,AT1G05100,AT2G39110,AT1G04310,AT2G29640,AT2G34790,AT1G09430"
"GO:MF","UDP-glucose 4-epimerase activity","GO:0003978","true","0.007595218099862476","2.119459750674558","8","322","3","23212","AT4G10960,AT4G23920,AT4G20460"
