"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","DNA-binding transcription factor activity","GO:0003700","true","0.00009317289454619242","4.0307104123364175","1635","750","92","23212","AT2G18160,AT2G01570,AT2G02070,AT4G40060,AT2G23760,AT4G00150,AT4G32980,AT4G36870,AT2G41940,AT3G06590,AT2G28550,AT5G23280,AT5G44190,AT2G02080,AT4G17880,AT1G14920,AT1G68520,AT5G13730,AT1G76880,AT1G75540,AT4G24660,AT1G24625,AT3G60630,AT1G25440,AT5G64340,AT2G33860,AT5G58900,AT5G65310,AT5G15210,AT1G28310,AT2G20180,AT3G04450,AT5G46690,AT4G14540,AT1G69690,AT4G25480,AT1G74840,AT5G43700,AT5G41920,AT2G01760,AT2G31380,AT1G68550,AT3G22760,AT5G38860,AT3G13000,AT1G01250,AT5G47640,AT1G19000,AT5G06510,AT4G00950,AT4G00870,AT2G18300,AT5G25810,AT5G59780,AT4G01500,AT5G09460,AT3G47500,AT2G16400,AT3G53920,AT4G35270,AT3G47600,AT5G60120,AT5G41410,AT4G18390,AT3G22780,AT2G21320,AT2G22540,AT2G42300,AT1G33060,AT5G05550,AT1G49560,AT3G60390,AT2G46870,AT4G31060,AT1G68130,AT3G10040,AT5G60450,AT1G68190,AT1G10610,AT2G35430,AT3G58120,AT4G17810,AT3G07340,AT1G31150,AT2G27230,AT2G30420,AT1G17920,AT5G39860,AT4G17460,AT4G25470,AT1G32240,AT1G49130"
"GO:MF","sequence-specific DNA binding","GO:0043565","true","0.0011285939788676766","2.9474622710529688","1266","750","71","23212","AT2G18160,AT2G01570,AT2G02070,AT4G40060,AT2G23760,AT4G00150,AT4G32980,AT4G36870,AT2G41940,AT3G06590,AT2G28550,AT5G23280,AT3G57190,AT5G44190,AT2G02080,AT4G17880,AT4G16141,AT1G14920,AT1G68520,AT1G76880,AT1G75540,AT4G24660,AT1G24625,AT3G60630,AT2G33860,AT5G58900,AT5G65310,AT5G15210,AT5G46690,AT4G14540,AT1G69690,AT4G25480,AT1G74840,AT5G43700,AT5G41920,AT1G68550,AT3G22760,AT5G47640,AT1G19000,AT4G00870,AT2G18300,AT5G25810,AT5G59780,AT2G16400,AT3G53920,AT3G47600,AT5G60120,AT5G41410,AT4G18390,AT2G18790,AT3G22780,AT2G21320,AT2G22540,AT5G05550,AT1G49560,AT3G60390,AT2G46870,AT4G31060,AT1G68130,AT3G10040,AT5G60450,AT1G10610,AT3G58120,AT4G17810,AT5G13660,AT3G07340,AT4G29910,AT2G30420,AT4G17460,AT4G25470,AT1G32240"
"GO:MF","transcription regulator activity","GO:0140110","false","0.0011285939788676766","2.9474622710529688","1778","750","92","23212","AT2G18160,AT2G01570,AT2G02070,AT4G40060,AT2G23760,AT4G00150,AT4G32980,AT4G36870,AT2G41940,AT3G06590,AT2G28550,AT5G23280,AT5G44190,AT2G02080,AT4G17880,AT1G14920,AT1G68520,AT5G13730,AT1G76880,AT1G75540,AT4G24660,AT1G24625,AT3G60630,AT1G25440,AT5G64340,AT2G33860,AT5G58900,AT5G65310,AT5G15210,AT1G28310,AT2G20180,AT3G04450,AT5G46690,AT4G14540,AT1G69690,AT4G25480,AT1G74840,AT5G43700,AT5G41920,AT2G01760,AT2G31380,AT1G68550,AT3G22760,AT5G38860,AT3G13000,AT1G01250,AT5G47640,AT1G19000,AT5G06510,AT4G00950,AT4G00870,AT2G18300,AT5G25810,AT5G59780,AT4G01500,AT5G09460,AT3G47500,AT2G16400,AT3G53920,AT4G35270,AT3G47600,AT5G60120,AT5G41410,AT4G18390,AT3G22780,AT2G21320,AT2G22540,AT2G42300,AT1G33060,AT5G05550,AT1G49560,AT3G60390,AT2G46870,AT4G31060,AT1G68130,AT3G10040,AT5G60450,AT1G68190,AT1G10610,AT2G35430,AT3G58120,AT4G17810,AT3G07340,AT1G31150,AT2G27230,AT2G30420,AT1G17920,AT5G39860,AT4G17460,AT4G25470,AT1G32240,AT1G49130"
"GO:MF","transcription cis-regulatory region binding","GO:0000976","false","0.0014547898521406779","2.837199737019771","997","750","58","23212","AT2G18160,AT2G01570,AT2G02070,AT4G40060,AT2G23760,AT4G32980,AT4G36870,AT2G41940,AT3G06590,AT5G44190,AT4G17880,AT1G14920,AT1G68520,AT1G76880,AT1G75540,AT4G24660,AT1G24625,AT2G33860,AT5G58900,AT5G65310,AT5G15210,AT5G46690,AT4G14540,AT1G69690,AT4G25480,AT1G74840,AT5G43700,AT5G41920,AT1G68550,AT3G22760,AT5G47640,AT1G19000,AT4G00870,AT2G18300,AT5G25810,AT5G59780,AT2G16400,AT3G53920,AT3G47600,AT5G60120,AT5G41410,AT3G22780,AT2G21320,AT2G22540,AT5G05550,AT1G49560,AT4G31060,AT1G68130,AT3G10040,AT5G60450,AT3G58120,AT4G17810,AT5G13660,AT3G07340,AT2G30420,AT4G17460,AT4G25470,AT1G32240"
"GO:MF","transcription regulatory region nucleic acid binding","GO:0001067","false","0.0014547898521406779","2.837199737019771","997","750","58","23212","AT2G18160,AT2G01570,AT2G02070,AT4G40060,AT2G23760,AT4G32980,AT4G36870,AT2G41940,AT3G06590,AT5G44190,AT4G17880,AT1G14920,AT1G68520,AT1G76880,AT1G75540,AT4G24660,AT1G24625,AT2G33860,AT5G58900,AT5G65310,AT5G15210,AT5G46690,AT4G14540,AT1G69690,AT4G25480,AT1G74840,AT5G43700,AT5G41920,AT1G68550,AT3G22760,AT5G47640,AT1G19000,AT4G00870,AT2G18300,AT5G25810,AT5G59780,AT2G16400,AT3G53920,AT3G47600,AT5G60120,AT5G41410,AT3G22780,AT2G21320,AT2G22540,AT5G05550,AT1G49560,AT4G31060,AT1G68130,AT3G10040,AT5G60450,AT3G58120,AT4G17810,AT5G13660,AT3G07340,AT2G30420,AT4G17460,AT4G25470,AT1G32240"
"GO:MF","sequence-specific double-stranded DNA binding","GO:1990837","false","0.0014547898521406779","2.837199737019771","1012","750","59","23212","AT2G18160,AT2G01570,AT2G02070,AT4G40060,AT2G23760,AT4G32980,AT4G36870,AT2G41940,AT3G06590,AT5G44190,AT4G17880,AT1G14920,AT1G68520,AT1G76880,AT1G75540,AT4G24660,AT1G24625,AT2G33860,AT5G58900,AT5G65310,AT5G15210,AT5G46690,AT4G14540,AT1G69690,AT4G25480,AT1G74840,AT5G43700,AT5G41920,AT1G68550,AT3G22760,AT5G47640,AT1G19000,AT4G00870,AT2G18300,AT5G25810,AT5G59780,AT2G16400,AT3G53920,AT3G47600,AT5G60120,AT5G41410,AT3G22780,AT2G21320,AT2G22540,AT5G05550,AT1G49560,AT4G31060,AT1G68130,AT3G10040,AT5G60450,AT3G58120,AT4G17810,AT5G13660,AT3G07340,AT4G29910,AT2G30420,AT4G17460,AT4G25470,AT1G32240"
"GO:MF","double-stranded DNA binding","GO:0003690","false","0.0038309965324909855","2.4166882411050747","1132","750","62","23212","AT2G18160,AT2G01570,AT2G02070,AT4G40060,AT2G23760,AT4G32980,AT4G36870,AT2G41940,AT3G06590,AT5G44190,AT4G17880,AT1G14920,AT1G68520,AT1G76880,AT1G75540,AT4G24660,AT1G24625,AT2G33860,AT5G58900,AT5G65310,AT5G15210,AT5G46690,AT4G14540,AT1G69690,AT4G25480,AT1G74840,AT5G43700,AT5G41920,AT1G68550,AT3G22760,AT1G62120,AT5G23930,AT5G47640,AT1G19000,AT4G00870,AT2G18300,AT5G25810,AT5G59780,AT2G36000,AT2G16400,AT3G53920,AT3G47600,AT5G60120,AT5G41410,AT3G22780,AT2G21320,AT2G22540,AT5G05550,AT1G49560,AT4G31060,AT1G68130,AT3G10040,AT5G60450,AT3G58120,AT4G17810,AT5G13660,AT3G07340,AT4G29910,AT2G30420,AT4G17460,AT4G25470,AT1G32240"
"GO:MF","UDP-xylose transmembrane transporter activity","GO:0005464","true","0.029240411653996944","1.5340165175623006","5","750","3","23212","AT5G57100,AT5G55950,AT2G30460"
"GO:MF","monooxygenase activity","GO:0004497","true","0.03161413710789551","1.500118667540268","345","750","24","23212","AT1G64900,AT4G12310,AT4G37330,AT4G36380,AT5G24150,AT2G12190,AT3G26310,AT3G30180,AT1G44446,AT5G61290,AT5G05690,AT2G46660,AT4G15440,AT1G65860,AT3G20100,AT3G14650,AT2G24820,AT3G56630,AT3G26300,AT2G35660,AT2G22830,AT4G22756,AT1G16400,AT1G12010"
"GO:MF","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","GO:0016709","false","0.039950637324346755","1.3984762880836767","138","750","13","23212","AT1G64900,AT4G37330,AT4G36380,AT5G24150,AT2G12190,AT3G26310,AT3G30180,AT5G61290,AT1G65860,AT3G20100,AT3G26300,AT2G22830,AT1G16400"
"GO:BP","regulation of RNA biosynthetic process","GO:2001141","true","0.00018666456240106573","3.7289381234782297","2325","685","112","22826","AT2G18160,AT2G01570,AT2G02070,AT4G40060,AT2G23760,AT4G00150,AT4G32980,AT5G18680,AT4G36870,AT2G41940,AT3G06590,AT2G28550,AT5G23280,AT5G44190,AT2G02080,AT4G17880,AT4G16141,AT1G14920,AT1G68520,AT5G13730,AT1G76880,AT1G75540,AT4G24660,AT1G24625,AT3G60630,AT1G25440,AT5G64340,AT2G33860,AT5G58900,AT1G07050,AT5G65310,AT5G15210,AT1G28310,AT2G20180,AT3G04450,AT5G46690,AT4G14540,AT1G69690,AT4G25480,AT1G74840,AT5G43700,AT5G41920,AT2G01760,AT2G31380,AT5G57180,AT1G68550,AT3G22760,AT5G38860,AT3G57040,AT1G62120,AT3G13000,AT1G13740,AT5G23930,AT1G01250,AT5G47640,AT1G19000,AT5G06510,AT4G00950,AT4G00870,AT2G18300,AT5G25810,AT5G59780,AT4G01500,AT2G36000,AT5G60100,AT4G30825,AT5G09460,AT3G47500,AT2G16400,AT3G53920,AT4G35270,AT4G27430,AT2G45250,AT3G47600,AT5G60120,AT1G18670,AT5G41410,AT4G18390,AT5G53430,AT5G04290,AT2G18790,AT3G22780,AT2G21320,AT2G22540,AT2G42300,AT1G33060,AT5G05550,AT1G49560,AT3G60390,AT2G46870,AT4G31060,AT2G32100,AT1G68130,AT3G10040,AT5G60450,AT1G68190,AT1G10610,AT2G35430,AT5G14280,AT3G58120,AT4G17810,AT3G07340,AT1G31150,AT2G27230,AT2G30420,AT1G17920,AT5G39860,AT4G17460,AT1G26945,AT4G25470,AT1G32240,AT1G49130"
"GO:BP","chloroplast organization","GO:0009658","true","0.00018666456240106573","3.7289381234782297","204","685","22","22826","AT1G63680,AT3G57190,AT5G44190,AT2G16800,AT5G67385,AT5G67570,AT1G66840,AT4G34020,AT5G13770,AT1G45230,AT2G32480,AT3G19720,AT3G45780,AT5G58140,AT1G49510,AT4G18570,AT3G19180,AT1G15510,AT1G10910,AT5G09315,AT5G38150,AT1G64500"
