source,term_name,term_id,highlighted,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:MF,protein serine kinase activity,GO:0106310,FALSE,1.37E-31,30.86339727,638,814,96,23212,"AT4G09570,AT1G51890,AT4G23150,AT3G55950,AT5G66210,AT4G04500,AT1G18890,AT3G45640,AT1G51660,AT5G26751,AT5G12480,AT2G39660,AT3G53810,AT1G14370,AT1G21240,AT4G23310,AT5G03320,AT5G47070,AT3G08720,AT1G67520,AT2G17290,AT2G11520,AT5G66850,AT4G33430,AT4G35310,AT1G30270,AT1G61360,AT1G53440,AT4G08500,AT4G04510,AT5G61560,AT5G15730,AT1G79680,AT2G13800,AT5G04870,AT3G25250,AT4G23280,AT5G47850,AT3G09830,AT4G23220,AT2G13790,AT1G61370,AT1G69270,AT3G16030,AT3G49370,AT5G02290,AT4G11470,AT4G01370,AT4G27290,AT2G19130,AT3G21630,AT2G41890,AT1G61420,AT2G23450,AT2G48010,AT4G23270,AT4G00330,AT5G38250,AT5G02800,AT1G06840,AT1G61610,AT4G29810,AT1G54960,AT4G23260,AT5G58940,AT4G11480,AT1G56130,AT4G17660,AT4G24400,AT1G74740,AT2G17520,AT1G34300,AT1G61460,AT1G61430,AT1G25390,AT3G47570,AT4G26070,AT1G35710,AT4G08850,AT2G31880,AT5G20480,AT3G14840,AT1G11300,AT5G66790,AT5G55560,AT1G11303,AT1G67000,AT2G37710,AT1G21250,AT1G70520,AT1G73500,AT1G21270,AT1G11330,AT4G23140,AT1G16110,AT2G24360"
GO:MF,protein kinase activity,GO:0004672,TRUE,1.37E-31,30.86339727,1110,814,129,23212,"AT5G41180,AT4G09570,AT1G51890,AT4G23150,AT3G55950,AT5G66210,AT4G04500,AT1G18890,AT3G45640,AT1G51660,AT5G26751,AT5G12480,AT2G39660,AT3G53810,AT1G14370,AT1G21240,AT5G01550,AT4G23310,AT5G03320,AT5G47070,AT3G08720,AT1G67520,AT2G17290,AT2G11520,AT5G66850,AT4G33430,AT2G46500,AT4G35310,AT1G30270,AT5G45840,AT1G61360,AT1G53440,AT4G08500,AT4G04510,AT5G61560,AT3G09010,AT1G18390,AT5G15730,AT1G79680,AT2G13800,AT5G04870,AT3G28450,AT3G25250,AT4G23280,AT5G47850,AT3G46930,AT3G09830,AT4G23220,AT1G66460,AT2G13790,AT1G61370,AT1G69270,AT3G16030,AT3G49370,AT5G02290,AT4G11470,AT4G01370,AT4G18950,AT2G39360,AT3G57640,AT4G27290,AT2G19130,AT3G21630,AT5G01950,AT2G41890,AT1G61420,AT2G23450,AT2G48010,AT1G34420,AT4G23270,AT4G00330,AT5G57035,AT5G38250,AT2G33580,AT2G19190,AT1G66880,AT5G02800,AT3G05050,AT2G40270,AT1G06840,AT5G25440,AT1G51850,AT1G61610,AT5G39020,AT4G29810,AT1G54960,AT4G23260,AT5G58940,AT3G47090,AT4G11480,AT1G56130,AT4G17660,AT1G51800,AT4G24400,AT1G74740,AT2G17520,AT1G34300,AT1G61460,AT1G61430,AT1G56145,AT1G25390,AT3G47570,AT4G26070,AT1G35710,AT4G08850,AT3G01840,AT2G31880,AT5G20480,AT3G14840,AT1G11300,AT2G28940,AT5G66790,AT5G55560,AT1G11303,AT3G57700,AT1G51790,AT1G67000,AT2G37710,AT1G21250,AT1G70520,AT1G73500,AT1G21270,AT1G11330,AT4G23140,AT1G16110,AT2G24360,AT4G00300,AT4G39270,AT3G57120"
GO:MF,"phosphotransferase activity, alcohol group as acceptor",GO:0016773,FALSE,3.00E-29,28.52306822,1272,814,135,23212,"AT5G41180,AT4G09570,AT1G51890,AT4G23150,AT3G55950,AT5G66210,AT4G04500,AT1G18890,AT3G45640,AT1G51660,AT5G26751,AT5G12480,AT2G39660,AT2G20900,AT3G53810,AT1G14370,AT1G21240,AT5G01550,AT4G23310,AT5G03320,AT5G47070,AT3G08720,AT1G67520,AT2G17290,AT2G11520,AT5G66850,AT4G33430,AT2G46500,AT4G35310,AT1G30270,AT5G45840,AT1G61360,AT1G53440,AT4G08500,AT4G04510,AT5G61560,AT3G09010,AT1G18390,AT5G15730,AT1G79680,AT2G13800,AT5G04870,AT3G28450,AT3G25250,AT4G23280,AT5G47850,AT3G46930,AT3G09830,AT4G23220,AT1G66460,AT2G13790,AT1G61370,AT1G69270,AT3G16030,AT3G49370,AT5G02290,AT4G11470,AT4G01370,AT4G18950,AT2G39360,AT3G57640,AT4G27290,AT2G19130,AT3G21630,AT5G01950,AT2G41890,AT1G61420,AT2G23450,AT2G48010,AT1G71697,AT1G34420,AT4G23270,AT4G00330,AT5G57035,AT5G38250,AT2G33580,AT2G19190,AT1G66880,AT5G02800,AT3G05050,AT2G40270,AT1G26270,AT1G06840,AT5G25440,AT1G51850,AT2G36580,AT1G61610,AT5G39020,AT4G29810,AT1G54960,AT4G23260,AT5G58940,AT3G47090,AT4G21534,AT4G11480,AT1G56130,AT4G17660,AT1G51800,AT4G24400,AT1G74740,AT2G17520,AT1G34300,AT1G61460,AT1G61430,AT1G56145,AT1G25390,AT3G47570,AT4G26070,AT1G35710,AT4G08850,AT3G01840,AT2G31880,AT5G20480,AT3G14840,AT1G11300,AT2G28940,AT5G66790,AT5G55560,AT1G11303,AT3G57700,AT1G51790,AT1G67000,AT2G37710,AT1G60440,AT1G21250,AT1G70520,AT1G73500,AT1G21270,AT1G11330,AT4G23140,AT1G16110,AT2G24360,AT4G00300,AT4G39270,AT3G57120"
GO:MF,protein serine/threonine kinase activity,GO:0004674,FALSE,9.73E-29,28.0119375,870,814,108,23212,"AT4G09570,AT1G51890,AT4G23150,AT3G55950,AT5G66210,AT4G04500,AT1G18890,AT3G45640,AT1G51660,AT5G26751,AT5G12480,AT2G39660,AT3G53810,AT1G14370,AT1G21240,AT4G23310,AT5G03320,AT5G47070,AT3G08720,AT1G67520,AT2G17290,AT2G11520,AT5G66850,AT4G33430,AT2G46500,AT4G35310,AT1G30270,AT1G61360,AT1G53440,AT4G08500,AT4G04510,AT5G61560,AT3G09010,AT5G15730,AT1G79680,AT2G13800,AT5G04870,AT3G25250,AT4G23280,AT5G47850,AT3G09830,AT4G23220,AT2G13790,AT1G61370,AT1G69270,AT3G16030,AT3G49370,AT5G02290,AT4G11470,AT4G01370,AT4G18950,AT2G39360,AT4G27290,AT2G19130,AT3G21630,AT5G01950,AT2G41890,AT1G61420,AT2G23450,AT2G48010,AT4G23270,AT4G00330,AT5G38250,AT2G19190,AT1G66880,AT5G02800,AT3G05050,AT1G06840,AT1G51850,AT1G61610,AT5G39020,AT4G29810,AT1G54960,AT4G23260,AT5G58940,AT4G11480,AT1G56130,AT4G17660,AT1G51800,AT4G24400,AT1G74740,AT2G17520,AT1G34300,AT1G61460,AT1G61430,AT1G56145,AT1G25390,AT3G47570,AT4G26070,AT1G35710,AT4G08850,AT2G31880,AT5G20480,AT3G14840,AT1G11300,AT5G66790,AT5G55560,AT1G11303,AT1G67000,AT2G37710,AT1G21250,AT1G70520,AT1G73500,AT1G21270,AT1G11330,AT4G23140,AT1G16110,AT2G24360"
GO:MF,anion binding,GO:0043168,TRUE,1.64E-27,26.78522344,3296,814,238,23212,"AT5G41180,AT5G58430,AT4G09570,AT1G51890,AT4G23150,AT3G55950,AT2G29720,AT5G66210,AT4G04500,AT1G18890,AT3G45640,AT1G51660,AT4G37640,AT5G26751,AT1G72900,AT5G12480,AT2G39660,AT2G20900,AT3G53810,AT1G14370,AT1G21240,AT5G01550,AT4G23310,AT5G03320,AT3G28580,AT5G47070,AT4G39890,AT2G46620,AT3G08720,AT3G29400,AT1G67520,AT2G17290,AT3G14050,AT2G11520,AT4G39670,AT4G01010,AT5G66850,AT4G33430,AT3G44630,AT2G46500,AT1G72940,AT4G35310,AT3G21700,AT1G30270,AT5G45840,AT1G61360,AT1G53440,AT4G08500,AT1G30420,AT4G04510,AT1G15520,AT5G61560,AT4G14370,AT5G39040,AT1G27770,AT3G09010,AT1G15890,AT3G01820,AT1G18390,AT5G15730,AT1G13210,AT1G79680,AT1G56540,AT4G11850,AT3G63380,AT1G02920,AT2G13800,AT3G13080,AT5G04720,AT5G04870,AT3G28450,AT3G25250,AT4G23280,AT3G48780,AT1G74310,AT5G47850,AT3G46930,AT5G04930,AT5G57480,AT3G09830,AT4G23220,AT1G64400,AT1G66460,AT3G09440,AT2G13790,AT5G46470,AT1G61370,AT1G69270,AT3G16030,AT1G59870,AT3G49370,AT2G38960,AT5G02290,AT4G11470,AT1G12420,AT4G01370,AT5G66630,AT4G18950,AT3G17700,AT2G39360,AT3G60190,AT5G52640,AT3G57640,AT4G27290,AT2G19130,AT3G21630,AT5G01950,AT2G41890,AT3G06300,AT1G61420,AT2G23450,AT2G48010,AT5G61010,AT1G71697,AT1G34420,AT4G23270,AT2G17720,AT5G20990,AT4G00330,AT5G57035,AT3G46530,AT3G61760,AT1G07000,AT1G09630,AT5G35200,AT4G19510,AT5G17060,AT5G38250,AT2G33580,AT2G19190,AT1G66880,AT5G02800,AT5G47960,AT1G72280,AT4G18430,AT5G56030,AT3G05050,AT2G40270,AT3G63420,AT1G11100,AT1G26270,AT1G06840,AT5G60930,AT5G25440,AT1G51850,AT1G17330,AT2G36580,AT5G27830,AT1G61610,AT5G39020,AT4G29810,AT4G25940,AT1G54960,AT4G23260,AT5G58940,AT5G56010,AT2G01600,AT5G38710,AT3G47090,AT4G21534,AT4G11480,AT1G56130,AT1G10290,AT4G17660,AT1G51800,AT4G24400,AT1G74740,AT2G17520,AT1G34300,AT1G61460,AT3G12580,AT2G40810,AT1G61430,AT1G56145,AT1G25390,AT4G36140,AT3G47570,AT5G42020,AT4G26070,AT3G44110,AT1G35710,AT5G45060,AT1G26410,AT4G08850,AT3G01840,AT2G31880,AT5G20480,AT3G14840,AT1G11300,AT5G09590,AT1G72910,AT5G28540,AT4G16660,AT2G28940,AT5G66790,AT3G44730,AT5G55560,AT1G11303,AT3G57700,AT1G51790,AT1G09080,AT3G04210,AT1G67000,AT2G46430,AT3G13900,AT1G14040,AT2G37710,AT5G38340,AT2G31955,AT4G23850,AT1G60440,AT4G02520,AT1G21250,AT3G50950,AT4G25350,AT4G12010,AT1G70520,AT1G73500,AT5G44390,AT1G21270,AT1G63740,AT1G11330,AT4G23140,AT1G16110,AT1G05350,AT5G50430,AT2G24360,AT3G62830,AT2G27200,AT4G39270,AT5G53310,AT3G29075,AT1G02500,AT3G57120,AT3G13050,AT3G09840,AT1G59820,AT1G47560"
GO:MF,kinase activity,GO:0016301,FALSE,9.71E-27,26.01263827,1441,814,140,23212,"AT5G41180,AT4G09570,AT1G51890,AT4G23150,AT3G55950,AT5G66210,AT4G04500,AT1G18890,AT3G45640,AT1G51660,AT5G26751,AT5G12480,AT2G39660,AT2G20900,AT3G53810,AT1G14370,AT1G21240,AT5G01550,AT4G23310,AT5G03320,AT5G47070,AT3G08720,AT1G67520,AT2G17290,AT3G14050,AT2G11520,AT5G66850,AT4G33430,AT2G46500,AT4G35310,AT1G30270,AT5G45840,AT1G61360,AT1G53440,AT4G08500,AT4G04510,AT5G61560,AT3G09010,AT3G01820,AT1G18390,AT5G15730,AT1G79680,AT2G13800,AT5G04870,AT3G28450,AT3G25250,AT4G23280,AT5G47850,AT3G46930,AT3G09830,AT4G23220,AT1G66460,AT2G13790,AT1G61370,AT1G69270,AT1G61640,AT3G16030,AT3G49370,AT5G02290,AT4G11470,AT4G01370,AT4G18950,AT2G39360,AT3G57640,AT4G27290,AT2G19130,AT3G21630,AT5G01950,AT2G41890,AT1G61420,AT2G23450,AT2G48010,AT1G71697,AT1G34420,AT4G23270,AT4G00330,AT5G57035,AT5G38250,AT2G33580,AT2G19190,AT1G66880,AT5G02800,AT3G05050,AT2G40270,AT1G26270,AT1G06840,AT5G25440,AT1G51850,AT2G36580,AT1G61610,AT5G39020,AT4G29810,AT1G54960,AT4G23260,AT5G58940,AT3G47090,AT4G21534,AT4G11480,AT1G56130,AT4G17660,AT1G51800,AT4G24400,AT1G74740,AT2G17520,AT1G34300,AT1G61460,AT5G52870,AT1G61430,AT1G56145,AT1G25390,AT3G47570,AT4G26070,AT1G47210,AT1G35710,AT4G08850,AT3G01840,AT2G31880,AT5G20480,AT3G14840,AT1G11300,AT2G28940,AT5G66790,AT5G55560,AT1G11303,AT3G57700,AT1G51790,AT1G67000,AT2G37710,AT1G60440,AT1G21250,AT1G70520,AT1G73500,AT1G21270,AT1G11330,AT4G23140,AT1G16110,AT2G24360,AT4G00300,AT4G39270,AT3G57120"
GO:MF,adenyl ribonucleotide binding,GO:0032559,FALSE,1.07E-26,25.96984317,2523,814,198,23212,"AT5G41180,AT4G09570,AT1G51890,AT4G23150,AT3G55950,AT5G66210,AT4G04500,AT1G18890,AT3G45640,AT1G51660,AT4G37640,AT5G26751,AT1G72900,AT5G12480,AT2G39660,AT2G20900,AT3G53810,AT1G14370,AT1G21240,AT5G01550,AT4G23310,AT5G03320,AT3G28580,AT5G47070,AT2G46620,AT3G08720,AT1G67520,AT2G17290,AT3G14050,AT2G11520,AT4G01010,AT5G66850,AT4G33430,AT3G44630,AT2G46500,AT1G72940,AT4G35310,AT1G30270,AT5G45840,AT1G61360,AT1G53440,AT4G08500,AT1G30420,AT4G04510,AT1G15520,AT5G61560,AT4G14370,AT5G39040,AT1G27770,AT3G09010,AT1G15890,AT3G01820,AT1G18390,AT5G15730,AT1G13210,AT1G79680,AT1G56540,AT3G63380,AT2G13800,AT3G13080,AT5G04720,AT5G04870,AT3G28450,AT3G25250,AT4G23280,AT1G74310,AT5G47850,AT3G46930,AT5G04930,AT5G57480,AT3G09830,AT4G23220,AT1G64400,AT1G66460,AT3G09440,AT2G13790,AT5G46470,AT1G61370,AT1G69270,AT3G16030,AT1G59870,AT3G49370,AT5G02290,AT4G11470,AT4G01370,AT5G66630,AT4G18950,AT3G17700,AT2G39360,AT5G52640,AT3G57640,AT4G27290,AT2G19130,AT3G21630,AT5G01950,AT2G41890,AT1G61420,AT2G23450,AT2G48010,AT1G71697,AT1G34420,AT4G23270,AT5G20990,AT4G00330,AT5G57035,AT3G46530,AT4G19510,AT5G38250,AT2G33580,AT2G19190,AT1G66880,AT5G02800,AT5G56030,AT3G05050,AT2G40270,AT1G11100,AT1G26270,AT1G06840,AT5G60930,AT5G25440,AT1G51850,AT1G17330,AT2G36580,AT1G61610,AT5G39020,AT4G29810,AT1G54960,AT4G23260,AT5G58940,AT5G56010,AT3G47090,AT4G21534,AT4G11480,AT1G56130,AT4G17660,AT1G51800,AT4G24400,AT1G74740,AT2G17520,AT1G34300,AT1G61460,AT3G12580,AT1G61430,AT1G56145,AT1G25390,AT4G36140,AT3G47570,AT5G42020,AT4G26070,AT3G44110,AT1G35710,AT5G45060,AT4G08850,AT3G01840,AT2G31880,AT5G20480,AT3G14840,AT1G11300,AT5G09590,AT1G72910,AT5G28540,AT4G16660,AT2G28940,AT5G66790,AT3G44730,AT5G55560,AT1G11303,AT3G57700,AT1G51790,AT1G09080,AT3G04210,AT1G67000,AT2G46430,AT3G13900,AT2G37710,AT5G38340,AT4G23850,AT1G60440,AT1G21250,AT3G50950,AT4G12010,AT1G70520,AT1G73500,AT1G21270,AT1G63740,AT1G11330,AT4G23140,AT1G16110,AT1G05350,AT5G50430,AT2G24360,AT4G39270,AT5G53310,AT1G02500,AT3G57120,AT3G13050,AT3G09840,AT1G59820"
GO:MF,purine ribonucleotide binding,GO:0032555,FALSE,4.13E-26,25.38414366,2794,814,210,23212,"AT5G41180,AT4G09570,AT1G51890,AT4G23150,AT3G55950,AT5G66210,AT4G04500,AT1G18890,AT3G45640,AT1G51660,AT4G37640,AT5G26751,AT1G72900,AT5G12480,AT2G39660,AT2G20900,AT3G53810,AT1G14370,AT1G21240,AT5G01550,AT4G23310,AT5G03320,AT3G28580,AT5G47070,AT4G39890,AT2G46620,AT3G08720,AT1G67520,AT2G17290,AT3G14050,AT2G11520,AT4G01010,AT5G66850,AT4G33430,AT3G44630,AT2G46500,AT1G72940,AT4G35310,AT3G21700,AT1G30270,AT5G45840,AT1G61360,AT1G53440,AT4G08500,AT1G30420,AT4G04510,AT1G15520,AT5G61560,AT4G14370,AT5G39040,AT1G27770,AT3G09010,AT1G15890,AT3G01820,AT1G18390,AT5G15730,AT1G13210,AT1G79680,AT1G56540,AT3G63380,AT2G13800,AT3G13080,AT5G04720,AT5G04870,AT3G28450,AT3G25250,AT4G23280,AT1G74310,AT5G47850,AT3G46930,AT5G04930,AT5G57480,AT3G09830,AT4G23220,AT1G64400,AT1G66460,AT3G09440,AT2G13790,AT5G46470,AT1G61370,AT1G69270,AT3G16030,AT1G59870,AT3G49370,AT5G02290,AT4G11470,AT4G01370,AT5G66630,AT4G18950,AT3G17700,AT2G39360,AT3G60190,AT5G52640,AT3G57640,AT4G27290,AT2G19130,AT3G21630,AT5G01950,AT2G41890,AT1G61420,AT2G23450,AT2G48010,AT1G71697,AT1G34420,AT4G23270,AT5G20990,AT4G00330,AT5G57035,AT3G46530,AT3G61760,AT1G09630,AT4G19510,AT5G17060,AT5G38250,AT2G33580,AT2G19190,AT1G66880,AT5G02800,AT5G47960,AT4G18430,AT5G56030,AT3G05050,AT2G40270,AT3G63420,AT1G11100,AT1G26270,AT1G06840,AT5G60930,AT5G25440,AT1G51850,AT1G17330,AT2G36580,AT1G61610,AT5G39020,AT4G29810,AT1G54960,AT4G23260,AT5G58940,AT5G56010,AT3G47090,AT4G21534,AT4G11480,AT1G56130,AT1G10290,AT4G17660,AT1G51800,AT4G24400,AT1G74740,AT2G17520,AT1G34300,AT1G61460,AT3G12580,AT1G61430,AT1G56145,AT1G25390,AT4G36140,AT3G47570,AT5G42020,AT4G26070,AT3G44110,AT1G35710,AT5G45060,AT4G08850,AT3G01840,AT2G31880,AT5G20480,AT3G14840,AT1G11300,AT5G09590,AT1G72910,AT5G28540,AT4G16660,AT2G28940,AT5G66790,AT3G44730,AT5G55560,AT1G11303,AT3G57700,AT1G51790,AT1G09080,AT3G04210,AT1G67000,AT2G46430,AT3G13900,AT2G37710,AT5G38340,AT2G31955,AT4G23850,AT1G60440,AT1G21250,AT3G50950,AT4G12010,AT1G70520,AT1G73500,AT1G21270,AT1G63740,AT1G11330,AT4G23140,AT1G16110,AT1G05350,AT5G50430,AT2G24360,AT2G27200,AT4G39270,AT5G53310,AT1G02500,AT3G57120,AT3G13050,AT3G09840,AT1G59820"
GO:MF,carbohydrate derivative binding,GO:0097367,FALSE,5.29E-26,25.27658993,2863,814,213,23212,"AT5G41180,AT4G09570,AT1G51890,AT4G23150,AT3G55950,AT5G66210,AT4G04500,AT1G18890,AT3G45640,AT1G51660,AT4G37640,AT5G26751,AT1G72900,AT5G12480,AT2G39660,AT2G20900,AT3G53810,AT1G14370,AT1G21240,AT5G01550,AT4G23310,AT5G03320,AT3G28580,AT5G47070,AT4G39890,AT2G46620,AT3G08720,AT1G67520,AT2G17290,AT3G14050,AT2G11520,AT4G01010,AT5G66850,AT4G33430,AT3G44630,AT2G46500,AT1G72940,AT4G35310,AT3G21700,AT1G30270,AT5G45840,AT1G61360,AT1G53440,AT4G08500,AT1G30420,AT4G04510,AT1G15520,AT5G61560,AT4G14370,AT5G39040,AT1G27770,AT3G09010,AT1G15890,AT3G01820,AT1G18390,AT5G15730,AT1G13210,AT1G79680,AT1G56540,AT3G63380,AT2G13800,AT3G13080,AT5G04720,AT5G04870,AT3G28450,AT3G25250,AT4G23280,AT1G74310,AT5G47850,AT3G46930,AT5G04930,AT5G57480,AT3G09830,AT4G23220,AT1G64400,AT1G66460,AT3G09440,AT2G13790,AT5G46470,AT1G61370,AT1G69270,AT3G16030,AT1G59870,AT3G49370,AT5G02290,AT4G11470,AT4G01370,AT5G66630,AT4G18950,AT3G17700,AT2G39360,AT3G60190,AT5G52640,AT3G57640,AT4G27290,AT2G19130,AT3G21630,AT5G01950,AT2G41890,AT1G61420,AT2G23450,AT2G48010,AT1G71697,AT1G34420,AT4G23270,AT5G20990,AT4G00330,AT5G57035,AT3G46530,AT3G61760,AT1G09630,AT4G19510,AT5G17060,AT5G38250,AT2G33580,AT2G19190,AT1G66880,AT5G02800,AT5G47960,AT4G18430,AT5G56030,AT3G05050,AT2G40270,AT3G63420,AT1G11100,AT1G26270,AT1G06840,AT5G60930,AT5G25440,AT1G51850,AT1G17330,AT2G36580,AT1G61610,AT5G39020,AT4G29810,AT1G54960,AT4G23260,AT5G58940,AT5G56010,AT3G47090,AT4G21534,AT4G11480,AT1G56130,AT3G54420,AT1G10290,AT4G17660,AT1G51800,AT4G24400,AT1G74740,AT2G17520,AT1G34300,AT3G24090,AT1G61460,AT3G12580,AT1G61430,AT1G56145,AT1G25390,AT4G36140,AT3G47570,AT5G42020,AT4G26070,AT3G44110,AT1G35710,AT5G45060,AT4G08850,AT3G01840,AT2G31880,AT5G20480,AT3G14840,AT1G11300,AT5G09590,AT1G72910,AT5G28540,AT4G16660,AT2G28940,AT5G66790,AT3G44730,AT5G55560,AT1G11303,AT3G57700,AT1G51790,AT1G09080,AT3G04210,AT1G67000,AT2G46430,AT3G13900,AT2G37710,AT5G38340,AT2G31955,AT4G23850,AT1G60440,AT4G02520,AT1G21250,AT3G50950,AT4G12010,AT1G70520,AT1G73500,AT1G21270,AT1G63740,AT1G11330,AT4G23140,AT1G16110,AT1G05350,AT5G50430,AT2G24360,AT2G27200,AT4G39270,AT5G53310,AT1G02500,AT3G57120,AT3G13050,AT3G09840,AT1G59820"
GO:MF,ribonucleotide binding,GO:0032553,FALSE,1.21E-25,24.91888499,2821,814,210,23212,"AT5G41180,AT4G09570,AT1G51890,AT4G23150,AT3G55950,AT5G66210,AT4G04500,AT1G18890,AT3G45640,AT1G51660,AT4G37640,AT5G26751,AT1G72900,AT5G12480,AT2G39660,AT2G20900,AT3G53810,AT1G14370,AT1G21240,AT5G01550,AT4G23310,AT5G03320,AT3G28580,AT5G47070,AT4G39890,AT2G46620,AT3G08720,AT1G67520,AT2G17290,AT3G14050,AT2G11520,AT4G01010,AT5G66850,AT4G33430,AT3G44630,AT2G46500,AT1G72940,AT4G35310,AT3G21700,AT1G30270,AT5G45840,AT1G61360,AT1G53440,AT4G08500,AT1G30420,AT4G04510,AT1G15520,AT5G61560,AT4G14370,AT5G39040,AT1G27770,AT3G09010,AT1G15890,AT3G01820,AT1G18390,AT5G15730,AT1G13210,AT1G79680,AT1G56540,AT3G63380,AT2G13800,AT3G13080,AT5G04720,AT5G04870,AT3G28450,AT3G25250,AT4G23280,AT1G74310,AT5G47850,AT3G46930,AT5G04930,AT5G57480,AT3G09830,AT4G23220,AT1G64400,AT1G66460,AT3G09440,AT2G13790,AT5G46470,AT1G61370,AT1G69270,AT3G16030,AT1G59870,AT3G49370,AT5G02290,AT4G11470,AT4G01370,AT5G66630,AT4G18950,AT3G17700,AT2G39360,AT3G60190,AT5G52640,AT3G57640,AT4G27290,AT2G19130,AT3G21630,AT5G01950,AT2G41890,AT1G61420,AT2G23450,AT2G48010,AT1G71697,AT1G34420,AT4G23270,AT5G20990,AT4G00330,AT5G57035,AT3G46530,AT3G61760,AT1G09630,AT4G19510,AT5G17060,AT5G38250,AT2G33580,AT2G19190,AT1G66880,AT5G02800,AT5G47960,AT4G18430,AT5G56030,AT3G05050,AT2G40270,AT3G63420,AT1G11100,AT1G26270,AT1G06840,AT5G60930,AT5G25440,AT1G51850,AT1G17330,AT2G36580,AT1G61610,AT5G39020,AT4G29810,AT1G54960,AT4G23260,AT5G58940,AT5G56010,AT3G47090,AT4G21534,AT4G11480,AT1G56130,AT1G10290,AT4G17660,AT1G51800,AT4G24400,AT1G74740,AT2G17520,AT1G34300,AT1G61460,AT3G12580,AT1G61430,AT1G56145,AT1G25390,AT4G36140,AT3G47570,AT5G42020,AT4G26070,AT3G44110,AT1G35710,AT5G45060,AT4G08850,AT3G01840,AT2G31880,AT5G20480,AT3G14840,AT1G11300,AT5G09590,AT1G72910,AT5G28540,AT4G16660,AT2G28940,AT5G66790,AT3G44730,AT5G55560,AT1G11303,AT3G57700,AT1G51790,AT1G09080,AT3G04210,AT1G67000,AT2G46430,AT3G13900,AT2G37710,AT5G38340,AT2G31955,AT4G23850,AT1G60440,AT1G21250,AT3G50950,AT4G12010,AT1G70520,AT1G73500,AT1G21270,AT1G63740,AT1G11330,AT4G23140,AT1G16110,AT1G05350,AT5G50430,AT2G24360,AT2G27200,AT4G39270,AT5G53310,AT1G02500,AT3G57120,AT3G13050,AT3G09840,AT1G59820"
