"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","catalytic activity","GO:0003824","true","0.000014056354014508752","4.852127313506816","9406","577","299","23212","AT3G49670,AT4G00340,AT4G12320,AT2G45560,AT1G60800,AT4G26520,AT2G31790,AT4G24810,AT3G28040,AT1G62560,AT4G29720,AT3G12915,AT5G05890,AT5G19530,AT3G15354,AT3G54920,AT3G62700,AT5G16000,AT4G30110,AT2G18570,AT1G30530,AT1G49650,AT5G24155,AT4G34220,AT5G56590,AT2G01830,AT1G72810,AT4G27030,AT4G13770,AT1G31770,AT2G36570,AT3G58990,AT3G25700,AT2G43200,AT5G58480,AT4G17770,AT1G16410,AT2G22980,AT4G37320,AT3G56370,AT5G23010,AT1G65590,AT1G26100,AT4G01130,AT5G14200,AT2G43100,AT1G21440,AT5G63180,AT3G62390,AT5G40150,AT3G19710,AT4G24790,AT1G78370,AT5G44680,AT1G13250,AT4G10120,AT2G41820,AT5G07180,AT4G39510,AT2G36870,AT3G18850,AT3G16910,AT3G02060,AT1G74070,AT3G55630,AT1G32060,AT2G21330,AT1G03310,AT1G15690,AT3G16260,AT2G29630,AT4G26530,AT2G13360,AT5G46580,AT1G54500,AT2G35780,AT2G30150,AT5G53170,AT5G38510,AT5G38430,AT1G68890,AT3G19000,AT3G56040,AT4G34030,AT5G16590,AT5G21930,AT1G55370,AT2G30390,AT1G26150,AT1G68010,AT3G62750,AT4G33500,AT1G14150,AT3G43600,AT1G65070,AT3G51950,AT2G26730,AT3G01440,AT3G14415,AT5G45650,AT1G62750,AT1G07110,AT1G64770,AT3G60750,AT2G24280,AT5G52100,AT4G13250,AT5G57030,AT2G40840,AT5G55540,AT4G23740,AT3G10160,AT5G38420,AT2G04270,AT3G29320,AT3G06980,AT3G02830,AT3G46970,AT5G35220,AT3G14420,AT3G19480,AT5G02250,AT3G14980,AT5G54770,AT5G58260,AT3G14210,AT2G39730,AT1G17220,AT4G12830,AT2G35260,AT3G61820,AT5G20280,AT3G23780,AT5G45300,AT1G19920,AT3G10270,AT5G22800,AT3G03770,AT3G15850,AT5G13980,AT1G54820,AT4G18240,AT5G50160,AT2G39930,AT1G50840,AT1G08660,AT5G58310,AT5G46390,AT1G67660,AT4G30020,AT5G01930,AT3G09580,AT4G25080,AT2G05920,AT5G53460,AT5G01920,AT1G05460,AT5G61480,AT3G22420,AT2G26840,AT1G58520,AT2G24120,AT4G12900,AT1G60550,AT1G44000,AT4G30720,AT2G03140,AT5G08370,AT1G33170,AT1G09750,AT4G32710,AT1G71695,AT1G60600,AT1G12900,AT5G64380,AT3G03710,AT5G65700,AT5G63630,AT1G15165,AT2G15820,AT1G11720,AT1G60990,AT4G15810,AT5G44530,AT4G21430,AT4G39120,AT4G31390,AT3G23760,AT2G26080,AT5G26570,AT4G25960,AT5G58370,AT5G63420,AT3G48430,AT5G04060,AT1G70580,AT2G19170,AT5G62670,AT1G67690,AT5G27390,AT3G24660,AT5G14210,AT2G27040,AT3G07130,AT4G20910,AT4G33010,AT1G30520,AT5G62220,AT1G55350,AT1G49580,AT5G61350,AT4G31590,AT2G43360,AT3G49650,AT5G49555,AT1G29410,AT5G51350,AT2G01918,AT2G25840,AT5G13000,AT1G10760,AT3G18090,AT2G24230,AT2G37790,AT1G29660,AT4G20430,AT3G06140,AT5G04140,AT4G02510,AT3G18000,AT2G38230,AT4G24670,AT5G05580,AT5G06670,AT3G05180,AT2G22190,AT2G22650,AT3G54720,AT3G51740,AT5G58300,AT3G48610,AT2G29300,AT5G04230,AT5G04885,AT3G20440,AT4G25420,AT1G36180,AT2G18230,AT1G11130,AT2G32410,AT5G04050,AT5G19730,AT4G30610,AT5G19210,AT1G80170,AT5G53900,AT1G80050,AT1G60590,AT3G04690,AT2G01950,AT4G14090,AT1G73600,AT3G44990,AT5G01890,AT2G02780,AT2G45970,AT1G68540,AT4G22130,AT5G25590,AT4G37550,AT4G27440,AT4G26790,AT1G68940,AT4G36360,AT2G40690,AT4G20940,AT1G01390,AT5G63140,AT3G24560,AT1G15080,AT1G45191,AT1G55510,AT4G39770,AT5G57170,AT4G36180,AT2G22810,AT1G11290,AT5G48900,AT1G15550,AT3G52720,AT3G45940,AT1G12244,AT4G24780,AT2G27420,AT2G40150,AT2G34060,AT1G20160,AT1G02730,AT4G20270"
"GO:MF","starch binding","GO:2001070","true","0.0007928929696318425","3.1007854329036184","10","577","5","23212","AT1G07110,AT2G40840,AT2G04270,AT1G11720,AT5G26570"
"GO:MF","1,4-alpha-oligoglucan phosphorylase activity","GO:0004645","false","0.027142169581496938","1.5663554404046247","2","577","2","23212","AT3G29320,AT3G46970"
"GO:MF","glycine dehydrogenase (decarboxylating) activity","GO:0004375","true","0.027142169581496938","1.5663554404046247","2","577","2","23212","AT2G26080,AT4G33010"
"GO:MF","mRNA binding","GO:0003729","true","0.027142169581496938","1.5663554404046247","1845","577","69","23212","AT5G04810,AT2G18940,AT5G55740,AT5G48910,AT3G62470,AT5G18475,AT5G02830,AT4G28080,AT3G09650,AT3G22150,AT1G15690,AT4G26530,AT2G13360,AT5G46580,AT1G15290,AT4G31850,AT1G60000,AT2G35130,AT5G38430,AT1G44920,AT4G16390,AT5G48730,AT1G01320,AT5G10690,AT1G23400,AT3G23070,AT1G68010,AT3G46610,AT3G18390,AT3G01370,AT5G50280,AT3G51950,AT3G14415,AT1G62750,AT3G53460,AT3G60750,AT2G21530,AT5G17790,AT5G38420,AT4G14510,AT3G63370,AT3G06980,AT3G02830,AT3G14330,AT2G41720,AT3G14420,AT2G39730,AT1G17220,AT5G27270,AT3G18110,AT4G09040,AT4G39620,AT5G57960,AT1G12900,AT3G03710,AT5G08720,AT2G26080,AT5G63420,AT1G70580,AT5G62670,AT4G33010,AT3G23700,AT1G10760,AT5G04140,AT1G08610,AT3G17040,AT2G34620,AT4G27440,AT1G11290"
"GO:MF","transmembrane signaling receptor activity","GO:0004888","true","0.027142169581496938","1.5663554404046247","76","577","8","23212","AT4G35290,AT2G01830,AT2G41820,AT5G61350,AT4G02510,AT3G04690,AT2G01950,AT3G51480"
"GO:MF","linear malto-oligosaccharide phosphorylase activity","GO:0102250","true","0.027142169581496938","1.5663554404046247","2","577","2","23212","AT3G29320,AT3G46970"
"GO:MF","glycine binding","GO:0016594","true","0.027142169581496938","1.5663554404046247","2","577","2","23212","AT2G26080,AT4G33010"
"GO:MF","lyase activity","GO:0016829","false","0.027142169581496938","1.5663554404046247","458","577","24","23212","AT4G26520,AT3G54920,AT1G72810,AT3G58990,AT2G43100,AT5G63180,AT2G21330,AT2G29630,AT4G26530,AT5G38430,AT1G68890,AT2G30390,AT5G38420,AT1G60550,AT1G44000,AT2G38230,AT4G24670,AT5G04230,AT1G80170,AT1G60590,AT2G22810,AT5G48900,AT3G52720,AT4G24780"
"GO:MF","sigma factor activity","GO:0016987","true","0.027142169581496938","1.5663554404046247","6","577","3","23212","AT2G36990,AT1G08540,AT1G64860"
