"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","transferase activity","GO:0016740","true","1.0253698023919374e-11","10.989119476877736","4009","390","129","23212","AT3G57550,AT3G19260,AT1G21120,AT2G01450,AT2G37940,AT3G47550,AT4G21390,AT2G41880,AT3G28340,AT3G02840,AT5G46080,AT3G57530,AT1G17750,AT4G23190,AT1G56140,AT4G25390,AT3G22890,AT1G29340,AT3G20410,AT5G25930,AT1G53430,AT4G11280,AT1G05675,AT5G67080,AT1G11050,AT3G28930,AT2G15390,AT1G21130,AT4G11370,AT5G59550,AT5G65600,AT1G21110,AT1G74360,AT1G73080,AT3G05200,AT1G17290,AT1G12760,AT1G75020,AT1G15530,AT4G27300,AT3G16720,AT1G16090,AT1G55450,AT5G43420,AT1G74330,AT5G01540,AT1G19310,AT5G64660,AT1G21100,AT5G10520,AT4G11330,AT5G44070,AT5G66070,AT2G02220,AT4G00970,AT2G15480,AT3G21070,AT4G04960,AT4G28350,AT1G67470,AT3G07800,AT1G02930,AT4G29050,AT3G57730,AT2G32800,AT1G03740,AT3G44830,AT1G63840,AT4G02410,AT4G30340,AT2G31990,AT1G19300,AT3G12200,AT2G47060,AT3G08760,AT4G23250,AT3G57630,AT5G58787,AT1G61380,AT2G44500,AT1G16130,AT1G79670,AT1G69920,AT3G20040,AT1G67530,AT5G41680,AT5G09790,AT5G51830,AT1G51820,AT2G28830,AT4G10390,AT2G15490,AT1G50750,AT5G01250,AT5G40180,AT4G37670,AT5G60300,AT5G56580,AT1G48720,AT4G22530,AT1G33560,AT5G01210,AT2G41380,AT3G28940,AT4G36480,AT4G19880,AT5G65240,AT5G48930,AT1G07240,AT5G67250,AT5G62560,AT2G23770,AT2G25850,AT2G17530,AT1G66920,AT3G25900,AT1G34260,AT3G09920,AT1G02880,AT2G42330,AT5G18150,AT5G10830,AT2G29740,AT1G66680,AT5G08139,AT1G75440,AT2G36880,AT2G22250,AT4G30370"
"GO:MF","ion binding","GO:0043167","true","1.5984170520945687e-10","9.796309895990545","6652","390","178","23212","AT3G57550,AT2G01450,AT4G12040,AT5G57220,AT3G47550,AT4G21390,AT2G41880,AT1G18300,AT5G46080,AT4G22780,AT4G20830,AT3G57530,AT1G17750,AT4G23190,AT5G47910,AT1G56140,AT4G25390,AT3G22890,AT3G20410,AT5G25930,AT4G33920,AT2G38470,AT1G64710,AT1G26380,AT1G53430,AT4G11280,AT5G53130,AT4G20780,AT5G67080,AT1G11050,AT3G52800,AT3G25610,AT5G57190,AT4G11370,AT5G59550,AT5G65600,AT4G22710,AT1G74360,AT1G73080,AT3G05200,AT1G17290,AT4G30210,AT1G12760,AT5G05730,AT1G26420,AT3G51920,AT5G11670,AT2G30020,AT3G26830,AT1G15530,AT2G32250,AT4G27300,AT3G16720,AT1G54090,AT3G55980,AT3G55840,AT2G03530,AT5G43420,AT1G12200,AT3G22370,AT1G74330,AT2G02010,AT5G01540,AT1G76650,AT1G19310,AT3G57330,AT3G51160,AT5G10520,AT4G11330,AT5G44070,AT5G46910,AT5G66070,AT2G02220,AT1G27730,AT4G29900,AT1G51700,AT4G00970,AT3G21070,AT4G04960,AT4G28350,AT1G67470,AT4G40080,AT3G43250,AT3G07800,AT1G02930,AT4G29050,AT3G57730,AT2G32800,AT1G03740,AT3G62150,AT5G04340,AT3G14090,AT3G49110,AT4G30600,AT5G03380,AT1G73540,AT4G02410,AT4G30340,AT2G41410,AT4G10040,AT1G20510,AT5G66320,AT1G30700,AT3G12200,AT1G31930,AT3G44260,AT5G44870,AT2G47060,AT1G51680,AT3G08760,AT4G23250,AT1G76680,AT2G40000,AT5G58787,AT1G61380,AT2G28210,AT1G16130,AT5G45250,AT1G79670,AT3G09520,AT1G76640,AT3G05580,AT5G52750,AT1G53390,AT4G39950,AT1G66500,AT3G20040,AT2G39480,AT5G41680,AT5G07100,AT1G07160,AT5G51070,AT5G09790,AT4G38540,AT5G51830,AT4G31950,AT1G03905,AT4G17615,AT1G51820,AT4G10390,AT4G15233,AT5G60300,AT5G50570,AT5G22690,AT5G56580,AT3G50770,AT2G41110,AT2G46600,AT1G33560,AT4G36480,AT5G65240,AT1G69960,AT5G03630,AT1G35350,AT5G20960,AT3G63010,AT2G23770,AT1G50360,AT2G25850,AT2G17530,AT1G66920,AT3G25900,AT4G26970,AT5G45750,AT1G34260,AT3G09920,AT1G02880,AT1G16220,AT2G38740,AT3G22950,AT3G15060,AT1G08830,AT5G66730,AT4G04800,AT1G75440,AT2G36880,AT2G22250,AT4G30370"
"GO:MF","anion binding","GO:0043168","false","1.6367412463632432e-10","9.786019973098073","3296","390","109","23212","AT3G57550,AT2G01450,AT4G21390,AT2G41880,AT5G46080,AT4G22780,AT4G20830,AT3G57530,AT1G17750,AT4G23190,AT1G56140,AT4G25390,AT3G22890,AT3G20410,AT5G25930,AT1G26380,AT1G53430,AT4G11280,AT5G53130,AT5G67080,AT1G11050,AT3G25610,AT5G65600,AT1G74360,AT1G73080,AT1G17290,AT4G30210,AT1G26420,AT1G15530,AT4G27300,AT1G54090,AT2G03530,AT1G12200,AT1G74330,AT2G02010,AT5G01540,AT3G57330,AT3G51160,AT5G10520,AT4G11330,AT2G02220,AT4G29900,AT4G00970,AT3G21070,AT4G04960,AT4G28350,AT1G67470,AT4G40080,AT3G07800,AT1G02930,AT4G29050,AT3G57730,AT2G32800,AT1G03740,AT3G62150,AT3G14090,AT4G30600,AT4G02410,AT4G30340,AT1G20510,AT1G30700,AT3G12200,AT1G31930,AT5G44870,AT2G47060,AT1G51680,AT3G08760,AT4G23250,AT1G76680,AT1G61380,AT1G16130,AT5G45250,AT1G79670,AT3G09520,AT1G53390,AT3G20040,AT2G39480,AT5G41680,AT5G51070,AT4G38540,AT5G51830,AT1G03905,AT1G51820,AT4G10390,AT4G15233,AT5G60300,AT5G22690,AT5G56580,AT1G33560,AT4G36480,AT5G65240,AT5G03630,AT1G35350,AT5G20960,AT3G63010,AT2G23770,AT1G50360,AT2G25850,AT2G17530,AT1G66920,AT5G45750,AT1G34260,AT3G09920,AT1G02880,AT3G22950,AT3G15060,AT1G75440,AT2G36880,AT2G22250"
"GO:MF","protein serine kinase activity","GO:0106310","false","5.925505241624454e-10","9.2272746133694","638","390","39","23212","AT2G01450,AT4G21390,AT3G57530,AT1G17750,AT4G23190,AT1G56140,AT4G25390,AT3G20410,AT1G53430,AT1G11050,AT5G65600,AT1G74360,AT1G73080,AT1G15530,AT4G27300,AT5G01540,AT5G10520,AT4G11330,AT2G02220,AT4G00970,AT4G04960,AT4G28350,AT4G29050,AT3G57730,AT2G32800,AT4G02410,AT3G12200,AT2G47060,AT4G23250,AT1G61380,AT1G16130,AT1G79670,AT1G51820,AT4G10390,AT5G60300,AT5G56580,AT5G65240,AT2G23770,AT1G66920"
"GO:MF","protein serine/threonine kinase activity","GO:0004674","false","7.81421883714467e-10","9.107114430526956","870","390","46","23212","AT2G01450,AT4G21390,AT5G46080,AT3G57530,AT1G17750,AT4G23190,AT1G56140,AT4G25390,AT3G20410,AT1G53430,AT5G67080,AT1G11050,AT5G65600,AT1G74360,AT1G73080,AT1G15530,AT4G27300,AT1G16090,AT1G74330,AT5G01540,AT5G10520,AT4G11330,AT2G02220,AT4G00970,AT4G04960,AT4G28350,AT4G29050,AT3G57730,AT2G32800,AT1G03740,AT4G02410,AT3G12200,AT2G47060,AT4G23250,AT1G61380,AT1G16130,AT1G79670,AT1G51820,AT4G10390,AT5G60300,AT5G56580,AT5G65240,AT2G23770,AT2G17530,AT1G66920,AT2G42330"
"GO:MF","kinase activity","GO:0016301","false","7.86073491689513e-10","9.104536848943825","1441","390","62","23212","AT3G57550,AT2G01450,AT4G21390,AT2G41880,AT5G46080,AT3G57530,AT1G17750,AT4G23190,AT1G56140,AT4G25390,AT3G22890,AT3G20410,AT5G25930,AT1G53430,AT5G67080,AT1G11050,AT5G65600,AT1G74360,AT1G73080,AT1G15530,AT4G27300,AT1G16090,AT1G74330,AT5G01540,AT5G10520,AT4G11330,AT2G02220,AT4G00970,AT3G21070,AT4G04960,AT4G28350,AT1G67470,AT3G07800,AT4G29050,AT3G57730,AT2G32800,AT1G03740,AT4G02410,AT4G30340,AT3G12200,AT2G47060,AT3G08760,AT4G23250,AT1G61380,AT1G16130,AT1G79670,AT3G20040,AT5G41680,AT5G51830,AT1G51820,AT4G10390,AT5G60300,AT5G56580,AT1G33560,AT5G65240,AT2G23770,AT2G17530,AT1G66920,AT1G34260,AT3G09920,AT1G02880,AT2G42330"
"GO:MF","phosphotransferase activity, alcohol group as acceptor","GO:0016773","false","1.0929928878297118e-9","8.961382664021349","1272","390","57","23212","AT2G01450,AT4G21390,AT5G46080,AT3G57530,AT1G17750,AT4G23190,AT1G56140,AT4G25390,AT3G22890,AT3G20410,AT5G25930,AT1G53430,AT5G67080,AT1G11050,AT5G65600,AT1G74360,AT1G73080,AT1G15530,AT4G27300,AT1G16090,AT1G74330,AT5G01540,AT5G10520,AT4G11330,AT2G02220,AT4G00970,AT3G21070,AT4G04960,AT4G28350,AT1G67470,AT4G29050,AT3G57730,AT2G32800,AT1G03740,AT4G02410,AT4G30340,AT3G12200,AT2G47060,AT3G08760,AT4G23250,AT1G61380,AT1G16130,AT1G79670,AT3G20040,AT5G41680,AT5G51830,AT1G51820,AT4G10390,AT5G60300,AT5G56580,AT5G65240,AT2G23770,AT2G17530,AT1G66920,AT1G34260,AT3G09920,AT2G42330"
"GO:MF","small molecule binding","GO:0036094","false","3.6278644762989396e-9","8.440348944956725","3378","390","106","23212","AT3G57550,AT2G01450,AT4G21390,AT2G41880,AT5G46080,AT4G22780,AT4G20830,AT3G57530,AT1G17750,AT4G23190,AT1G56140,AT4G25390,AT3G22890,AT3G20410,AT5G25930,AT1G09940,AT1G26380,AT1G53430,AT4G11280,AT5G53130,AT5G67080,AT1G11050,AT3G25610,AT5G65600,AT1G74360,AT1G73080,AT1G17290,AT4G30210,AT1G26420,AT5G11670,AT1G15530,AT4G27300,AT2G03530,AT1G12200,AT1G74330,AT2G02010,AT5G01540,AT3G57330,AT3G51160,AT5G10520,AT4G11330,AT2G02220,AT4G29900,AT4G00970,AT3G21070,AT4G04960,AT4G28350,AT1G67470,AT3G07800,AT4G29050,AT3G57730,AT2G32800,AT1G03740,AT3G62150,AT4G30600,AT4G02410,AT4G30340,AT1G20510,AT1G30700,AT3G12200,AT1G31930,AT5G44870,AT2G47060,AT1G51680,AT3G08760,AT4G23250,AT1G76680,AT1G61380,AT1G16130,AT5G45250,AT1G79670,AT1G53390,AT3G20040,AT2G39480,AT5G41680,AT5G51070,AT4G38540,AT5G51830,AT1G03905,AT1G51820,AT4G10390,AT4G15233,AT5G60300,AT5G22690,AT5G56580,AT1G33560,AT4G36480,AT5G65240,AT5G03630,AT1G35350,AT5G20960,AT3G63010,AT2G23770,AT1G50360,AT2G25850,AT2G17530,AT1G66920,AT5G45750,AT1G34260,AT3G09920,AT1G02880,AT3G22950,AT3G15060,AT1G75440,AT2G36880,AT2G22250"
"GO:MF","nucleoside phosphate binding","GO:1901265","false","1.22340829096861e-8","7.912428580639168","3146","390","99","23212","AT3G57550,AT2G01450,AT4G21390,AT2G41880,AT5G46080,AT4G20830,AT3G57530,AT1G17750,AT4G23190,AT1G56140,AT4G25390,AT3G22890,AT3G20410,AT5G25930,AT1G09940,AT1G26380,AT1G53430,AT5G53130,AT5G67080,AT1G11050,AT3G25610,AT5G65600,AT1G74360,AT1G73080,AT1G17290,AT4G30210,AT1G26420,AT5G11670,AT1G15530,AT4G27300,AT2G03530,AT1G12200,AT1G74330,AT5G01540,AT3G57330,AT3G51160,AT5G10520,AT4G11330,AT2G02220,AT4G29900,AT4G00970,AT3G21070,AT4G04960,AT4G28350,AT1G67470,AT3G07800,AT4G29050,AT3G57730,AT2G32800,AT1G03740,AT3G62150,AT4G30600,AT4G02410,AT4G30340,AT1G20510,AT1G30700,AT3G12200,AT1G31930,AT5G44870,AT2G47060,AT1G51680,AT3G08760,AT4G23250,AT1G76680,AT1G61380,AT1G16130,AT5G45250,AT1G79670,AT1G53390,AT3G20040,AT2G39480,AT5G41680,AT5G51070,AT4G38540,AT5G51830,AT1G03905,AT1G51820,AT4G10390,AT4G15233,AT5G60300,AT5G22690,AT5G56580,AT1G33560,AT5G65240,AT5G03630,AT5G20960,AT2G23770,AT1G50360,AT2G25850,AT2G17530,AT1G66920,AT5G45750,AT1G34260,AT3G09920,AT1G02880,AT3G22950,AT3G15060,AT1G75440,AT2G36880"
"GO:MF","nucleotide binding","GO:0000166","false","1.22340829096861e-8","7.912428580639168","3146","390","99","23212","AT3G57550,AT2G01450,AT4G21390,AT2G41880,AT5G46080,AT4G20830,AT3G57530,AT1G17750,AT4G23190,AT1G56140,AT4G25390,AT3G22890,AT3G20410,AT5G25930,AT1G09940,AT1G26380,AT1G53430,AT5G53130,AT5G67080,AT1G11050,AT3G25610,AT5G65600,AT1G74360,AT1G73080,AT1G17290,AT4G30210,AT1G26420,AT5G11670,AT1G15530,AT4G27300,AT2G03530,AT1G12200,AT1G74330,AT5G01540,AT3G57330,AT3G51160,AT5G10520,AT4G11330,AT2G02220,AT4G29900,AT4G00970,AT3G21070,AT4G04960,AT4G28350,AT1G67470,AT3G07800,AT4G29050,AT3G57730,AT2G32800,AT1G03740,AT3G62150,AT4G30600,AT4G02410,AT4G30340,AT1G20510,AT1G30700,AT3G12200,AT1G31930,AT5G44870,AT2G47060,AT1G51680,AT3G08760,AT4G23250,AT1G76680,AT1G61380,AT1G16130,AT5G45250,AT1G79670,AT1G53390,AT3G20040,AT2G39480,AT5G41680,AT5G51070,AT4G38540,AT5G51830,AT1G03905,AT1G51820,AT4G10390,AT4G15233,AT5G60300,AT5G22690,AT5G56580,AT1G33560,AT5G65240,AT5G03630,AT5G20960,AT2G23770,AT1G50360,AT2G25850,AT2G17530,AT1G66920,AT5G45750,AT1G34260,AT3G09920,AT1G02880,AT3G22950,AT3G15060,AT1G75440,AT2G36880"
"GO:MF","protein kinase activity","GO:0004672","false","1.22340829096861e-8","7.912428580639168","1110","390","50","23212","AT2G01450,AT4G21390,AT5G46080,AT3G57530,AT1G17750,AT4G23190,AT1G56140,AT4G25390,AT3G20410,AT5G25930,AT1G53430,AT5G67080,AT1G11050,AT5G65600,AT1G74360,AT1G73080,AT1G15530,AT4G27300,AT1G16090,AT1G74330,AT5G01540,AT5G10520,AT4G11330,AT2G02220,AT4G00970,AT4G04960,AT4G28350,AT1G67470,AT4G29050,AT3G57730,AT2G32800,AT1G03740,AT4G02410,AT3G12200,AT2G47060,AT3G08760,AT4G23250,AT1G61380,AT1G16130,AT1G79670,AT5G41680,AT1G51820,AT4G10390,AT5G60300,AT5G56580,AT5G65240,AT2G23770,AT2G17530,AT1G66920,AT2G42330"
"GO:MF","transferase activity, transferring phosphorus-containing groups","GO:0016772","false","1.22340829096861e-8","7.912428580639168","1686","390","65","23212","AT3G57550,AT2G01450,AT2G37940,AT4G21390,AT2G41880,AT5G46080,AT3G57530,AT1G17750,AT4G23190,AT1G56140,AT4G25390,AT3G22890,AT3G20410,AT5G25930,AT1G53430,AT5G67080,AT1G11050,AT5G65600,AT1G74360,AT1G73080,AT1G15530,AT4G27300,AT1G16090,AT1G74330,AT5G01540,AT5G10520,AT4G11330,AT2G02220,AT4G00970,AT3G21070,AT4G04960,AT4G28350,AT1G67470,AT3G07800,AT4G29050,AT3G57730,AT2G32800,AT1G03740,AT4G02410,AT4G30340,AT3G12200,AT2G47060,AT3G08760,AT4G23250,AT1G61380,AT1G16130,AT1G79670,AT3G20040,AT5G41680,AT5G51830,AT1G51820,AT4G10390,AT5G60300,AT5G56580,AT1G48720,AT1G33560,AT5G65240,AT2G23770,AT2G25850,AT2G17530,AT1G66920,AT1G34260,AT3G09920,AT1G02880,AT2G42330"
"GO:MF","catalytic activity","GO:0003824","false","2.1642588404840557e-8","7.664690799817095","9406","390","218","23212","AT3G57550,AT5G26030,AT3G19260,AT1G21120,AT2G01450,AT5G57220,AT2G37940,AT3G47550,AT4G21390,AT2G41880,AT1G18300,AT3G28340,AT3G02840,AT5G46080,AT2G16500,AT4G20830,AT3G57530,AT1G17750,AT4G23190,AT5G47910,AT1G56140,AT4G25390,AT3G22890,AT1G29340,AT3G20410,AT5G25930,AT4G33920,AT1G09940,AT1G64710,AT1G26380,AT1G53430,AT4G11280,AT1G05675,AT5G67080,AT1G11050,AT3G28930,AT2G15390,AT4G34460,AT1G21130,AT3G25610,AT2G30720,AT5G57190,AT3G08710,AT4G11370,AT5G59550,AT5G65600,AT5G14700,AT1G51270,AT4G22710,AT1G21110,AT1G74360,AT4G39230,AT1G73080,AT3G05200,AT1G17290,AT4G30210,AT2G01180,AT1G12760,AT1G75020,AT5G05730,AT1G26420,AT2G39400,AT5G11670,AT2G30020,AT3G26830,AT1G15530,AT1G25220,AT4G27300,AT3G16720,AT1G16090,AT1G55450,AT4G34180,AT5G43420,AT1G12200,AT3G22370,AT1G74330,AT3G26680,AT5G54810,AT2G02010,AT5G01540,AT1G19310,AT3G57330,AT5G64660,AT1G21100,AT3G51160,AT5G10520,AT4G11330,AT5G44070,AT5G46910,AT5G66070,AT2G02220,AT4G29900,AT4G00970,AT2G15480,AT3G21070,AT4G04960,AT4G28350,AT1G67470,AT3G07800,AT1G02930,AT2G44490,AT4G29050,AT5G45280,AT3G57730,AT2G32800,AT1G03740,AT3G44830,AT3G62150,AT3G49110,AT1G63840,AT4G30600,AT1G73540,AT4G02410,AT4G30340,AT4G10040,AT3G59080,AT2G31990,AT1G20510,AT1G19300,AT1G30700,AT3G12200,AT1G31930,AT3G44260,AT5G44870,AT1G08630,AT2G47060,AT1G51680,AT3G08760,AT4G23250,AT1G76680,AT3G57630,AT5G58787,AT1G61380,AT2G44500,AT2G28210,AT1G16130,AT5G45250,AT1G79670,AT3G05580,AT1G69920,AT1G53390,AT5G15870,AT4G39950,AT4G33180,AT3G20040,AT3G14990,AT1G67530,AT5G41680,AT1G07160,AT5G51070,AT5G09790,AT4G38540,AT5G51830,AT4G31950,AT1G03905,AT1G51820,AT2G28830,AT4G10390,AT2G15490,AT1G63380,AT1G50750,AT5G01250,AT5G40180,AT4G37670,AT5G60300,AT5G56580,AT1G48720,AT4G22530,AT1G33560,AT5G01210,AT2G41380,AT3G28940,AT4G36480,AT4G19880,AT5G65240,AT1G69960,AT5G48930,AT1G07240,AT1G20100,AT5G03630,AT5G67250,AT5G62560,AT5G20960,AT3G63010,AT2G23770,AT2G25850,AT2G17530,AT1G66920,AT3G25900,AT4G26970,AT5G45750,AT1G34260,AT3G09920,AT1G02880,AT2G42330,AT4G18140,AT5G18150,AT1G16220,AT4G02330,AT4G27940,AT5G10830,AT2G29740,AT2G38740,AT4G39910,AT3G22950,AT3G15060,AT1G66680,AT1G08830,AT5G08139,AT3G53990,AT4G04800,AT1G75440,AT2G36880,AT5G57000,AT1G56345,AT4G33440,AT2G22250,AT4G30370"
