"contrast","iso1","iso2","iso1.mean.ratio","iso2.mean.ratio","Condition1(x=1)","Condition2(x=2)","before.interval","after.interval","x.value","y.value","before.prob","after.prob","before.diff","after.diff","before.pval","after.pval","before.FDR","after.FDR","before.t.points","after.t.points","prob","diff","cor","numeric.coordinates"
"SETI_WT.E-SETI_WT.mock","AT5G66210_ID2","AT5G66210_P1",0.570401894088515,0.355335879732413,"SETI_WT.mock","SETI_WT.E","[1,1.2325]","(1.2325,2]",1.2325374560505,24.2912022481188,1,1,-16.2293513333333,53.5630666666667,0.0162216015141853,0.132171218239927,0.0324432030283706,0.132171218239927,1,1,1,69.792418,0.70491124704238,"SETI_WT.mock: 1; SETI_WT.E: 2"
"SETI_WT.E-SETI_WT.mock","AT5G57565_P2","AT5G57565_P6",0.312574391837508,0.309504975412596,"SETI_WT.mock","SETI_WT.E","[1,1.4968]","(1.4968,2]",1.49682174265057,1.4162678307051,1,1,-2.181691,2.20960433333333,0.0517336277811436,0.0669914730059353,0.0669914730059353,0.0669914730059353,1,1,1,4.39129533333333,-0.636739569744571,NA
"SETI_WT.E-SETI_WT.mock","AT5G48620_P2","AT5G48620_s2",0.217383226499625,0.0429319293935268,"SETI_WT.mock","SETI_WT.E","[1,1.0822]","(1.0822,2]",1.08217251353486,1.46511093963322,1,1,-1.40697933333333,15.715283,0.0047405051210954,0.232547574753159,0.0094810102421908,0.232547574753159,1,1,1,17.1222623333333,-0.056656968499323,NA
"SETI_WT.E-SETI_WT.mock","AT5G48620_P1","AT5G48620_s2",0.026226909981802,0.0429319293935268,"SETI_WT.mock","SETI_WT.E","[1,1.2603]","(1.2603,2]",1.26032825097632,1.59110962522558,1,1,0.744107,-2.11423433333333,0.216503760394726,0.0394391185101668,0.216503760394726,0.0788782370203337,1,1,1,2.85834133333333,-0.492472204052595,NA
"SETI_WT.E-SETI_WT.mock","AT5G48620_P1","AT5G48620_c1",0.026226909981802,0.011725199780475,"SETI_WT.mock","SETI_WT.E","[1,1.7003]","(1.7003,2]",1.70028429677103,0.644719148552481,1,1,2.07936466666667,-0.889950333333333,0.0647693461118387,0.116416290517116,0.116416290517116,0.116416290517116,1,1,1,2.969315,-0.728946988773571,NA
"SETI_WT.E-SETI_WT.mock","AT5G48620_P1","AT5G48620_P2",0.026226909981802,0.217383226499625,"SETI_WT.mock","SETI_WT.E","[1,1.1077]","(1.1077,2]",1.10765872589335,1.91951739686045,1,1,2.15108633333333,-17.8295173333333,0.0519057135896089,0.182472408061867,0.103811427179218,0.182472408061867,1,1,1,19.9806036666667,-0.640095077928719,NA
"SETI_WT.E-SETI_WT.mock","AT5G48620_JC3","AT5G48620_P2",0.0112935147310334,0.217383226499625,"SETI_WT.mock","SETI_WT.E","[1,1.0125]","(1.0125,2]",1.01248470126147,0.222611997787613,1,1,0.216436333333333,-17.119688,0.0241185925343413,0.180900551743772,0.0482371850686826,0.180900551743772,1,1,1,17.3361243333333,0.960684801141138,NA
"SETI_WT.E-SETI_WT.mock","AT5G48620_JC3","AT5G48620_P1",0.0112935147310334,0.026226909981802,"SETI_WT.mock","SETI_WT.E","[1,1.7316]","(1.7316,2]",1.73158068418761,0.577397416555765,1,1,-1.93465,0.709829333333333,0.0666896844582658,0.224160598577956,0.133379368916532,0.224160598577956,1,1,1,2.64447933333333,-0.479820541310072,NA
"SETI_WT.E-SETI_WT.mock","AT5G48620_JC10","AT5G48620_P2",0.0109040110157048,0.217383226499625,"SETI_WT.mock","SETI_WT.E","[1,1.0263]","(1.0263,2]",1.02634526205838,0.469738884996957,1,1,0.470978333333333,-17.4061766666667,0.205566621441741,0.183266973375453,0.205566621441741,0.205566621441741,1,1,1,17.877155,0.359856210409121,NA
"SETI_WT.E-SETI_WT.mock","AT5G48620_JC10","AT5G48620_P1",0.0109040110157048,0.026226909981802,"SETI_WT.mock","SETI_WT.E","[1,1.7987]","(1.7987,2]",1.79873972045273,0.432931456941452,1,1,-1.680108,0.423340666666667,0.0240521348648646,0.152105212189234,0.0481042697297292,0.152105212189234,1,1,1,2.10344866666667,0.405454267452869,NA
"SETI_WT.E-SETI_WT.mock","AT5G45500_JS1","AT5G45500_P6",0.0133514007589234,0.00755917764674636,"SETI_WT.mock","SETI_WT.E","[1,1.6847]","(1.6847,2]",1.68473330940514,0.589966334688522,1,1,1.504575,-0.692740333333333,0.017357646312843,0.0466784836680669,0.0347152926256861,0.0466784836680669,1,1,1,2.19731533333333,-0.447896650525885,NA
"SETI_WT.E-SETI_WT.mock","AT5G38895_P1","AT5G38895_s1",0.0398857344423265,0.0718422441966842,"SETI_WT.mock","SETI_WT.E","[1,1.3191]","(1.3191,2]",1.31908126340325,1.78632518040987,1,1,2.14722566666667,-4.582175,0.00503072066716528,0.17639214438499,0.0100614413343306,0.17639214438499,1,1,1,6.72940066666667,-0.802907184929142,NA
"SETI_WT.E-SETI_WT.mock","AT5G19670_P1","AT5G19670_P2",0.545330467161624,0.31584924362025,"SETI_WT.mock","SETI_WT.E","[1,1.6332]","(1.6332,2]",1.63323654788211,1.14560385860836,1,1,3.12354966666667,-1.80912466666667,0.0858047500856623,0.0939948745019153,0.0939948745019153,0.0939948745019153,1,1,1,4.93267433333333,-0.706905966611122,NA
"SETI_WT.E-SETI_WT.mock","AT5G19670_ID1","AT5G19670_P2",0.138820289218126,0.31584924362025,"SETI_WT.mock","SETI_WT.E","[1,1.2575]","(1.2575,2]",1.2575188746068,0.465883748183403,1,1,0.538436,-1.55242433333333,0.191862335567479,0.0833604555436782,0.191862335567479,0.166720911087356,1,1,1,2.09086033333333,-0.139467295194255,NA
"SETI_WT.E-SETI_WT.mock","AT5G15790_P1","AT5G15790_P2",0.509157732966274,0.407626836037549,"SETI_WT.mock","SETI_WT.E","[1,1.4091]","(1.4091,2]",1.40910212252863,2.01025391898888,1,1,-2.20502266666667,3.184885,0.0303704628019276,0.140890430794499,0.0607409256038552,0.140890430794499,1,1,1,5.38990766666667,-0.253970929338154,NA
