"target","contrast","adj.pval","log2FC","up.down"
"AT3G52870","SETI_WT.E-SETI_WT.mock",6.41590931753462e-13,3.04321220102435,"up-regulated"
"AT4G11660","SETI_WT.E-SETI_WT.mock",6.41590931753462e-13,2.76311224798955,"up-regulated"
"AT5G41180","SETI_WT.E-SETI_WT.mock",6.41590931753462e-13,3.55625746959389,"up-regulated"
"AT4G23570","SETI_WT.E-SETI_WT.mock",8.90201831552124e-13,3.44729354785907,"up-regulated"
"AT5G58430","SETI_WT.E-SETI_WT.mock",1.38971800066089e-12,3.36270247943459,"up-regulated"
"AT4G18250","SETI_WT.E-SETI_WT.mock",1.88239463430902e-12,4.7664895623834,"up-regulated"
"AT1G21120","SETI_WT.E-SETI_WT.mock",3.47841230751599e-12,5.61871783872248,"up-regulated"
"AT3G45640","SETI_WT.E-SETI_WT.mock",3.49162556078751e-12,3.44252086179855,"up-regulated"
"AT4G26400","SETI_WT.E-SETI_WT.mock",5.11058739756065e-12,2.93835396282028,"up-regulated"
"AT5G57220","SETI_WT.E-SETI_WT.mock",5.11058739756065e-12,6.23335564498479,"up-regulated"
"AT5G16480","SETI_WT.E-SETI_WT.mock",5.4892794389638e-12,3.28117538499403,"up-regulated"
"AT5G22520","SETI_WT.E-SETI_WT.mock",5.4892794389638e-12,5.50563223963421,"up-regulated"
"AT5G66210","SETI_WT.E-SETI_WT.mock",7.50707845939436e-12,3.12955416345293,"up-regulated"
"AT2G22300","SETI_WT.E-SETI_WT.mock",7.94640927560433e-12,2.17399100675832,"up-regulated"
"AT5G27420","SETI_WT.E-SETI_WT.mock",8.22795995041185e-12,5.08563732161749,"up-regulated"
"AT5G56340","SETI_WT.E-SETI_WT.mock",8.53877760074533e-12,3.68385278608446,"up-regulated"
"AT1G11050","SETI_WT.E-SETI_WT.mock",9.46522923996888e-12,3.01855820859807,"up-regulated"
"AT5G01980","SETI_WT.E-SETI_WT.mock",9.46522923996888e-12,3.32485284711208,"up-regulated"
"AT1G30755","SETI_WT.E-SETI_WT.mock",9.81010075357751e-12,3.41065178930918,"up-regulated"
"AT5G42830","SETI_WT.E-SETI_WT.mock",9.81010075357751e-12,4.04798353206203,"up-regulated"
"AT1G32127","SETI_WT.E-SETI_WT.mock",1.34583595852409e-11,3.73739724700171,"up-regulated"
"AT3G57550","SETI_WT.E-SETI_WT.mock",1.34583595852409e-11,2.75736681543722,"up-regulated"
"AT5G06560","SETI_WT.E-SETI_WT.mock",1.34583595852409e-11,1.95106883943117,"up-regulated"
"AT5G66850","SETI_WT.E-SETI_WT.mock",1.34583595852409e-11,2.38136273190305,"up-regulated"
"AT1G01560","SETI_WT.E-SETI_WT.mock",1.62845542767838e-11,4.38097815100744,"up-regulated"
"AT4G04540","SETI_WT.E-SETI_WT.mock",1.75360733009692e-11,5.06941518050536,"up-regulated"
"AT3G15518","SETI_WT.E-SETI_WT.mock",3.064576829364e-11,4.59035839867821,"up-regulated"
"AT1G13110","SETI_WT.E-SETI_WT.mock",3.06935136505722e-11,3.05409113519104,"up-regulated"
"AT4G18880","SETI_WT.E-SETI_WT.mock",3.10840311371301e-11,2.97960116502397,"up-regulated"
"AT1G78410","SETI_WT.E-SETI_WT.mock",4.35107820560951e-11,4.93140365124265,"up-regulated"
"AT2G40095","SETI_WT.E-SETI_WT.mock",4.35107820560951e-11,4.01238451474366,"up-regulated"
"AT2G41835","SETI_WT.E-SETI_WT.mock",4.35107820560951e-11,3.93493851696335,"up-regulated"
"AT4G38560","SETI_WT.E-SETI_WT.mock",4.35107820560951e-11,5.12296280853395,"up-regulated"
"AT4G39640","SETI_WT.E-SETI_WT.mock",4.35107820560951e-11,2.93153694257796,"up-regulated"
"AT5G66900","SETI_WT.E-SETI_WT.mock",4.35107820560951e-11,2.39442702167721,"up-regulated"
"AT4G16860","SETI_WT.E-SETI_WT.mock",4.48436869082554e-11,2.30407322420945,"up-regulated"
"AT2G41880","SETI_WT.E-SETI_WT.mock",5.05176295369963e-11,2.59334137049153,"up-regulated"
"AT1G16420","SETI_WT.E-SETI_WT.mock",6.67728378285804e-11,5.31457437844144,"up-regulated"
"AT5G66620","SETI_WT.E-SETI_WT.mock",6.67728378285804e-11,4.31653997169748,"up-regulated"
"AT4G02550","SETI_WT.E-SETI_WT.mock",7.50244196648496e-11,2.36794299206393,"up-regulated"
"AT4G19520","SETI_WT.E-SETI_WT.mock",7.50244196648496e-11,3.02878744141701,"up-regulated"
"AT4G38940","SETI_WT.E-SETI_WT.mock",7.50244196648496e-11,3.80247083763274,"up-regulated"
"AT5G26920","SETI_WT.E-SETI_WT.mock",7.54915599410048e-11,4.88232645913584,"up-regulated"
"AT5G18470","SETI_WT.E-SETI_WT.mock",7.75640653118209e-11,3.42356651658949,"up-regulated"
"AT1G33600","SETI_WT.E-SETI_WT.mock",8.78737727503576e-11,2.15636751965617,"up-regulated"
"AT1G67970","SETI_WT.E-SETI_WT.mock",9.22615484554193e-11,1.98329509150153,"up-regulated"
"AT2G16500","SETI_WT.E-SETI_WT.mock",9.22615484554193e-11,1.77595009887125,"up-regulated"
"AT1G72240","SETI_WT.E-SETI_WT.mock",9.92356840658892e-11,3.58298713365813,"up-regulated"
"AT4G18253","SETI_WT.E-SETI_WT.mock",9.94188940277184e-11,4.27608011340296,"up-regulated"
"AT4G23220","SETI_WT.E-SETI_WT.mock",1.76231807584067e-10,2.76508595162534,"up-regulated"
"AT4G37640","SETI_WT.E-SETI_WT.mock",1.77645080489529e-10,3.0476688842788,"up-regulated"
"AT2G44600","SETI_WT.E-SETI_WT.mock",1.92407355379164e-10,3.90896516557593,"up-regulated"
"AT3G54150","SETI_WT.E-SETI_WT.mock",1.92407355379164e-10,5.69355290193807,"up-regulated"
"AT5G25260","SETI_WT.E-SETI_WT.mock",1.92407355379164e-10,4.44891150017504,"up-regulated"
"AT3G25600","SETI_WT.E-SETI_WT.mock",2.02616302502517e-10,2.5040231786777,"up-regulated"
"AT3G55950","SETI_WT.E-SETI_WT.mock",2.09955761541668e-10,4.13331164769251,"up-regulated"
"AT5G01970","SETI_WT.E-SETI_WT.mock",2.09955761541668e-10,2.87327043521305,"up-regulated"
"AT1G30420","SETI_WT.E-SETI_WT.mock",2.21286935314769e-10,3.62832823274718,"up-regulated"
"AT5G47910","SETI_WT.E-SETI_WT.mock",2.21286935314769e-10,3.34518114720754,"up-regulated"
"AT4G34390","SETI_WT.E-SETI_WT.mock",2.27458205182073e-10,4.02152061163985,"up-regulated"
"AT4G09570","SETI_WT.E-SETI_WT.mock",2.33934778026176e-10,2.12432666131691,"up-regulated"
"AT2G41010","SETI_WT.E-SETI_WT.mock",2.48325040894768e-10,3.38904736545214,"up-regulated"
"AT1G63750","SETI_WT.E-SETI_WT.mock",2.49263613906762e-10,3.49199730655647,"up-regulated"
"AT3G21140","SETI_WT.E-SETI_WT.mock",2.49405406079215e-10,1.98927384359599,"up-regulated"
