"target","contrast","adj.pval","log2FC","up.down"
"AT3G52870_P1","SETI_WT.E-SETI_WT.mock",1.20527394419777e-12,2.93606563309957,"up-regulated"
"AT5G41180_P1","SETI_WT.E-SETI_WT.mock",1.59083502004631e-12,3.35851896776887,"up-regulated"
"AT3G45640_P1","SETI_WT.E-SETI_WT.mock",5.16377476834991e-12,3.34599718200848,"up-regulated"
"AT4G11660_P1","SETI_WT.E-SETI_WT.mock",5.16377476834991e-12,2.66004988627707,"up-regulated"
"AT4G23570_P2","SETI_WT.E-SETI_WT.mock",9.69179392551391e-12,3.5404734913409,"up-regulated"
"AT5G27420_c1","SETI_WT.E-SETI_WT.mock",9.69179392551391e-12,4.99606930734203,"up-regulated"
"AT5G58430_P1","SETI_WT.E-SETI_WT.mock",9.88509589369243e-12,3.27525171498987,"up-regulated"
"AT1G21120_P2","SETI_WT.E-SETI_WT.mock",1.22739690348513e-11,5.52921977526063,"up-regulated"
"AT1G16420_P1","SETI_WT.E-SETI_WT.mock",2.11520923147736e-11,5.24285957088491,"up-regulated"
"AT4G18253_P1","SETI_WT.E-SETI_WT.mock",2.11520923147736e-11,4.19856196034153,"up-regulated"
"AT5G01980.1","SETI_WT.E-SETI_WT.mock",3.06857052891742e-11,3.22973784416341,"up-regulated"
"AT4G18250_P1","SETI_WT.E-SETI_WT.mock",3.11450798855286e-11,4.69955855496343,"up-regulated"
"AT1G13110_P1","SETI_WT.E-SETI_WT.mock",3.29012205046416e-11,2.96951595169831,"up-regulated"
"AT5G26920_P1","SETI_WT.E-SETI_WT.mock",3.29012205046416e-11,4.83149582265573,"up-regulated"
"AT5G56340_P1","SETI_WT.E-SETI_WT.mock",3.29012205046416e-11,3.60221607766562,"up-regulated"
"AT3G60415_P1","SETI_WT.E-SETI_WT.mock",3.52828793511559e-11,2.50651636165382,"up-regulated"
"AT5G18470_P1","SETI_WT.E-SETI_WT.mock",4.17711973816175e-11,3.32426751251919,"up-regulated"
"AT4G18880_P1","SETI_WT.E-SETI_WT.mock",5.60122336793228e-11,2.840300824495,"up-regulated"
"AT5G22520_P1","SETI_WT.E-SETI_WT.mock",5.84950571102636e-11,5.44088725362618,"up-regulated"
"AT4G23220.1","SETI_WT.E-SETI_WT.mock",6.36088791471212e-11,2.66731218442148,"up-regulated"
"AT1G24145_P1","SETI_WT.E-SETI_WT.mock",1.01833007453637e-10,3.3663382105127,"up-regulated"
"AT5G60800_P1","SETI_WT.E-SETI_WT.mock",1.01833007453637e-10,4.16799558626424,"up-regulated"
"AT3G48090_P1","SETI_WT.E-SETI_WT.mock",1.16263032355029e-10,3.41289067713234,"up-regulated"
"AT1G11050_P1","SETI_WT.E-SETI_WT.mock",2.60842934048546e-10,2.92444787183536,"up-regulated"
"AT2G40140_P1","SETI_WT.E-SETI_WT.mock",2.60842934048546e-10,3.68211218041565,"up-regulated"
"AT1G67970_P1","SETI_WT.E-SETI_WT.mock",2.68440745604023e-10,1.88790049525584,"up-regulated"
"AT4G04540_P1","SETI_WT.E-SETI_WT.mock",3.07114469214014e-10,5.01923156118801,"up-regulated"
"AT4G12720_JC10","SETI_WT.E-SETI_WT.mock",3.19712267968147e-10,5.29215664251076,"up-regulated"
"AT1G51660.1","SETI_WT.E-SETI_WT.mock",4.76565848864972e-10,3.00513587618304,"up-regulated"
"AT3G50930_P1","SETI_WT.E-SETI_WT.mock",4.76565848864972e-10,4.85872402107131,"up-regulated"
"AT5G66900_P2","SETI_WT.E-SETI_WT.mock",4.76565848864972e-10,2.44599118639454,"up-regulated"
"AT2G41835.1","SETI_WT.E-SETI_WT.mock",5.72645276244903e-10,3.85560882810079,"up-regulated"
"AT4G16860_P1","SETI_WT.E-SETI_WT.mock",5.96384632286732e-10,2.44793323436052,"up-regulated"
"AT5G06560_P1","SETI_WT.E-SETI_WT.mock",6.29907926292302e-10,1.85739524476494,"up-regulated"
"AT3G07720_P1","SETI_WT.E-SETI_WT.mock",6.59788754995683e-10,2.19688055161011,"up-regulated"
"AT1G66090_P1","SETI_WT.E-SETI_WT.mock",7.34619762783041e-10,5.45832331665534,"up-regulated"
"AT5G39670.1","SETI_WT.E-SETI_WT.mock",7.34619762783041e-10,4.21149854414764,"up-regulated"
"AT4G14365_P1","SETI_WT.E-SETI_WT.mock",8.02887335700314e-10,3.6700762482404,"up-regulated"
