"DE_genes","DAS_genes","DE_trans","DTU_trans"
"AT1G51850","AT1G01550","AT2G39200.1","AT1G01550_P1"
"AT4G25350","AT1G01690","AT2G19190.1","AT1G01550_P2"
"AT1G05300","AT1G02100","AT1G51800_P1","AT1G01920_P2"
"AT2G39200","AT1G02280","AT1G05300_P1","AT1G02280_P1"
"AT3G57550","AT1G02350","AT4G30190_P1","AT1G02280_P2"
"AT5G44910","AT1G02520","AT3G57550_P1","AT1G02350_c5"
"AT4G01250","AT1G02990","AT1G51850_P2","AT1G02520_c1"
"AT1G30700","AT1G03000","AT1G65845.1","AT1G02520_P1"
"AT2G17740","AT1G03830","AT4G01700.1","AT1G02990_P6"
"AT4G30190","AT1G04080","AT5G05190_P1","AT1G03830_P2"
"AT1G26420","AT1G04160","AT1G26420_P1","AT1G04080_P1"
"AT4G39640","AT1G04620","AT3G53668.1","AT1G04160_c2"
"AT2G02220","AT1G04700","AT5G26920_P1","AT1G04390_JS4"
"AT4G31550","AT1G04810","AT1G64170_P1","AT1G04620_JC2"
"AT2G03810","AT1G04830","AT2G27660_P1","AT1G04700_P1"
"AT1G64170","AT1G04990","AT5G20050_P1","AT1G04700_P2"
"AT4G04960","AT1G05120","AT3G26500_P1","AT1G04810_c1"
"AT5G05190","AT1G05200","AT5G37600_P1","AT1G04810_P1"
"AT3G46280","AT1G05230","AT2G02220_P1","AT1G04990_P6"
"AT5G20050","AT1G05710","AT5G27420_c1","AT1G04990.1"
"AT5G04860","AT1G05750","AT5G48540.1","AT1G05120_s1"
"AT3G53668","AT1G05900","AT3G04110_P1","AT1G05200_ID1"
"AT4G03460","AT1G06390","AT1G30755.1","AT1G05230_P2"
"AT4G23550","AT1G06820","AT1G53430_s1","AT1G05320.2"
"AT5G44585","AT1G07728","AT4G39640_P1","AT1G05670_P1"
"AT1G30755","AT1G08070","AT1G51790_JC3","AT1G05710_JS2"
"AT4G01750","AT1G08630","AT5G01560.1","AT1G05710_P3"
"AT1G70530","AT1G08710","AT4G25350_P1","AT1G05900_c1"
"AT1G49000","AT1G08970","AT5G44910_P1","AT1G06230_P1"
"AT4G01700","AT1G09140","AT4G04960_P1","AT1G06390_P2"
"AT5G01550","AT1G09195","AT5G04860_P1","AT1G06710_JS4"
"AT5G01560","AT1G09270","AT1G61360.2","AT1G06710_P9"
"AT5G48530","AT1G09710","AT1G25390.1","AT1G06820_P1"
"AT1G53430","AT1G10120","AT1G49000_c1","AT1G07620_JS4"
"AT1G02360","AT1G10130","AT3G06300_P1","AT1G07640_P3"
"AT5G42830","AT1G10740","AT4G18250_P1","AT1G08070_P1"
"AT1G30730","AT1G10890","AT1G56140_P1","AT1G08070_s1"
"AT1G56140","AT1G11090","AT1G51900_P1","AT1G08630_P7"
"AT1G65845","AT1G11100","AT3G19010_P4","AT1G08630.2"
"AT3G06300","AT1G11130","AT5G01550_P1","AT1G08710_ID7"
"AT4G23190","AT1G11300","AT4G01750_P1","AT1G08970.3"
