"Contrast","DEonly","DE&DAS","DASonly"
"SETI_WT.P-SETI_WT.mock",7147,65,45
"SETI_WT.E-SETI_WT.mock",2138,21,45
"SETI_WT.PE-SETI_WT.mock",5899,39,42
"SETI_e.P-SETI_e.mock",9035,123,73
"SETI_e.E-SETI_e.mock",0,0,25
"SETI_e.PE-SETI_e.mock",8842,120,74
"SETI_p.P-SETI_p.mock",8753,98,58
"SETI_p.E-SETI_p.mock",1370,4,25
"SETI_p.PE-SETI_p.mock",8851,109,63
"SETI_s.P-SETI_s.mock",8854,107,64
"SETI_s.E-SETI_s.mock",2929,30,58
"SETI_s.PE-SETI_s.mock",8259,90,64
"SETI_ps.P-SETI_ps.mock",8151,92,61
"SETI_ps.E-SETI_ps.mock",0,0,19
"SETI_ps.PE-SETI_ps.mock",8666,105,50
