"Contrast","DEonly","DE&DTU","DTUonly"
"SETI_WT.P-SETI_WT.mock",8003,91,52
"SETI_WT.E-SETI_WT.mock",2381,43,45
"SETI_WT.PE-SETI_WT.mock",6240,72,42
"SETI_e.P-SETI_e.mock",10903,166,77
"SETI_e.E-SETI_e.mock",2,2,14
"SETI_e.PE-SETI_e.mock",10539,185,96
"SETI_p.P-SETI_p.mock",10233,135,77
"SETI_p.E-SETI_p.mock",1289,15,23
"SETI_p.PE-SETI_p.mock",10352,145,99
"SETI_s.P-SETI_s.mock",10441,136,64
"SETI_s.E-SETI_s.mock",3024,65,61
"SETI_s.PE-SETI_s.mock",9481,148,92
"SETI_ps.P-SETI_ps.mock",9417,116,73
"SETI_ps.E-SETI_ps.mock",2,0,14
"SETI_ps.PE-SETI_ps.mock",10105,137,80
