"contrast","iso1","iso2","iso1.mean.ratio","iso2.mean.ratio","Condition1(x=1)","Condition2(x=2)","before.interval","after.interval","x.value","y.value","before.prob","after.prob","before.diff","after.diff","before.pval","after.pval","before.FDR","after.FDR","before.t.points","after.t.points","prob","diff","cor","numeric.coordinates"
"SETI_WT.P-SETI_WT.mock","AT5G63370_c2","AT5G63370_c4",0.100023907236121,0.065260264040516,"SETI_WT.mock","SETI_WT.P","[1,1.3916]","(1.3916,2]",1.39155350996951,2.14210363334233,1,1,-3.43254666666667,5.333935,0.00729373812466456,0.00618529558973045,0.00729373812466456,0.00729373812466456,1,1,1,8.76648166666667,-0.966689779541111,NA
"SETI_WT.P-SETI_WT.mock","AT4G23910.2","AT4G23910_ID5",0.0958903240622149,0.123972770669063,"SETI_WT.mock","SETI_WT.P","[1,1.5639]","(1.5639,2]",1.5638634843223,2.49457133713127,1,1,-5.719703,4.42406966666667,0.00655328534906208,0.00561723307289598,0.00655328534906208,0.00655328534906208,1,1,1,10.1437726666667,-0.97602434433633,NA
"SETI_WT.P-SETI_WT.mock","AT4G23910.2","AT4G23910_ID12",0.0958903240622149,0.101759735302946,"SETI_WT.mock","SETI_WT.P","[1,1.5246]","(1.5246,2]",1.52463953787085,2.32104186542846,1,1,-2.88297033333333,2.61217466666667,0.00112451072812599,0.00351164042531334,0.00224902145625198,0.00351164042531334,1,1,1,5.495145,-0.778830751212731,NA
"SETI_WT.P-SETI_WT.mock","AT3G12915_JS1","AT3G12915_JS3",0.187845050440478,0.776648441924757,"SETI_WT.mock","SETI_WT.P","[1,1.8052]","(1.8052,2]",1.80523969116699,0.449568272124067,1,1,-2.30831566666667,0.558303666666667,0.00249843255157989,0.00774613587268682,0.00499686510315978,0.00774613587268682,1,1,1,2.86661933333333,-0.979783001613509,NA
"SETI_WT.P-SETI_e.mock","AT3G46530_JC2","AT3G46530_P1",0.448495638678831,0.551504361321169,"SETI_e.mock","SETI_WT.P","[1,1.4475]","(1.4475,2]",1.44746680605061,12.665177890214,1,1,22.5150306666667,-27.8016193333333,0.000955481930469175,0.00287724455560871,0.00191096386093835,0.00287724455560871,1,1,1,50.31665,-0.994398652188749,NA
"SETI_WT.P-SETI_e.mock","AT3G01980_P1","AT3G01980_P2",0.328459380405153,0.198027531453208,"SETI_e.mock","SETI_WT.P","[1,1.6248]","(1.6248,2]",1.62475932551651,3.58266212284424,1,1,9.49309133333333,-5.701706,0.00442621982878786,0.0043660723827078,0.00442621982878786,0.00442621982878786,1,1,1,15.1947973333333,-0.979045593021729,NA
"SETI_WT.P-SETI_e.mock","AT3G01980_ID4","AT3G01980_P1",0.0548642912723644,0.328459380405153,"SETI_e.mock","SETI_WT.P","[1,1.8569]","(1.8569,2]",1.85687215445823,1.36653285695275,1,1,-9.547638,1.594792,0.00497883579969324,0.0098391684557854,0.0098391684557854,0.0098391684557854,1,1,1,11.14243,-0.970914138464636,NA
"SETI_WT.P-SETI_e.mock","AT2G41060_JC1","AT2G41060_c4",0.0573005023671572,0.0894441636680069,"SETI_e.mock","SETI_WT.P","[1,1.3728]","(1.3728,2]",1.37281795109322,0.682238458148346,1,1,0.963881666666667,-1.62151333333333,0.0074722547067702,0.00420630673250985,0.0074722547067702,0.0074722547067702,1,1,1,2.585395,-0.770680939574017,NA
"SETI_e.P-SETI_e.mock","AT3G01980_P1","AT3G01980_P2",0.372157272111098,0.163286828888035,"SETI_e.mock","SETI_e.P","[1,1.6966]","(1.6966,2]",1.69660550258996,2.89670083246304,1,1,9.49309133333333,-4.134552,0.00442621982878786,0.00770572452140739,0.00770572452140739,0.00770572452140739,1,1,1,13.6276433333333,-0.971360440489552,NA
"SETI_e.E-SETI_e.mock","AT2G39920_ID16","AT2G39920_ID8",0.0598301260694144,0.164012785854958,"SETI_e.mock","SETI_e.E","[1,1.7741]","(1.7741,2]",1.77413307005108,2.68496030377401,1,1,-10.661717,3.11074333333333,0.00118488070596652,0.000893015442076696,0.00118488070596652,0.00118488070596652,1,1,1,13.7724603333333,-0.992277332017197,NA
"SETI_e.E-SETI_e.mock","AT2G39920.2","AT2G39920_ID8",0.218922334819318,0.164012785854958,"SETI_e.mock","SETI_e.E","[1,1.4168]","(1.4168,2]",1.41683954440601,6.93223516322071,1,1,-9.97418566666667,13.953932,0.0043129041351277,0.00603475074979179,0.00603475074979179,0.00603475074979179,1,1,1,23.9281176666667,-0.958032353027949,NA
"SETI_e.E-SETI_e.mock","AT1G20490_JC13","AT1G20490_JS2",0.375263767548921,0.414617803097256,"SETI_e.mock","SETI_e.E","[1,1.4718]","(1.4718,2]",1.47176676122588,1.57584266977839,1,1,2.64888733333333,-2.96593666666667,0.00115203811181724,0.00678977630848516,0.00230407622363448,0.00678977630848516,1,1,1,5.614824,-0.892421236681084,NA
"SETI_p.P-SETI_p.mock","AT3G01980_P2","AT3G01980_P4",0.201472054951163,0.267797672777622,"SETI_p.mock","SETI_p.P","[1,1.5729]","(1.5729,2]",1.57293091123482,3.67448734996113,1,1,-8.37015966666667,6.23921033333333,0.00568574307151839,0.00983103800825625,0.00983103800825625,0.00983103800825625,1,1,1,14.60937,-0.950388297644692,NA
"SETI_p.P-SETI_p.mock","AT3G01980_P1","AT3G01980_P2",0.255467983646222,0.201472054951163,"SETI_p.mock","SETI_p.P","[1,1.561]","(1.561,2]",1.56102811035058,3.6030062060493,1,1,7.974024,-6.23921033333333,0.000773319837752159,0.00983103800825625,0.00154663967550432,0.00983103800825625,1,1,1,14.2132343333333,-0.976066340994162,NA
"SETI_p.P-SETI_p.mock","AT2G20950_P4","AT2G20950_P5",0.133557267249201,0.0537431004699296,"SETI_p.mock","SETI_p.P","[1,1.8015]","(1.8015,2]",1.80152018844478,1.15087634433109,1,1,2.92595933333333,-0.724553,0.00670276944941129,0.000590216337237722,0.00670276944941129,0.00118043267447544,1,1,1,3.65051233333333,-0.233673300332444,NA
