"Clusters","Targets"
"1","AT1G75750"
"1","AT1G16850"
"1","AT5G41400"
"1","AT1G55265"
"1","AT1G78100"
"1","AT1G49740"
"1","AT1G79520"
"1","AT3G49220"
"1","AT5G27930"
"1","AT5G20270"
"1","AT5G15860"
"1","AT3G21670"
"1","AT2G33480"
"1","AT5G15960"
"1","AT3G02510"
"1","AT3G02570"
"1","AT1G64970"
"1","AT4G17550"
"1","AT1G22350"
"1","AT3G55940"
"1","AT1G33490"
"1","AT1G73680"
"1","AT5G65380"
"1","AT4G21910"
"1","AT3G57930"
"1","AT3G15790"
"1","AT2G44830"
"1","AT5G16990"
"1","AT3G14690"
"1","AT2G16280"
"1","AT3G20300"
"1","AT5G50100"
"1","AT1G02350"
"1","AT5G25110"
"1","AT2G29970"
"1","AT4G16141"
"1","AT2G41190"
"1","AT2G40435"
"1","AT2G39010"
"1","AT1G12240"
"1","AT4G23600"
"1","AT1G51090"
"1","AT5G27150"
"1","AT2G20340"
"1","AT1G50940"
"1","AT5G53280"
"1","AT1G52000"
"1","AT2G40080"
"1","AT4G12290"
"1","AT1G53460"
"1","AT5G16560"
"1","AT5G44190"
"1","AT3G11660"
"1","AT2G43530"
"1","AT2G39020"
"1","AT5G15850"
"1","AT1G46768"
"1","AT3G14810"
"1","AT1G07250"
"1","AT5G54240"
"1","AT5G58670"
"1","AT4G00440"
"1","AT2G37580"
"1","AT3G57540"
"1","AT4G34650"
"1","AT1G01620"
"1","AT4G27520"
"1","AT4G01080"
"1","AT4G33950"
"1","AT5G57340"
"1","AT1G68530"
"1","AT2G34200"
"1","AT1G66350"
"1","AT3G62800"
"1","AT4G35550"
"1","AT1G79260"
"1","AT3G59580"
"1","AT4G16563"
"1","AT1G50280"
"1","AT3G20100"
"1","AT1G21790"
"1","AT4G15490"
"1","AT3G18040"
"1","AT4G18280"
"1","AT3G03990"
"1","AT5G65470"
"1","AT3G10760"
"1","AT5G14390"
"1","AT2G41540"
"1","AT5G67160"
"1","AT1G73390"
"1","AT2G47440"
"1","AT3G53420"
"1","AT1G30490"
"1","AT1G14340"
"1","AT1G64670"
"1","AT5G47560"
"1","AT1G68550"
"1","AT1G35560"
"1","AT4G24220"
"1","AT1G30130"
"1","AT1G22500"
"1","AT1G51440"
"1","AT4G04020"
"1","AT5G62470"
"1","AT5G13050"
"1","AT1G54290"
"1","AT1G64950"
"1","AT2G04110"
"1","AT5G57800"
"1","AT5G64620"
"1","AT2G15020"
"1","AT3G09770"
"1","AT5G59030"
"1","AT3G26290"
"1","AT5G65390"
