"";"Genes"
"1";"AT1G72920"
"2";"AT1G17340"
"3";"AT1G03495"
"4";"AT1G30190"
"5";"AT1G32530"
"6";"AT2G38790"
"7";"AT4G23310"
"8";"AT2G26190"
"9";"AT4G00700"
"10";"AT4G05030"
"11";"AT2G21790"
"12";"AT1G67050"
"13";"AT1G33800"
"14";"AT4G32460"
"15";"AT5G38344"
"16";"AT2G48010"
"17";"AT5G55460"
"18";"AT1G30040"
"19";"AT3G02340"
"20";"AT4G36550"
"21";"AT3G23230"
"22";"AT2G01029"
"23";"AT1G17750"
"24";"AT5G52730"
"25";"AT4G14970"
"26";"AT3G20040"
"27";"AT2G27310"
"28";"AT4G14680"
"29";"AT1G05783"
"30";"AT1G19250"
"31";"AT4G21850"
"32";"AT5G18290"
"33";"AT5G57150"
"34";"AT1G61470"
"35";"AT4G04655"
"36";"AT1G76650"
"37";"AT3G01430"
"38";"AT2G04500"
"39";"AT4G09300"
"40";"AT4G01110"
"41";"AT3G19030"
"42";"AT5G01370"
"43";"AT2G44578"
"44";"AT5G24910"
"45";"AT1G17590"
"46";"AT5G56870"
"47";"AT3G14460"
"48";"AT5G24540"
"49";"AT1G16220"
"50";"AT4G37670"
"51";"AT2G33090"
"52";"AT1G04280"
