"";"Genes"
"1";"AT1G72240"
"2";"AT5G01970"
"3";"AT1G14480"
"4";"AT5G04550"
"5";"AT5G61510"
"6";"AT3G58490"
"7";"AT2G45910"
"8";"AT3G07720"
"9";"AT5G50140"
"10";"AT3G60420"
"11";"AT1G17610"
"12";"AT3G60415"
"13";"AT5G46490"
"14";"AT1G66250"
"15";"AT5G26170"
"16";"AT1G72940"
"17";"AT3G02770"
"18";"AT3G16030"
"19";"AT5G63225"
"20";"AT5G43910"
"21";"AT3G50800"
"22";"AT2G36470"
"23";"AT2G25190"
"24";"AT3G16050"
"25";"AT3G10820"
"26";"AT3G10540"
"27";"AT1G73130"
"28";"AT3G46600"
"29";"AT1G17500"
"30";"AT1G21520"
"31";"AT3G60470"
"32";"AT1G78200"
"33";"AT5G08660"
"34";"AT1G33730"
"35";"AT1G64710"
"36";"AT3G46510"
"37";"AT2G44180"
"38";"AT5G48570"
"39";"AT5G39040"
"40";"AT5G41610"
"41";"AT2G03530"
"42";"AT3G12360"
"43";"AT1G71170"
"44";"AT4G12690"
"45";"AT5G12940"
"46";"AT2G44290"
"47";"AT4G30880"
"48";"AT3G22400"
"49";"AT3G12200"
"50";"AT4G19510"
"51";"AT1G30100"
"52";"AT3G56440"
"53";"AT5G53830"
"54";"AT5G52720"
"55";"AT2G34610"
"56";"AT2G18660"
"57";"AT5G19260"
"58";"AT3G18295"
"59";"AT1G03770"
"60";"AT3G17690"
"61";"AT4G16880"
"62";"AT5G58787"
"63";"AT3G17205"
"64";"AT5G05410"
"65";"AT3G25510"
"66";"AT1G76620"
"67";"AT5G11030"
"68";"AT5G23490"
"69";"AT2G41890"
"70";"AT5G07165"
"71";"AT2G26240"
"72";"AT4G25940"
"73";"AT5G10380"
"74";"AT2G43680"
"75";"AT1G32340"
"76";"AT4G12740"
"77";"AT1G01690"
"78";"AT4G19925"
"79";"AT4G38530"
"80";"AT3G47250"
"81";"AT5G04160"
"82";"AT4G17660"
"83";"AT5G62770"
"84";"AT5G26690"
"85";"AT1G34420"
"86";"AT5G47130"
"87";"AT1G26270"
"88";"AT3G03010"
"89";"AT1G32150"
"90";"AT1G04290"
"91";"AT3G56740"
"92";"AT2G25737"
"93";"AT3G28940"
"94";"AT4G04500"
"95";"AT4G13820"
"96";"AT3G10400"
"97";"AT3G44150"
"98";"AT5G41280"
"99";"AT5G65630"
"100";"AT1G72890"
"101";"AT3G60966"
"102";"AT1G19970"
"103";"AT4G36520"
"104";"AT1G52315"
"105";"AT1G69840"
"106";"AT1G17615"
"107";"AT1G31290"
"108";"AT5G56950"
"109";"AT2G28590"
"110";"AT3G54270"
"111";"AT1G56150"
"112";"AT5G51740"
"113";"AT3G44260"
"114";"AT1G72900"
"115";"AT4G14960"
"116";"AT4G23250"
"117";"AT5G57970"
"118";"AT5G21090"
"119";"AT3G18370"
"120";"AT5G40880"
"121";"AT1G62200"
"122";"AT5G61430"
"123";"AT2G04450"
"124";"AT5G17690"
"125";"AT1G61150"
"126";"AT3G25010"
"127";"AT4G18205"
"128";"AT5G22545"
"129";"AT1G56440"
"130";"AT1G24190"
"131";"AT3G52470"
"132";"AT3G50950"
"133";"AT5G62540"
"134";"AT3G45638"
"135";"AT5G52810"
"136";"AT2G13810"
"137";"AT5G15790"
"138";"AT5G26180"
"139";"AT4G18197"
"140";"AT5G67140"
"141";"AT5G22380"
"142";"AT1G71690"
"143";"AT1G17330"
"144";"AT1G53801"
"145";"AT2G17040"
"146";"AT3G60450"
"147";"AT4G29810"
"148";"AT5G57140"
"149";"AT1G23840"
"150";"AT1G43910"
"151";"AT1G74440"
"152";"AT4G00940"
"153";"AT2G30070"
"154";"AT3G04230"
"155";"AT5G61600"
"156";"AT3G57950"
"157";"AT5G39680"
"158";"AT3G47530"
"159";"AT1G41797"
"160";"AT5G65205"
"161";"AT3G24900"
"162";"AT4G02220"
"163";"AT3G46520"
"164";"AT1G55610"
"165";"AT3G23280"
"166";"AT5G55420"
"167";"AT4G11340"
"168";"AT1G11000"
"169";"AT3G55390"
"170";"AT3G20180"
"171";"AT2G32150"
"172";"AT1G62935"
"173";"AT5G49630"
"174";"AT1G26800"
"175";"AT4G30340"
"176";"AT1G67000"
"177";"AT4G24200"
"178";"AT1G33970"
"179";"AT1G21525"
"180";"AT4G26060"
"181";"AT2G17120"
"182";"AT2G15040"
"183";"AT5G04560"
"184";"AT4G34040"
"185";"AT4G36140"
"186";"AT2G46240"
"187";"AT5G55450"
"188";"AT3G26840"
"189";"AT2G31880"
"190";"AT3G09870"
"191";"AT5G09590"
"192";"AT1G64080"
"193";"AT2G42890"
"194";"AT1G08450"
"195";"AT4G18140"
"196";"AT3G46530"
"197";"AT1G77360"
"198";"AT5G46510"
"199";"AT1G69210"
"200";"AT2G05320"
"201";"AT1G01440"
"202";"AT5G59890"
"203";"AT4G13000"
"204";"AT4G00760"
"205";"AT1G35510"
"206";"AT5G13810"
"207";"AT5G06810"
"208";"AT5G59000"
"209";"AT3G11040"
"210";"AT1G16520"
"211";"AT5G27830"
"212";"AT1G13310"
"213";"AT1G06000"
"214";"AT5G40720"
"215";"AT3G60520"
"216";"AT1G34200"
"217";"AT2G27200"
"218";"AT4G27745"
"219";"AT1G33475"
"220";"AT2G31230"
"221";"AT4G26070"
"222";"AT1G58300"
"223";"AT5G28120"
"224";"AT4G11655"
"225";"AT1G01695"
"226";"AT5G49570"
"227";"AT1G16825"
"228";"AT5G56580"
"229";"AT1G75440"
"230";"AT4G11840"
"231";"AT2G26170"
"232";"AT4G03420"
"233";"AT4G39020"
"234";"AT4G20880"
"235";"AT2G24165"
"236";"AT3G13090"
"237";"AT5G21070"
"238";"AT2G19570"
"239";"AT3G03360"
"240";"AT5G24200"
"241";"AT2G38800"
"242";"AT5G43650"
"243";"AT1G33560"
"244";"AT5G62430"
"245";"AT1G35710"
"246";"AT1G04490"
"247";"AT2G25440"
"248";"AT5G47830"
"249";"AT3G44350"
"250";"AT5G54700"
"251";"AT1G67360"
"252";"AT5G44570"
"253";"AT4G35590"
"254";"AT3G60120"
"255";"AT4G23230"
"256";"AT3G53065"
"257";"AT4G21840"
"258";"AT5G54930"
"259";"AT1G63380"
"260";"AT2G46430"
"261";"AT5G46230"
"262";"AT5G59190"
"263";"AT3G59520"
"264";"AT5G43155"
"265";"AT4G19660"
"266";"AT3G54120"
"267";"AT5G02970"
"268";"AT5G18780"
"269";"AT3G06740"
"270";"AT3G08990"
"271";"AT5G38280"
"272";"AT5G44460"
"273";"AT1G19300"
"274";"AT3G23010"
"275";"AT4G23160"
"276";"AT5G66658"
"277";"AT1G04970"
"278";"AT3G02160"
"279";"AT2G44840"
"280";"AT3G26690"
"281";"AT1G72910"
"282";"AT2G24160"
"283";"AT3G07700"
"284";"AT1G47530"
"285";"AT5G66130"
"286";"AT2G04780"
"287";"AT2G32680"
"288";"AT3G47570"
"289";"AT2G21550"
"290";"AT5G61190"
"291";"AT1G77660"
"292";"AT2G18650"
"293";"AT4G08210"
"294";"AT3G59150"
"295";"AT3G23120"
"296";"AT4G21740"
"297";"AT3G04210"
"298";"AT5G64800"
"299";"AT4G23180"
"300";"AT5G14420"
"301";"AT5G24210"
"302";"AT1G12320"
"303";"AT1G11300"
"304";"AT3G05550"
"305";"AT1G12880"
"306";"AT1G02450"
"307";"AT3G50760"
"308";"AT2G26400"
"309";"AT2G32880"
"310";"AT5G67245"
"311";"AT1G71000"
"312";"AT1G14040"
"313";"AT3G26480"
"314";"AT5G15480"
"315";"AT5G66300"
"316";"AT1G67630"
"317";"AT5G59570"
"318";"AT4G16920"
"319";"AT5G36930"
"320";"AT5G57910"
"321";"AT1G61460"
"322";"AT3G22910"
"323";"AT1G30070"
"324";"AT1G15170"
"325";"AT3G55880"
"326";"AT2G21780"
"327";"AT3G33189"
"328";"AT5G45340"
"329";"AT1G11303"
"330";"AT1G77000"
"331";"AT3G47230"
"332";"AT1G08500"
"333";"AT4G26270"
"334";"AT1G78190"
"335";"AT3G09490"
"336";"AT4G15200"
