"";"Genes"
"1";"AT1G69340"
"2";"AT1G65220"
"3";"AT4G24520"
"4";"AT5G53000"
"5";"AT2G35610"
"6";"AT1G24560"
"7";"AT4G28260"
"8";"AT5G50565"
"9";"AT5G64440"
"10";"AT1G06210"
"11";"AT5G60570"
"12";"AT5G51400"
"13";"AT1G04750"
"14";"AT5G35430"
"15";"AT5G39990"
"16";"AT5G52240"
"17";"AT1G56590"
"18";"AT3G16940"
"19";"AT1G60780"
"20";"AT1G47830"
"21";"AT2G38840"
"22";"AT3G60600"
"23";"AT1G07230"
"24";"AT1G56423"
"25";"AT2G37130"
"26";"AT5G64600"
"27";"AT2G17130"
"28";"AT2G28540"
"29";"AT4G30360"
"30";"AT1G65930"
"31";"AT5G22360"
"32";"AT1G17890"
"33";"AT1G09330"
"34";"AT5G11200"
"35";"AT5G64070"
"36";"AT5G48160"
"37";"AT4G11240"
"38";"AT1G48790"
"39";"AT4G21810"
"40";"AT1G59650"
"41";"AT1G63290"
"42";"AT5G52040"
"43";"AT5G38560"
"44";"AT1G76940"
"45";"AT2G45070"
"46";"AT5G38600"
"47";"AT1G09780"
"48";"AT1G30300"
"49";"AT5G46750"
"50";"AT1G11060"
"51";"AT3G04780"
"52";"AT3G63400"
"53";"AT5G10190"
"54";"AT5G12230"
"55";"AT5G52210"
"56";"AT1G25280"
"57";"AT5G19050"
"58";"AT2G42160"
"59";"AT2G39550"
"60";"AT2G28360"
"61";"AT3G06940"
"62";"AT4G21180"
"63";"AT1G54320"
"64";"AT4G28370"
"65";"AT2G44430"
"66";"AT2G31305"
"67";"AT1G68580"
"68";"AT2G25520"
"69";"AT4G17420"
"70";"AT3G53710"
"71";"AT2G20370"
"72";"AT3G09100"
"73";"AT1G06770"
"74";"AT3G27610"
"75";"AT2G33390"
"76";"AT1G09060"
"77";"AT3G10730"
"78";"AT1G24460"
"79";"AT4G34412"
"80";"AT5G28740"
"81";"AT2G16430"
"82";"AT5G35730"
"83";"AT5G10110"
"84";"AT4G31490"
"85";"AT5G51710"
"86";"AT2G46720"
"87";"AT2G02800"
"88";"AT4G16100"
"89";"AT4G11440"
"90";"AT2G02360"
"91";"AT1G64040"
"92";"AT5G50380"
"93";"AT5G18280"
"94";"AT5G19930"
"95";"AT1G61620"
"96";"AT3G12480"
"97";"AT5G18620"
"98";"AT1G65720"
"99";"AT4G11800"
"100";"AT1G70770"
"101";"AT5G19690"
"102";"AT1G34190"
"103";"AT1G62480"
"104";"AT4G20480"
"105";"AT5G57710"
"106";"AT2G32920"
"107";"AT1G30890"
"108";"AT3G48860"
"109";"AT1G09320"
"110";"AT3G20170"
"111";"AT3G24050"
"112";"AT5G26667"
"113";"AT3G63390"
"114";"AT3G07810"
"115";"AT3G05420"
"116";"AT1G01730"
"117";"AT4G32140"
"118";"AT1G56330"
"119";"AT1G11480"
"120";"AT4G39220"
"121";"AT3G03110"
"122";"AT3G15355"
"123";"AT2G44360"
"124";"AT2G46900"
"125";"AT1G09815"
"126";"AT2G47350"
"127";"AT4G02030"
"128";"AT1G45233"
"129";"AT4G12780"
"130";"AT5G08630"
"131";"AT2G20770"
"132";"AT5G01800"
"133";"AT5G42360"
"134";"AT1G77140"
"135";"AT5G51430"
"136";"AT5G26990"
"137";"AT1G47710"
"138";"AT4G23460"
"139";"AT5G56190"
"140";"AT3G05280"
"141";"AT2G01930"
"142";"AT5G37720"
"143";"AT1G31355"
"144";"AT5G16510"
"145";"AT5G57460"
"146";"AT4G19600"
"147";"AT1G69960"
"148";"AT5G08200"
"149";"AT4G11820"
"150";"AT3G17900"
"151";"AT1G02000"
"152";"AT4G24840"
"153";"AT2G21390"
"154";"AT3G57340"
"155";"AT5G20010"
"156";"AT1G51740"
"157";"AT2G03450"
"158";"AT1G33050"
"159";"AT3G58510"
"160";"AT4G39990"
"161";"AT2G35340"
"162";"AT3G08880"
"163";"AT5G57015"
"164";"AT3G13224"
"165";"AT5G23090"
"166";"AT1G26690"
"167";"AT1G69410"
"168";"AT2G02970"
"169";"AT5G25890"
"170";"AT1G65385"
"171";"AT5G19000"
"172";"AT3G03740"
"173";"AT4G16280"
"174";"AT1G61690"
"175";"AT3G01410"
"176";"AT1G73450"
"177";"AT2G27150"
"178";"AT5G51620"
"179";"AT5G17250"
"180";"AT3G45090"
"181";"AT1G30690"
"182";"AT5G09890"
"183";"AT4G08510"
"184";"AT1G54115"
"185";"AT1G09160"
"186";"AT5G64640"
"187";"AT1G48490"
"188";"AT3G07790"
"189";"AT5G64930"
"190";"AT1G79550"
"191";"AT3G23660"
"192";"AT1G44120"
"193";"AT1G01950"
"194";"AT1G52360"
"195";"AT1G10865"
"196";"AT4G27960"
"197";"AT4G38200"
"198";"AT5G02040"
"199";"AT1G79930"
"200";"AT4G19490"
"201";"AT5G65290"
"202";"AT4G17260"
"203";"AT4G30260"
"204";"AT4G25515"
"205";"AT5G43900"
"206";"AT2G40360"
"207";"AT5G14520"
"208";"AT4G21560"
"209";"AT3G04080"
"210";"AT1G14890"
"211";"AT5G20950"
"212";"AT1G14670"
"213";"AT5G65770"
"214";"AT1G71940"
"215";"AT3G11440"
"216";"AT5G07350"
"217";"AT5G08190"
"218";"AT3G01640"
"219";"AT1G63180"
"220";"AT4G16355"
"221";"AT4G34135"
"222";"AT5G18360"
"223";"AT1G20110"
"224";"AT5G57990"
"225";"AT1G09210"
"226";"AT5G44150"
"227";"AT1G47870"
"228";"AT1G11390"
"229";"AT4G35230"
"230";"AT5G66010"
"231";"AT1G33615"
"232";"AT2G19460"
"233";"AT5G58150"
"234";"AT4G13940"
"235";"AT1G53310"
"236";"AT2G31955"
"237";"AT5G10260"
"238";"AT5G66410"
"239";"AT1G75810"
"240";"AT4G08960"
"241";"AT3G13310"
"242";"AT3G30380"
"243";"AT1G18850"
"244";"AT4G24370"
"245";"AT4G19640"
"246";"AT1G61210"
"247";"AT3G57690"
"248";"AT1G04930"
"249";"AT2G43490"
"250";"AT1G18740"
"251";"AT2G18220"
"252";"AT1G75990"
"253";"AT1G31885"
"254";"AT2G25430"
"255";"AT3G07160"
"256";"AT2G37250"
"257";"AT5G15750"
"258";"AT5G20600"
"259";"AT2G30580"
"260";"AT4G39920"
"261";"AT1G67460"
"262";"AT1G18910"
"263";"AT3G55410"
"264";"AT1G71360"
"265";"AT3G51790"
"266";"AT3G02400"
"267";"AT3G03020"
"268";"AT5G21990"
"269";"AT2G37975"
"270";"AT3G02190"
"271";"AT2G27490"
"272";"AT5G57060"
"273";"AT4G39050"
"274";"AT2G01640"
"275";"AT1G62020"
"276";"AT5G42350"
"277";"AT1G63160"
"278";"AT2G22690"
"279";"AT3G61810"
"280";"AT2G36850"
"281";"AT2G47880"
"282";"AT3G13230"
"283";"AT4G35170"
"284";"AT2G16050"
"285";"AT4G25672"
"286";"AT2G25650"
"287";"AT3G01780"
"288";"AT4G07820"
"289";"AT1G67570"
"290";"AT4G28340"
"291";"AT1G21390"
"292";"AT1G64563"
"293";"AT2G34960"
"294";"AT4G25640"
"295";"AT3G48210"
"296";"AT3G12700"
"297";"AT5G66540"
"298";"AT4G19006"
"299";"AT1G18200"
"300";"AT3G59290"
"301";"AT5G57000"
"302";"AT4G19880"
"303";"AT1G65520"
"304";"AT1G05760"
"305";"AT5G59070"
"306";"AT3G03030"
"307";"AT5G66690"
"308";"AT5G59680"
"309";"AT4G31790"
"310";"AT4G02880"
"311";"AT5G06570"
"312";"AT1G23730"
"313";"AT1G53920"
"314";"AT5G18810"
"315";"AT3G09270"
"316";"AT3G13940"
"317";"AT3G15352"
"318";"AT5G46250"
"319";"AT5G13150"
"320";"AT5G37770"
"321";"AT1G12500"
"322";"AT5G07740"
"323";"AT2G40160"
"324";"AT2G31340"
"325";"AT1G78770"
