"";"Genes"
"1";"AT4G25350"
"2";"AT1G05300"
"3";"AT2G39200"
"4";"AT4G01250"
"5";"AT2G17740"
"6";"AT4G30190"
"7";"AT2G03810"
"8";"AT1G64170"
"9";"AT3G46280"
"10";"AT5G20050"
"11";"AT5G04860"
"12";"AT4G03460"
"13";"AT4G23550"
"14";"AT5G01560"
"15";"AT1G30730"
"16";"AT3G52450"
"17";"AT1G51820"
"18";"AT4G24240"
"19";"AT1G30720"
"20";"AT4G23300"
"21";"AT2G44370"
"22";"AT1G17860"
"23";"AT1G74030"
"24";"AT2G28930"
"25";"AT2G43630"
"26";"AT5G27430"
"27";"AT5G20960"
"28";"AT1G12580"
"29";"AT4G20460"
"30";"AT5G03700"
"31";"AT1G80460"
"32";"AT4G01860"
"33";"AT4G15417"
"34";"AT5G18150"
"35";"AT1G29750"
"36";"AT3G27390"
"37";"AT4G01720"
"38";"AT5G37600"
"39";"AT5G47100"
"40";"AT5G39580"
"41";"AT1G21010"
"42";"AT1G29310"
"43";"AT4G12500"
"44";"AT1G02120"
"45";"AT3G22750"
"46";"AT2G36950"
"47";"AT5G53560"
"48";"AT3G05990"
"49";"AT1G70140"
"50";"AT3G07680"
"51";"AT3G52190"
"52";"AT4G19810"
"53";"AT5G01610"
"54";"AT3G51340"
"55";"AT4G21410"
"56";"AT3G47380"
"57";"AT4G02075"
"58";"AT2G35910"
"59";"AT2G24180"
"60";"AT1G55970"
"61";"AT4G39940"
"62";"AT5G44390"
"63";"AT3G53720"
"64";"AT2G40180"
"65";"AT3G09520"
"66";"AT1G51860"
"67";"AT2G42360"
"68";"AT5G58720"
"69";"AT3G18560"
"70";"AT5G60270"
"71";"AT5G44370"
"72";"AT5G64090"
"73";"AT3G24840"
"74";"AT4G12230"
"75";"AT5G63570"
"76";"AT5G44290"
"77";"AT1G61780"
"78";"AT1G63500"
"79";"AT5G47870"
"80";"AT2G38870"
"81";"AT1G53380"
"82";"AT2G01670"
"83";"AT4G20850"
"84";"AT5G24230"
"85";"AT2G39380"
"86";"AT4G39270"
"87";"AT2G44660"
"88";"AT2G22250"
"89";"AT3G52930"
"90";"AT4G32650"
"91";"AT5G01830"
"92";"AT2G02730"
"93";"AT5G05570"
"94";"AT1G61550"
"95";"AT5G11140"
"96";"AT1G15880"
"97";"AT5G62460"
"98";"AT2G47550"
"99";"AT3G51980"
"100";"AT4G11080"
"101";"AT1G13580"
"102";"AT1G66830"
"103";"AT5G60710"
"104";"AT2G03120"
"105";"AT5G43060"
"106";"AT5G60410"
"107";"AT1G16110"
"108";"AT4G30160"
"109";"AT5G48430"
"110";"AT1G10890"
"111";"AT1G07670"
"112";"AT5G12420"
"113";"AT5G58375"
"114";"AT5G62600"
"115";"AT2G36690"
"116";"AT4G04450"
"117";"AT1G21900"
"118";"AT5G17890"
"119";"AT2G25850"
"120";"AT5G55100"
"121";"AT2G36210"
