"";"Genes"
"1";"AT1G08510"
"2";"AT2G17870"
"3";"AT2G03820"
"4";"AT1G10740"
"5";"AT3G23123"
"6";"AT2G15220"
"7";"AT2G43150"
"8";"AT3G07280"
"9";"AT3G27190"
"10";"AT2G17750"
"11";"AT1G25275"
"12";"AT5G02560"
"13";"AT1G76610"
"14";"AT2G34580"
"15";"AT5G46360"
"16";"AT2G40620"
"17";"AT1G10220"
"18";"AT3G53590"
"19";"AT1G12520"
"20";"AT2G20950"
"21";"ATCG00190"
"22";"AT1G80150"
"23";"AT1G18830"
"24";"AT4G28940"
"25";"AT3G51680"
"26";"AT3G50850"
"27";"AT1G05370"
"28";"AT3G16660"
"29";"AT3G07273"
"30";"AT3G50200"
"31";"AT5G28626"
"32";"AT2G11880"
"33";"AT5G40990"
"34";"AT3G52390"
"35";"AT2G36420"
"36";"AT5G54970"
"37";"AT1G06850"
"38";"AT1G76760"
"39";"AT1G56242"
"40";"AT5G64401"
"41";"AT4G01895"
"42";"AT1G05820"
"43";"AT1G59950"
"44";"AT5G56230"
"45";"AT2G26410"
"46";"AT5G44980"
"47";"AT5G22140"
"48";"AT3G04770"
"49";"AT3G01680"
"50";"AT3G21781"
"51";"AT1G02970"
"52";"AT5G06730"
"53";"AT1G61820"
"54";"AT5G53290"
"55";"AT5G52400"
"56";"AT1G54890"
"57";"AT4G18630"
"58";"AT5G36000"
"59";"AT1G67650"
"60";"AT5G07460"
"61";"AT5G40510"
"62";"AT1G71390"
"63";"AT1G09480"
"64";"AT1G63400"
"65";"AT1G26390"
"66";"AT2G05240"
"67";"AT5G38820"
"68";"AT4G03490"
"69";"AT5G64110"
"70";"AT1G14185"
"71";"AT3G43250"
"72";"AT4G30530"
