"";"Genes"
"1";"AT5G04720"
"2";"AT3G13080"
"3";"AT5G62620"
"4";"AT2G36670"
"5";"AT5G64000"
"6";"AT5G52530"
"7";"AT4G12010"
"8";"AT2G26300"
"9";"AT4G19990"
"10";"AT1G13000"
"11";"AT1G35430"
"12";"AT3G47090"
"13";"AT5G22000"
"14";"AT4G04220"
"15";"AT1G07020"
"16";"AT3G61570"
"17";"AT4G00955"
"18";"AT2G21460"
"19";"AT3G46110"
"20";"AT3G09030"
"21";"AT2G30880"
"22";"AT5G11700"
"23";"AT4G15975"
"24";"AT2G24360"
"25";"AT4G29000"
"26";"AT3G11880"
"27";"AT1G03650"
"28";"AT5G44582"
"29";"AT2G01650"
"30";"AT1G05170"
"31";"AT3G25597"
"32";"AT5G53400"
"33";"AT4G21700"
"34";"AT3G03310"
"35";"AT1G66590"
"36";"AT5G08310"
"37";"AT2G03540"
"38";"AT4G18422"
"39";"AT1G31335"
"40";"AT4G15165"
"41";"AT5G45740"
"42";"AT1G50560"
"43";"AT4G30640"
"44";"AT3G23990"
"45";"AT3G60580"
"46";"AT1G33790"
"47";"AT3G07060"
"48";"AT5G10830"
"49";"AT4G04695"
"50";"AT2G02350"
"51";"AT1G21570"
"52";"AT3G51350"
"53";"AT4G04900"
"54";"AT1G59740"
"55";"AT5G36002"
