"";"Genes"
"1";"AT3G52870"
"2";"AT4G11660"
"3";"AT5G41180"
"4";"AT4G23570"
"5";"AT5G58430"
"6";"AT4G18250"
"7";"AT1G21120"
"8";"AT3G45640"
"9";"AT4G26400"
"10";"AT5G57220"
"11";"AT5G16480"
"12";"AT5G22520"
"13";"AT5G66210"
"14";"AT2G22300"
"15";"AT5G27420"
"16";"AT5G56340"
"17";"AT1G11050"
"18";"AT5G01980"
"19";"AT1G30755"
"20";"AT5G42830"
"21";"AT1G32127"
"22";"AT3G57550"
"23";"AT5G06560"
"24";"AT5G66850"
"25";"AT1G01560"
"26";"AT4G04540"
"27";"AT3G15518"
"28";"AT1G13110"
"29";"AT4G18880"
"30";"AT1G78410"
"31";"AT2G40095"
"32";"AT2G41835"
"33";"AT4G38560"
"34";"AT4G39640"
"35";"AT5G66900"
"36";"AT4G16860"
"37";"AT2G41880"
"38";"AT1G16420"
"39";"AT5G66620"
"40";"AT4G02550"
"41";"AT4G19520"
"42";"AT4G38940"
"43";"AT5G26920"
"44";"AT5G18470"
"45";"AT1G33600"
"46";"AT1G67970"
"47";"AT2G16500"
"48";"AT4G18253"
"49";"AT4G23220"
"50";"AT4G37640"
"51";"AT2G44600"
"52";"AT3G54150"
"53";"AT5G25260"
"54";"AT3G25600"
"55";"AT3G55950"
"56";"AT1G30420"
"57";"AT5G47910"
"58";"AT4G34390"
"59";"AT4G09570"
"60";"AT2G41010"
"61";"AT1G63750"
"62";"AT3G21140"
"63";"AT3G44630"
"64";"AT3G55470"
"65";"AT4G17900"
"66";"AT4G23190"
"67";"AT1G24140"
"68";"AT1G53430"
"69";"AT1G59590"
"70";"AT2G39650"
"71";"AT3G27560"
"72";"AT1G74310"
"73";"AT1G62422"
"74";"AT3G48650"
"75";"AT1G18570"
"76";"AT5G54710"
"77";"AT1G23710"
"78";"AT2G29720"
"79";"AT3G57530"
"80";"AT2G37940"
"81";"AT5G58120"
"82";"AT5G60800"
"83";"AT1G13210"
"84";"AT4G17250"
"85";"AT1G24145"
"86";"AT5G38895"
"87";"AT4G21400"
"88";"AT3G16510"
"89";"AT1G05675"
"90";"AT2G26150"
"91";"AT5G12480"
"92";"AT1G64610"
"93";"AT1G75020"
"94";"AT5G22530"
"95";"AT3G09020"
"96";"AT2G05940"
"97";"AT1G35210"
"98";"AT5G44585"
"99";"AT1G07520"
"100";"AT3G21150"
"101";"AT1G26380"
"102";"AT2G46330"
"103";"AT1G53440"
"104";"AT5G46470"
"105";"AT2G20900"
"106";"AT5G25170"
"107";"AT1G01340"
"108";"AT5G66675"
"109";"AT3G59660"
"110";"AT2G39660"
"111";"AT3G11820"
"112";"AT1G55450"
"113";"AT1G61360"
"114";"AT1G64065"
"115";"AT1G70530"
"116";"AT3G04220"
"117";"AT2G01340"
"118";"AT3G54100"
"119";"AT1G59870"
"120";"AT4G29440"
"121";"AT5G20350"
"122";"AT4G11850"
"123";"AT5G54720"
"124";"AT5G03990"
"125";"AT1G27100"
"126";"AT3G53810"
"127";"AT3G09830"
"128";"AT3G48090"
"129";"AT2G40140"
"130";"AT3G47550"
"131";"AT5G41750"
"132";"AT3G49530"
"133";"AT4G16950"
"134";"AT3G25610"
"135";"AT5G52760"
"136";"AT4G08555"
"137";"AT4G36500"
"138";"AT5G66640"
"139";"AT4G39830"
"140";"AT2G32140"
"141";"AT2G42950"
"142";"AT3G12740"
"143";"AT1G26420"
"144";"AT4G11370"
"145";"AT1G03730"
"146";"AT4G25900"
"147";"AT3G19260"
"148";"AT3G26670"
"149";"AT2G44080"
"150";"AT4G25030"
"151";"AT3G56410"
"152";"AT5G03320"
"153";"AT1G67060"
"154";"AT1G35230"
"155";"AT3G26020"
"156";"AT1G67810"
"157";"AT1G14370"
"158";"AT5G54490"
"159";"AT2G04495"
"160";"AT1G61140"
"161";"AT5G04930"
"162";"AT4G14370"
"163";"AT5G44070"
"164";"AT5G59450"
"165";"AT5G22250"
"166";"AT2G23320"
"167";"AT2G31865"
"168";"AT5G25930"
"169";"AT5G26751"
"170";"AT1G21130"
"171";"AT3G44400"
"172";"AT5G53130"
"173";"AT1G56520"
"174";"AT1G76600"
"175";"AT4G22780"
"176";"AT5G48655"
"177";"AT2G16870"
"178";"AT1G51660"
"179";"AT2G21120"
"180";"AT5G46520"
"181";"AT3G11840"
"182";"AT5G46080"
"183";"AT4G01010"
"184";"AT4G33060"
"185";"AT1G77890"
"186";"AT1G56510"
"187";"AT5G67340"
"188";"AT4G21390"
"189";"AT1G24150"
"190";"AT1G55530"
"191";"AT1G48320"
"192";"AT4G24730"
"193";"AT3G44480"
"194";"AT1G42990"
"195";"AT1G10340"
"196";"AT2G15390"
"197";"AT4G16890"
"198";"AT4G21903"
"199";"AT4G30850"
"200";"AT5G02290"
"201";"AT2G38470"
"202";"AT4G30060"
"203";"AT3G26980"
"204";"AT3G28850"
"205";"AT5G25050"
"206";"AT2G46620"
"207";"AT4G11170"
"208";"AT5G45100"
"209";"AT3G08710"
"210";"AT3G16720"
"211";"AT3G19010"
"212";"AT3G50930"
"213";"AT3G59700"
"214";"AT5G09800"
"215";"AT1G73810"
"216";"AT1G08930"
"217";"AT5G23510"
"218";"AT5G47220"
"219";"AT5G01950"
"220";"AT4G14365"
"221";"AT1G66090"
"222";"AT4G23200"
"223";"AT3G10500"
"224";"AT1G33420"
"225";"AT5G39670"
"226";"AT1G31540"
"227";"AT2G39400"
"228";"AT5G16800"
"229";"AT1G11905"
"230";"AT1G51270"
"231";"AT2G30440"
"232";"AT1G56060"
"233";"AT1G67520"
"234";"AT3G26500"
"235";"AT5G12930"
"236";"AT1G49050"
"237";"AT3G09350"
"238";"AT4G04490"
"239";"AT1G21070"
"240";"AT4G23150"
"241";"AT1G51890"
"242";"AT1G27770"
"243";"AT4G11280"
"244";"AT3G22890"
"245";"AT3G52430"
"246";"AT1G77500"
"247";"AT1G08050"
"248";"AT1G56140"
"249";"AT2G45920"
"250";"AT4G03450"
"251";"AT4G18890"
"252";"AT1G17600"
"253";"AT1G53625"
"254";"AT4G39670"
"255";"AT4G33050"
"256";"AT5G48400"
"257";"AT1G76970"
"258";"AT2G32030"
"259";"AT2G37980"
"260";"AT5G39785"
"261";"AT1G63720"
"262";"AT1G61660"
"263";"AT3G57330"
"264";"AT4G17230"
"265";"AT5G46410"
"266";"AT5G61900"
"267";"AT4G22690"
"268";"AT1G17147"
"269";"AT1G79690"
"270";"AT3G21220"
"271";"AT1G65250"
"272";"AT5G20990"
"273";"AT2G18680"
"274";"AT2G28570"
"275";"AT1G57560"
"276";"AT1G19020"
"277";"AT3G21780"
"278";"AT4G17490"
"279";"AT1G29340"
"280";"AT1G69270"
"281";"AT5G54860"
"282";"AT3G13100"
"283";"AT2G23680"
"284";"AT2G19130"
"285";"AT1G02270"
"286";"AT5G14930"
"287";"AT1G28380"
"288";"AT3G55960"
"289";"AT3G02610"
"290";"AT5G41740"
"291";"AT1G63350"
"292";"AT1G63830"
"293";"AT3G02840"
"294";"AT5G04410"
"295";"AT1G64280"
"296";"AT4G08500"
"297";"AT5G61210"
"298";"AT4G34150"
"299";"AT1G03740"
"300";"AT3G20410"
"301";"AT3G51920"
"302";"AT1G61260"
"303";"AT1G21110"
"304";"AT1G61560"
"305";"AT2G30750"
"306";"AT5G59550"
"307";"AT1G50740"
"308";"AT3G21080"
"309";"AT4G01750"
"310";"AT1G30270"
"311";"AT3G04580"
"312";"AT5G48380"
"313";"AT2G04430"
"314";"AT3G21700"
"315";"AT4G12720"
"316";"AT2G20142"
"317";"AT4G17500"
"318";"AT1G33590"
"319";"AT2G31020"
"320";"AT1G67800"
"321";"AT2G41160"
"322";"AT3G07390"
"323";"AT4G12710"
"324";"AT1G30620"
"325";"AT2G27580"
"326";"AT5G47960"
"327";"AT5G22060"
"328";"AT4G23270"
"329";"AT3G10640"
"330";"AT1G13180"
"331";"AT1G15890"
"332";"AT3G55980"
"333";"AT5G51630"
"334";"AT3G47820"
"335";"AT3G15770"
"336";"AT4G02410"
"337";"AT2G25297"
"338";"AT3G14050"
"339";"AT1G71100"
"340";"AT4G27300"
"341";"AT5G22540"
"342";"AT3G18690"
"343";"AT3G09032"
"344";"AT2G29400"
"345";"AT1G69520"
"346";"AT2G11520"
"347";"AT4G31980"
"348";"AT5G42380"
"349";"AT3G44670"
"350";"AT4G20780"
"351";"AT2G17440"
"352";"AT4G35310"
"353";"AT2G47130"
"354";"AT1G15520"
"355";"AT1G67920"
"356";"AT3G53270"
"357";"AT3G22160"
"358";"AT1G16090"
"359";"AT3G17410"
"360";"AT3G12830"
"361";"AT2G21520"
"362";"AT1G03370"
"363";"AT3G15760"
"364";"AT1G21100"
"365";"AT3G26470"
"366";"AT3G09280"
"367";"AT1G21370"
"368";"AT1G19270"
"369";"AT1G27130"
"370";"AT4G14220"
"371";"AT1G77810"
"372";"AT1G30757"
"373";"AT3G17420"
"374";"AT1G14200"
"375";"AT5G18490"
"376";"AT1G24530"
"377";"AT5G47420"
"378";"AT1G73020"
"379";"AT3G08970"
"380";"AT3G53668"
"381";"AT3G09405"
"382";"AT1G61370"
"383";"AT5G01550"
"384";"AT5G61910"
"385";"AT1G10050"
"386";"AT4G37370"
"387";"AT2G28080"
"388";"AT4G33300"
"389";"AT3G29000"
"390";"AT2G44490"
"391";"AT1G05575"
"392";"AT4G10970"
"393";"AT1G33720"
"394";"AT3G24500"
"395";"AT2G20150"
"396";"AT3G52400"
"397";"AT4G22710"
"398";"AT4G39030"
"399";"AT5G66650"
"400";"AT1G02170"
"401";"AT3G28450"
"402";"AT4G28480"
"403";"AT5G08240"
"404";"AT5G60280"
"405";"AT4G23030"
"406";"AT3G47540"
"407";"AT4G31510"
"408";"AT2G47140"
"409";"AT4G01370"
"410";"AT4G27290"
"411";"AT3G50470"
"412";"AT4G16960"
"413";"AT4G26120"
"414";"AT2G02220"
"415";"AT5G44870"
"416";"AT5G62020"
"417";"AT1G15530"
"418";"AT4G33430"
"419";"AT3G25250"
"420";"AT5G54780"
"421";"AT1G64460"
"422";"AT1G13340"
"423";"AT1G29690"
"424";"AT3G29400"
"425";"AT3G25070"
"426";"AT1G56250"
"427";"AT5G22630"
"428";"AT1G74710"
"429";"AT1G16670"
"430";"AT3G25230"
"431";"AT2G38860"
"432";"AT1G65690"
"433";"AT3G09010"
"434";"AT2G29110"
"435";"AT1G18890"
"436";"AT2G43320"
"437";"AT1G66880"
"438";"AT2G26560"
"439";"AT5G42010"
"440";"AT1G51640"
"441";"AT2G20560"
"442";"AT1G56540"
"443";"AT3G28580"
"444";"AT4G25070"
"445";"AT5G11000"
"446";"AT3G21650"
"447";"AT1G09940"
"448";"AT1G65870"
"449";"AT1G07135"
"450";"AT1G67470"
"451";"AT5G57500"
"452";"AT3G07195"
"453";"AT5G45840"
"454";"AT5G65920"
"455";"AT5G47070"
"456";"AT5G03870"
"457";"AT2G21470"
"458";"AT1G80610"
"459";"AT4G00970"
"460";"AT1G30370"
"461";"AT3G14200"
"462";"AT4G39890"
"463";"AT2G13790"
"464";"AT1G79680"
"465";"AT2G47730"
"466";"AT3G61190"
"467";"AT4G29050"
"468";"AT5G11670"
"469";"AT1G67880"
"470";"AT1G32920"
"471";"AT4G30210"
"472";"AT1G72540"
"473";"AT1G19360"
"474";"AT1G59865"
"475";"AT3G18250"
"476";"AT1G74360"
"477";"AT5G16170"
"478";"AT3G09440"
"479";"AT4G39820"
"480";"AT3G01820"
"481";"AT1G80280"
"482";"AT5G56030"
"483";"AT4G19370"
"484";"AT3G52460"
"485";"AT5G13320"
"486";"AT5G58110"
"487";"AT5G41100"
"488";"AT1G02360"
"489";"AT1G31280"
"490";"AT1G18390"
"491";"AT4G11000"
"492";"AT3G60800"
"493";"AT3G56710"
"494";"AT3G57630"
"495";"AT4G23010"
"496";"AT1G61420"
"497";"AT2G13800"
"498";"AT5G39020"
"499";"AT5G66910"
"500";"AT1G06840"
"501";"AT1G51850"
"502";"AT4G34460"
"503";"AT2G37430"
"504";"AT5G48560"
"505";"AT1G12760"
"506";"AT4G04920"
"507";"AT5G61840"
"508";"AT2G01180"
"509";"AT5G35735"
"510";"AT1G31130"
"511";"AT3G26000"
"512";"AT5G64810"
"513";"AT3G46620"
"514";"AT1G13550"
"515";"AT1G72280"
"516";"AT5G42440"
"517";"AT1G61215"
"518";"AT4G02200"
"519";"AT1G59860"
"520";"AT2G17220"
"521";"AT3G15358"
"522";"AT4G04510"
"523";"AT3G54110"
"524";"AT3G48100"
"525";"AT1G76360"
"526";"AT3G04110"
"527";"AT5G40170"
"528";"AT5G48530"
"529";"AT1G61800"
"530";"AT3G23240"
"531";"AT5G13190"
"532";"AT3G11850"
"533";"AT1G61340"
"534";"AT1G68840"
"535";"AT3G02800"
"536";"AT5G18480"
"537";"AT1G27330"
