"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","secondary active transmembrane transporter activity","GO:0015291","true","0.00002724497858886871","4.564713529060655","319","190","15","23212","AT3G23550,AT5G17860,AT3G18830,AT1G33110,AT4G36670,AT1G23090,AT5G09470,AT2G38170,AT5G27520,AT1G58340,AT5G52050,AT1G71880,AT1G77380,AT3G26590,AT5G13750"
"GO:MF","antiporter activity","GO:0015297","false","0.0009169676502037424","3.037645985579517","197","190","10","23212","AT3G23550,AT5G17860,AT1G33110,AT5G09470,AT2G38170,AT5G27520,AT1G58340,AT5G52050,AT3G26590,AT5G13750"
"GO:MF","active transmembrane transporter activity","GO:0022804","false","0.0009169676502037424","3.037645985579517","582","190","17","23212","AT3G23550,AT5G17860,AT3G18830,AT1G33110,AT4G36670,AT1G23090,AT5G09470,AT2G38170,AT5G27520,AT1G58340,AT4G15236,AT5G52050,AT1G71880,AT4G10380,AT1G77380,AT3G26590,AT5G13750"
"GO:MF","transferase activity","GO:0016740","true","0.02020801217503689","1.6944764051324823","4009","190","52","23212","AT2G35930,AT1G27130,AT5G61160,AT4G14680,AT2G29470,AT3G18710,AT1G66700,AT1G68330,AT1G09970,AT4G23180,AT4G37100,AT5G03490,AT4G28490,AT1G55920,AT3G62720,AT1G66160,AT3G20860,AT5G39050,AT4G35630,AT4G16250,AT4G34135,AT4G30290,AT5G47050,AT1G23550,AT1G15125,AT5G51770,AT1G28240,AT2G36970,AT3G19380,AT2G30360,AT3G23530,AT5G14640,AT2G16890,AT1G15110,AT5G55120,AT3G15680,AT5G48060,AT3G17390,AT3G18170,AT4G40070,AT3G23000,AT3G15530,AT3G62690,AT1G69910,AT1G49780,AT1G17170,AT1G07880,AT1G51805,AT3G49810,AT1G70560,AT5G49660,AT1G07260"
"GO:MF","transmembrane transporter activity","GO:0022857","false","0.02020801217503689","1.6944764051324823","1271","190","23","23212","AT3G23550,AT5G18290,AT5G17860,AT2G29410,AT3G18830,AT2G34355,AT1G33110,AT4G36670,AT1G23090,AT5G09470,AT2G38170,AT5G27520,AT1G58340,AT4G15236,AT5G52050,AT1G71880,AT4G10380,AT1G73590,AT1G77380,AT3G26590,AT5G13750,AT1G80830,AT3G56200"
"GO:MF","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","GO:0016705","true","0.02020801217503689","1.6944764051324823","445","190","12","23212","AT4G22690,AT2G30770,AT3G49620,AT1G05010,AT4G02940,AT5G52400,AT3G26200,AT5G67310,AT2G27690,AT4G36220,AT2G29980,AT3G13730"
"GO:MF","xenobiotic transmembrane transporter activity","GO:0042910","false","0.02020801217503689","1.6944764051324823","73","190","5","23212","AT3G23550,AT1G33110,AT1G58340,AT5G52050,AT3G26590"
"GO:MF","carbohydrate:proton symporter activity","GO:0005351","true","0.020804381211416464","1.681845196980565","19","190","3","23212","AT3G18830,AT4G36670,AT1G71880"
"GO:MF","transporter activity","GO:0005215","false","0.020804381211416464","1.681845196980565","1315","190","23","23212","AT3G23550,AT5G18290,AT5G17860,AT2G29410,AT3G18830,AT2G34355,AT1G33110,AT4G36670,AT1G23090,AT5G09470,AT2G38170,AT5G27520,AT1G58340,AT4G15236,AT5G52050,AT1G71880,AT4G10380,AT1G73590,AT1G77380,AT3G26590,AT5G13750,AT1G80830,AT3G56200"
"GO:MF","carbohydrate:monoatomic cation symporter activity","GO:0005402","false","0.020804381211416464","1.681845196980565","19","190","3","23212","AT3G18830,AT4G36670,AT1G71880"
"GO:MF","monooxygenase activity","GO:0004497","false","0.022336231986650263","1.650990088401539","345","190","10","23212","AT4G22690,AT2G30770,AT1G05010,AT5G52400,AT3G26200,AT5G67310,AT2G27690,AT4G15760,AT4G36220,AT3G13730"
"GO:MF","inorganic molecular entity transmembrane transporter activity","GO:0015318","false","0.022961053268106272","1.6390081938857892","482","190","12","23212","AT5G18290,AT2G29410,AT3G18830,AT4G36670,AT1G23090,AT5G09470,AT2G38170,AT1G58340,AT1G71880,AT4G10380,AT5G13750,AT1G80830"
"GO:MF","heme binding","GO:0020037","true","0.040937536328414785","1.3878782972663262","382","190","10","23212","AT4G22690,AT2G30770,AT4G37520,AT5G52400,AT1G37130,AT3G26200,AT5G67310,AT2G27690,AT4G36220,AT3G13730"
"GO:MF","deoxycytidine deaminase activity","GO:0047844","true","0.04125947584223573","1.3844762935773758","7","190","2","23212","AT4G29600,AT4G29610"
"GO:MF","symporter activity","GO:0015293","false","0.04512527474260444","1.3455801409016026","103","190","5","23212","AT3G18830,AT4G36670,AT1G23090,AT1G71880,AT1G77380"
